,HH_ID,F2,Fuel_roster_name,F3,F3_oth,F_4,F_4oth,F_5,F_6,F_7,F_8,F_9,F_10,F_4_text,F_11,F_12,F_13_1,F_13oth,F_14__1,F_14__2,F_14__3,F_14__4,F_14__5,F_14__6,F_14__7,F_14__8,F_14__111
67,1000506122902.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
68,1000506122902.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
69,1000506122902.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
70,1001500180104.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
71,1001500180104.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
72,1001500180104.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
73,1001500180104.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
74,1001500180104.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
75,1001500180107.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
76,1001500180107.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
77,1001500180107.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
78,1001500180107.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
79,1001500180107.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
80,1001500180201.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
81,1001500180201.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
82,1001500180201.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
83,1001500180201.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
84,1001500180201.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
85,1001500180702.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
86,1001500180702.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
87,1001500180702.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
88,1001500180702.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
89,1001500180702.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
90,1001500181501.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
91,1001500181501.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
92,1001500181501.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
93,1001500181501.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
94,1001500181501.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
95,1001500181503.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
96,1001500181503.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
97,1001500181503.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
98,1001500181503.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
99,1001500181503.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
100,1001500181601.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
101,1001500181601.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
102,1001500181601.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
103,1001500181601.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
104,1001500181601.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
105,1001500181605.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
106,1001500181605.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
107,1001500181605.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
108,1001500181605.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
109,1001500181605.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
110,1001500181606.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
111,1001500181606.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
112,1001500181606.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
113,1001500181606.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
114,1001500181606.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
115,1001500181702.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
116,1001500181702.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
117,1001500181702.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
118,1001500181702.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
119,1001500181702.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
120,1001500181802.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
121,1001500181802.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
122,1001500181802.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
123,1001500181802.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
124,1001500181802.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
125,1001500181901.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
126,1001500181901.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
127,1001500181901.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
