HHID,Id,R1_A,R2_A,R3_A,R3_A_SO,R4_A,R9_A,R10_A,R11_A,R12_A,R13_A,R14_A,R15_A,R16_A,R17_A,R18_A,R19_A,R20_A,R21_A,R22_A,R23_A,R24_A,R25_A,R26_A,R27_A,R28_A
211449901,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,60.0,No,,No,,No,
211449901,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,2.0,Yes,20.0,Yes,250.0,Yes,30.0,No,,Yes,120.0,Yes,15.0,No,,Yes,480.0,No,,Yes,15.0
211449902,Men(Age 15 yrs and older,Yes,120.0,Monthly, ,2.0,Yes,20.0,No,,No,,No,,No,,Yes,60.0,No,,Yes,500.0,No,,Yes,25.0
211449902,Women (Age 15 yrs and older),No,,, ,,Yes,15.0,Yes,180.0,Yes,30.0,No,,Yes,120.0,Yes,250.0,No,,No,,No,,Yes,20.0
211449902,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
211449903,Men(Age 15 yrs and older,Yes,120.0,Monthly, ,1.0,Yes,30.0,Yes,180.0,Yes,30.0,No,,Yes,120.0,No,,No,,Yes,520.0,No,,Yes,90.0
211449904,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,2.0,Yes,15.0,Yes,230.0,Yes,30.0,No,,Yes,120.0,Yes,60.0,No,,Yes,440.0,No,,Yes,60.0
211449904,Men(Age 15 yrs and older,Yes,120.0,Bi-Weekly, ,2.0,Yes,30.0,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,20.0
211449904,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,Yes,90.0,Yes,30.0,No,,No,,Yes,90.0
211449904,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,No,,No,,Yes,120.0
211449905,Women (Age 15 yrs and older),Yes,120.0,Bi-Weekly, ,2.0,Yes,15.0,Yes,230.0,Yes,30.0,No,,Yes,120.0,Yes,90.0,No,,Yes,460.0,No,,Yes,20.0
211449905,Men(Age 15 yrs and older,Yes,120.0,Bi-Weekly, ,2.0,Yes,60.0,No,,No,,No,,No,,Yes,30.0,No,,Yes,440.0,No,,No,
211449905,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
211449906,Men(Age 15 yrs and older,No,,, ,,Yes,35.0,No,,No,,No,,No,,No,,No,,Yes,350.0,No,,Yes,120.0
211449906,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,90.0,No,,No,,Yes,120.0
211449906,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,25.0,No,,Yes,90.0,No,,No,,Yes,300.0,No,,Yes,90.0
211449907,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
211449907,Men(Age 15 yrs and older,Yes,100.0,Monthly, ,1.0,Yes,30.0,No,,No,,No,,No,,Yes,180.0,No,,Yes,360.0,No,,Yes,90.0
211449907,Women (Age 15 yrs and older),No,,, ,,No,,Yes,250.0,Yes,35.0,No,,Yes,110.0,Yes,200.0,No,,Yes,240.0,No,,Yes,120.0
211449908,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,90.0,No,,No,,Yes,90.0
211449908,Women (Age 15 yrs and older),No,,, ,,Yes,20.0,Yes,150.0,No,,No,,Yes,90.0,No,,Yes,30.0,Yes,300.0,No,,Yes,90.0
211449909,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
211449909,Women (Age 15 yrs and older),Yes,90.0,Monthly, ,1.0,Yes,45.0,Yes,230.0,Yes,25.0,No,,Yes,100.0,Yes,240.0,No,,Yes,180.0,No,,Yes,120.0
211449910,Men(Age 15 yrs and older,No,,, ,,Yes,45.0,No,,No,,No,,No,,No,,Yes,120.0,Yes,350.0,No,,Yes,120.0
211449910,Women (Age 15 yrs and older),No,,, ,,No,,Yes,160.0,Yes,30.0,No,,Yes,90.0,No,,No,,Yes,300.0,No,,Yes,120.0
211449911,Men(Age 15 yrs and older,Yes,100.0,Monthly, ,1.0,Yes,30.0,No,,No,,No,,No,,No,,Yes,100.0,Yes,320.0,No,,Yes,100.0
211449911,Women (Age 15 yrs and older),No,,, ,,No,,Yes,250.0,Yes,25.0,No,,Yes,120.0,No,,Yes,120.0,Yes,300.0,No,,Yes,120.0
211449912,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,No,,No,,Yes,90.0,No,,No,,Yes,180.0,No,,Yes,90.0
211449912,Men(Age 15 yrs and older,No,,, ,,Yes,30.0,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,60.0
211449912,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
211449912,Girls(Under age 15 yrs),No,,, ,,No,,No,,Yes,20.0,No,,No,,Yes,60.0,Yes,90.0,No,,No,,Yes,60.0
211449913,Women (Age 15 yrs and older),No,,, ,,No,,Yes,250.0,Yes,35.0,No,,Yes,120.0,No,,Yes,180.0,Yes,240.0,No,,Yes,100.0
211449913,Men(Age 15 yrs and older,Yes,120.0,Monthly, ,1.0,Yes,35.0,No,,No,,No,,No,,No,,Yes,100.0,Yes,300.0,No,,Yes,90.0
211449914,Boys(Under age 15 yrs),No,,, ,,No,,No,,Yes,25.0,No,,No,,No,,No,,No,,No,,Yes,120.0
211449914,Women (Age 15 yrs and older),No,,, ,,Yes,25.0,Yes,30.0,No,,No,,Yes,90.0,No,,Yes,60.0,Yes,300.0,No,,Yes,60.0
211449915,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,90.0,No,,No,,Yes,120.0
211449915,Men(Age 15 yrs and older,Yes,120.0,Monthly, ,1.0,Yes,35.0,No,,No,,No,,No,,No,,Yes,100.0,Yes,300.0,No,,Yes,100.0
211449915,Women (Age 15 yrs and older),No,,, ,,No,,Yes,280.0,Yes,30.0,No,,Yes,120.0,No,,No,,Yes,280.0,No,,Yes,120.0
211450001,Women (Age 15 yrs and older),No,,, ,,No,,Yes,140.0,Yes,20.0,No,,No,,Yes,120.0,No,,No,,No,,Yes,60.0
211450001,Men(Age 15 yrs and older,Yes,5.0,Monthly, ,1.0,No,,No,,No,,No,,No,,Yes,60.0,No,,No,,Yes,60.0,Yes,30.0
211450001,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
211450002,Women (Age 15 yrs and older),No,,, ,,No,,Yes,140.0,Yes,20.0,No,,No,,Yes,300.0,No,,No,,No,,Yes,30.0
211450002,Men(Age 15 yrs and older,Yes,5.0,Monthly, ,1.0,No,,No,,No,,No,,No,,Yes,60.0,No,,No,,Yes,440.0,Yes,30.0
211450002,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
211450003,Women (Age 15 yrs and older),No,,, ,,No,,Yes,140.0,Yes,20.0,No,,No,,Yes,180.0,No,,No,,No,,Yes,30.0
211450003,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,30.0,No,,No,,Yes,180.0
211450003,Men(Age 15 yrs and older,Yes,5.0,Monthly, ,1.0,No,,No,,No,,No,,No,,Yes,60.0,No,,Yes,420.0,No,,Yes,60.0
211450004,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,30.0,No,,No,,Yes,120.0
211450004,Men(Age 15 yrs and older,Yes,5.0,Monthly, ,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,Yes,20.0
211450004,Women (Age 15 yrs and older),No,,, ,,No,,Yes,140.0,Yes,30.0,No,,No,,Yes,60.0,No,,No,,No,,Yes,30.0
211450005,Men(Age 15 yrs and older,Yes,10.0,Monthly, ,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,Yes,90.0
211450005,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
211450005,Women (Age 15 yrs and older),No,,, ,,No,,Yes,140.0,Yes,25.0,No,,No,,Yes,300.0,No,,No,,No,,Yes,60.0
211450006,Women (Age 15 yrs and older),Yes,30.0,Monthly, ,1.0,No,,Yes,115.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
211450006,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,90.0
211450006,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,No,,No,,Yes,120.0
211450007,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,25.0,No,,No,,No,,No,,No,,No,,Yes,100.0
211450007,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,Yes,480.0,No,,Yes,100.0
211450008,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,60.0,No,,No,,Yes,120.0
211450008,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,90.0
211450008,Women (Age 15 yrs and older),Yes,30.0,Monthly, ,1.0,No,,Yes,115.0,No,,No,,No,,No,,Yes,60.0,No,,No,,Yes,120.0
211450009,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,25.0,No,,No,,No,,No,,No,,No,,Yes,180.0
211450009,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,350.0,No,,Yes,120.0
211450010,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,120.0
211450010,Women (Age 15 yrs and older),Yes,35.0,Monthly, ,1.0,No,,Yes,150.0,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,60.0
211450010,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,90.0,No,,No,,Yes,90.0
211450010,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,90.0,No,,No,,Yes,60.0
211450011,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,30.0,No,,No,,No,,No,,No,,No,,Yes,120.0
211450011,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,Yes,100.0
211450012,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,90.0
211450012,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,120.0
211450012,Women (Age 15 yrs and older),Yes,30.0,Monthly, ,1.0,No,,Yes,115.0,No,,No,,No,,No,,No,,No,,No,,Yes,110.0
211450013,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
211450013,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,Yes,120.0,No,,Yes,420.0,No,,Yes,100.0
211450013,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,30.0,No,,No,,Yes,240.0,No,,No,,Yes,360.0,Yes,120.0
211450014,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,60.0,No,,No,,Yes,90.0
211450014,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
211450014,Women (Age 15 yrs and older),Yes,25.0,Monthly, ,1.0,No,,Yes,150.0,No,,No,,No,,No,,No,,No,,Yes,540.0,Yes,90.0
211450014,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,90.0
211450015,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,30.0,No,,No,,No,,Yes,180.0,No,,No,,Yes,120.0
211450015,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,Yes,420.0,No,,Yes,120.0
232042801,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232042801,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232042801,Women (Age 15 yrs and older),Yes,120.0,Bi-Weekly, ,2.0,No,,Yes,130.0,No,,No,,Yes,60.0,Yes,240.0,Yes,60.0,Yes,180.0,No,,No,
232042801,Men(Age 15 yrs and older,Yes,240.0,Bi-Weekly, ,2.0,No,,No,,No,,No,,No,,Yes,120.0,Yes,30.0,Yes,900.0,No,,No,
232042802,Men(Age 15 yrs and older,Yes,240.0,"Other, specify",SIX MONTH,1.0,No,,No,,No,,No,,No,,Yes,60.0,No,,Yes,240.0,No,,No,
232042802,Women (Age 15 yrs and older),Yes,240.0,"Other, specify",SIX MONTH,1.0,No,,Yes,180.0,No,,No,,Yes,30.0,Yes,420.0,No,,Yes,720.0,No,,No,
232042802,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042803,Men(Age 15 yrs and older,Yes,180.0,"Other, specify",FIVE MONTH,1.0,No,,Yes,110.0,No,,No,,Yes,60.0,No,,No,,Yes,720.0,No,,No,
232042803,Women (Age 15 yrs and older),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042804,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,30.0,No,,No,,Yes,120.0
232042804,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232042804,Women (Age 15 yrs and older),Yes,180.0,"Other, specify",SIX MONTH,1.0,No,,Yes,150.0,No,,No,,Yes,30.0,No,,No,,Yes,420.0,No,,No,
232042805,Women (Age 15 yrs and older),Yes,240.0,"Other, specify",FOUR MONTH,1.0,No,,Yes,120.0,No,,No,,Yes,30.0,Yes,360.0,No,,Yes,240.0,No,,No,
232042805,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,360.0
232042806,Men(Age 15 yrs and older,Yes,180.0,"Other, specify",SIX MONTH,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,360.0,No,,No,
232042806,Women (Age 15 yrs and older),Yes,240.0,"Other, specify",SIX MONTH,1.0,No,,Yes,150.0,No,,No,,Yes,30.0,No,,No,,Yes,360.0,No,,No,
232042807,Women (Age 15 yrs and older),Yes,300.0,"Other, specify",FOUR MONTH,1.0,No,,Yes,90.0,No,,No,,Yes,60.0,No,,No,,Yes,420.0,No,,No,
232042807,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,240.0,No,,No,
232042808,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042808,Men(Age 15 yrs and older,Yes,240.0,"Other, specify",FIVE MONTH,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,540.0,No,,No,
232042808,Women (Age 15 yrs and older),Yes,240.0,"Other, specify",FIVE MONTH,1.0,No,,Yes,250.0,No,,No,,Yes,30.0,No,,No,,Yes,420.0,No,,No,
232042809,Men(Age 15 yrs and older,Yes,180.0,"Other, specify",SIX MONTH,3.0,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,60.0
232042809,Women (Age 15 yrs and older),Yes,240.0,"Other, specify",SIX MONTH,1.0,No,,Yes,180.0,No,,No,,Yes,60.0,No,,No,,Yes,740.0,No,,No,
232042810,Women (Age 15 yrs and older),Yes,420.0,"Other, specify",SIX MONTH,1.0,No,,Yes,135.0,No,,No,,Yes,90.0,Yes,360.0,No,,Yes,600.0,No,,No,
232042810,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042810,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0,No,,No,
232042811,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042811,Women (Age 15 yrs and older),Yes,360.0,"Other, specify",TWO MONTH,1.0,Yes,10.0,Yes,215.0,No,,No,,Yes,210.0,No,,No,,No,,Yes,180.0,Yes,60.0
232042811,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
232042811,Men(Age 15 yrs and older,Yes,360.0,"Other, specify",TWO MONTH,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,180.0,Yes,60.0
232042812,Women (Age 15 yrs and older),Yes,240.0,Bi-Weekly, ,2.0,Yes,10.0,Yes,120.0,No,,No,,Yes,210.0,No,,No,,Yes,480.0,Yes,120.0,Yes,60.0
232042813,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
232042813,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042813,Men(Age 15 yrs and older,Yes,360.0,"Other, specify",SIX MONTH,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,120.0,Yes,120.0
232042813,Women (Age 15 yrs and older),Yes,300.0,"Other, specify",SIX MONTH,1.0,Yes,10.0,Yes,165.0,No,,No,,Yes,210.0,No,,No,,No,,Yes,120.0,Yes,90.0
232042814,Women (Age 15 yrs and older),Yes,360.0,Monthly, ,1.0,Yes,10.0,Yes,90.0,No,,No,,No,,No,,No,,Yes,480.0,Yes,180.0,Yes,120.0
232042814,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042815,Men(Age 15 yrs and older,Yes,240.0,Bi-Weekly, ,2.0,No,,No,,No,,No,,No,,Yes,60.0,Yes,30.0,Yes,480.0,Yes,120.0,Yes,120.0
232042815,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042815,Women (Age 15 yrs and older),No,,, ,,Yes,10.0,Yes,140.0,No,,No,,No,,Yes,300.0,Yes,60.0,No,,Yes,60.0,Yes,60.0
232042901,Men(Age 15 yrs and older,Yes,180.0,Weekly, ,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,240.0,No,,Yes,60.0
232042901,Women (Age 15 yrs and older),Yes,60.0,Bi-Weekly, ,2.0,No,,Yes,75.0,No,,No,,Yes,60.0,No,,No,,No,,No,,Yes,30.0
232042902,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042902,Women (Age 15 yrs and older),No,,, ,,No,,Yes,160.0,No,,No,,Yes,30.0,Yes,420.0,No,,Yes,120.0,No,,No,
232042902,Men(Age 15 yrs and older,Yes,180.0,Weekly, ,1.0,No,,No,,No,,No,,No,,Yes,120.0,No,,Yes,600.0,No,,No,
232042902,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042903,Men(Age 15 yrs and older,Yes,180.0,Bi-Weekly, ,2.0,No,,No,,No,,No,,No,,Yes,120.0,No,,Yes,720.0,No,,No,
232042903,Women (Age 15 yrs and older),Yes,360.0,Bi-Weekly, ,2.0,No,,Yes,130.0,No,,No,,Yes,30.0,Yes,420.0,No,,Yes,840.0,No,,No,
232042903,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042904,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232042904,Women (Age 15 yrs and older),No,,, ,,No,,Yes,75.0,No,,No,,Yes,30.0,No,,Yes,30.0,No,,Yes,480.0,Yes,60.0
232042904,Men(Age 15 yrs and older,Yes,60.0,"Other, specify",ANNUALLY,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,360.0,No,,Yes,180.0
232042905,Women (Age 15 yrs and older),No,,, ,,No,,Yes,120.0,No,,No,,Yes,30.0,No,,No,,Yes,420.0,No,,No,
232042905,Men(Age 15 yrs and older,Yes,360.0,Bi-Weekly, ,2.0,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,No,
232042906,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,420.0
232042906,Women (Age 15 yrs and older),Yes,180.0,"Other, specify",SIX MONTH,1.0,No,,Yes,300.0,No,,No,,Yes,60.0,No,,No,,Yes,420.0,No,,Yes,60.0
232042906,Men(Age 15 yrs and older,Yes,180.0,"Other, specify",SIX MONTH,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,Yes,60.0
232042907,Women (Age 15 yrs and older),Yes,180.0,Monthly, ,3.0,No,,Yes,195.0,No,,No,,Yes,30.0,No,,No,,Yes,600.0,No,,No,
232042907,Men(Age 15 yrs and older,Yes,180.0,Monthly, ,2.0,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,No,
232042908,Women (Age 15 yrs and older),Yes,120.0,Weekly, ,1.0,No,,Yes,300.0,No,,No,,Yes,120.0,Yes,360.0,No,,Yes,420.0,No,,Yes,120.0
232042908,Men(Age 15 yrs and older,Yes,120.0,Weekly, ,2.0,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,Yes,60.0
232042908,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042908,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,420.0
232042909,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,300.0
232042909,Women (Age 15 yrs and older),Yes,360.0,Weekly, ,2.0,No,,Yes,300.0,No,,No,,Yes,60.0,No,,No,,Yes,840.0,No,,No,
232042909,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042909,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,240.0
232042910,Men(Age 15 yrs and older,Yes,90.0,Weekly, ,2.0,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,No,
232042910,Women (Age 15 yrs and older),Yes,120.0,Weekly, ,3.0,No,,Yes,90.0,No,,No,,No,,No,,No,,Yes,240.0,No,,No,
232042911,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0,Yes,60.0
232042911,Women (Age 15 yrs and older),Yes,180.0,Weekly, ,1.0,Yes,5.0,Yes,150.0,Yes,30.0,No,,No,,No,,No,,Yes,480.0,Yes,120.0,Yes,60.0
232042911,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232042911,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0,Yes,30.0
232042912,Men(Age 15 yrs and older,Yes,210.0,Bi-Weekly, ,2.0,Yes,5.0,No,,Yes,120.0,No,,No,,No,,No,,Yes,480.0,Yes,120.0,Yes,60.0
232042912,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
232042912,Women (Age 15 yrs and older),Yes,240.0,Bi-Weekly, ,2.0,Yes,5.0,Yes,150.0,No,,No,,No,,Yes,210.0,No,,No,,Yes,180.0,Yes,60.0
232042913,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,60.0
232042913,Women (Age 15 yrs and older),No,,, ,,No,,Yes,75.0,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,60.0
232042914,Men(Age 15 yrs and older,Yes,240.0,Weekly, ,1.0,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,180.0,Yes,60.0
232042914,Women (Age 15 yrs and older),Yes,240.0,Weekly, ,1.0,Yes,5.0,Yes,210.0,Yes,30.0,No,,No,,No,,No,,No,,Yes,210.0,Yes,60.0
232042915,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232042915,Men(Age 15 yrs and older,Yes,180.0,Weekly, ,1.0,No,,No,,No,,No,,No,,Yes,120.0,No,,Yes,480.0,Yes,120.0,Yes,60.0
232042915,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
232042915,Women (Age 15 yrs and older),Yes,180.0,Daily, ,1.0,Yes,5.0,Yes,140.0,No,,No,,No,,Yes,180.0,No,,Yes,480.0,Yes,210.0,Yes,60.0
232043001,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232043001,Women (Age 15 yrs and older),Yes,180.0,"Other, specify",SIX MONTH,1.0,No,,Yes,190.0,No,,No,,Yes,90.0,No,,No,,Yes,420.0,No,,Yes,20.0
232043001,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0,No,,No,
232043001,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
232043002,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,240.0,No,,Yes,60.0
232043002,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
232043002,Women (Age 15 yrs and older),Yes,60.0,"Other, specify",SIX MONTH,1.0,No,,Yes,120.0,No,,No,,No,,No,,No,,Yes,240.0,No,,Yes,60.0
232043003,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,300.0,No,,No,
232043003,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232043003,Women (Age 15 yrs and older),Yes,300.0,Bi-Weekly, ,2.0,No,,Yes,180.0,No,,No,,No,,Yes,120.0,No,,Yes,360.0,No,,No,
232043003,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232043004,Men(Age 15 yrs and older,Yes,180.0,"Other, specify",SIX MONTH,1.0,No,,No,,No,,No,,No,,Yes,120.0,No,,Yes,240.0,No,,Yes,120.0
232043004,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,300.0
232043004,Women (Age 15 yrs and older),Yes,600.0,"Other, specify",SIX MONTH,1.0,No,,Yes,150.0,No,,No,,No,,Yes,420.0,No,,Yes,180.0,No,,Yes,240.0
232043005,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,6.0,No,,Yes,90.0,No,,No,,No,,Yes,300.0,No,,Yes,180.0,No,,No,
232043005,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232043006,Women (Age 15 yrs and older),No,,, ,,No,,Yes,120.0,Yes,60.0,No,,No,,Yes,180.0,No,,Yes,210.0,Yes,60.0,Yes,120.0
232043006,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
232043006,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
232043006,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,Yes,120.0,No,,Yes,480.0,Yes,240.0,Yes,120.0
232043007,Women (Age 15 yrs and older),Yes,360.0,"Other, specify",FOUR MONTH,1.0,Yes,5.0,Yes,165.0,Yes,180.0,No,,No,,No,,No,,No,,Yes,180.0,Yes,60.0
