HHID,Id,R1_A,R2_A,R3_A,R3_A_SO,R4_A,R9_A,R10_A,R11_A,R12_A,R13_A,R14_A,R15_A,R16_A,R17_A,R18_A,R19_A,R20_A,R21_A,R22_A,R23_A,R24_A,R25_A,R26_A,R27_A,R28_A
110148901,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,540.0,No,,No,
110148901,Women (Age 15 yrs and older),No,,, ,,Yes,15.0,Yes,350.0,No,,No,,No,,No,,No,,No,,No,,No,
110148901,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148902,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148902,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148902,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,680.0,No,,No,
110148902,Women (Age 15 yrs and older),No,,, ,,Yes,10.0,Yes,400.0,No,,No,,No,,Yes,840.0,No,,No,,No,,No,
110148903,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148903,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148903,Women (Age 15 yrs and older),No,,, ,,No,,Yes,350.0,No,,No,,No,,Yes,720.0,No,,No,,No,,No,
110148903,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,360.0,No,,No,
110148904,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148904,Women (Age 15 yrs and older),No,,, ,,No,,Yes,350.0,No,,No,,No,,No,,No,,No,,No,,No,
110148905,Women (Age 15 yrs and older),No,,, ,,Yes,15.0,Yes,310.0,No,,No,,No,,No,,No,,No,,No,,No,
110148905,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148905,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,240.0,No,,No,
110148905,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148906,Women (Age 15 yrs and older),No,,, ,,No,,Yes,120.0,No,,No,,Yes,120.0,No,,No,,No,,No,,No,
110148906,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148907,Men(Age 15 yrs and older,Yes,60.0,Monthly, ,1.0,No,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,240.0
110148907,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,1.0,Yes,20.0,Yes,340.0,No,,No,,Yes,60.0,No,,No,,No,,No,,Yes,60.0
110148908,Women (Age 15 yrs and older),No,,, ,,No,,Yes,120.0,No,,No,,Yes,240.0,No,,No,,No,,No,,No,
110148909,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148909,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,1.0,Yes,10.0,Yes,200.0,No,,No,,Yes,30.0,No,,No,,No,,No,,No,
