HHID,Id,C141,C41_Recode,C142,C142_B,C143,C144,C145,C146,C148,C149,C150,C151,C152,C153,C153_SO,C154_FULL,C154_PARTIAL,C155,C156,C157,C158,C159,C160,C160_SO,C160_SO_RECODE
110149015,Solar lantern,SURYA URJA,SURYA URJA,No,No,Yes,Solar Lantern,,,,No,1.0,0.0,"Bought, fully paid",, ,2000.0,,,,No,No,3.0,No problems, , 
110149101,Solar lighting system,888,888,Yes,Yes,No,Solar lighting system,8.0,100.0,40.0,No,4.0,0.0,"Bought, fully paid",, ,32000.0,,,,No,No,2.0,No problems, , 
110149102,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149103,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149104,Solar lighting system,888,888,Yes,Yes,No,Solar lighting system,6.0,40.0,888.0,No,3.0,0.0,"Bought, fully paid",, ,15000.0,,,,No,No,2.0,No problems, , 
110149105,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149106,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149107,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149108,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149109,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149110,Solar lighting system,888,888,Yes,Yes,No,Solar lighting system,1.0,888.0,,No,3.0,0.0,"Bought, fully paid",, ,3000.0,,,,No,Yes,888.0,No problems, , 
110149111,Solar lantern,SURYA URJA,SURYA URJA,No,No,No,Solar Lantern,,,,No,2.0,2.0,"Bought, fully paid",, ,2000.0,,,,No,No,888.0,No problems, , 
110149112,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,6.0,100.0,40.0,No,2.0,0.0,"Bought, fully paid",, ,40000.0,,,,No,Yes,3.0,No problems, , 
110149113,Solar lighting system,luminous,LUMINOUS,Yes,Yes,Yes,Solar lighting system,5.0,20.0,20.0,No,4.0,0.0,"Bought, fully paid",, ,8000.0,,,,No,No,12.0,No problems, , 
110149114,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,5.0,888.0,,No,3.0,0.0,"Bought, fully paid",, ,32000.0,,,,No,Yes,2.0,No problems, , 
110149115,Solar lighting system,SURYA URJA,SURYA URJA,Yes,Yes,Yes,Solar lighting system,5.0,100.0,60.0,No,2.0,0.0,"Bought, fully paid",, ,48500.0,,,,Yes,No,2.0,No problems, , 
110149201,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149202,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149203,Solar lighting system,888,888,Yes,Yes,No,Solar lighting system,6.0,40.0,40.0,No,4.0,0.0,"Bought, fully paid",, ,17000.0,,,,No,No,2.0,No problems, , 
110149204,Solar lighting system,888,888,Yes,Yes,No,Solar lighting system,6.0,40.0,40.0,No,4.0,0.0,"Bought, fully paid",, ,17000.0,,,,No,No,2.0,No problems, , 
110149205,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149206,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149207,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149208,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,4.0,40.0,40.0,No,4.0,0.0,"Bought, fully paid",, ,18000.0,,,,No,Yes,3.0,No problems, , 
110149209,Solar lighting system,SURYA URJA,SURYA URJA,Yes,Yes,Yes,Solar lighting system,10.0,80.0,60.0,Yes,3.0,0.0,"Bought, fully paid",, ,50000.0,,,,No,No,4.0,No problems, , 
110149210,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,6.0,40.0,888.0,No,2.0,0.0,"Bought, fully paid",, ,17000.0,,,,No,Yes,3.0,No problems, , 
110149211,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149212,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149213,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110149214,Solar lighting system,5,888,Yes,Yes,Yes,Solar lighting system,6.0,40.0,888.0,No,5.0,1.0,"Bought, fully paid",, ,20000.0,,,,No,Yes,3.0,No problems, , 
110149215,Solar lighting system,SURYA URJA,SURYA URJA,Yes,Yes,Yes,Solar lighting system,4.0,36.0,26.0,Yes,5.0,0.0,"Bought, fully paid",, ,17500.0,,,,Yes,No,6.0,No problems, , 
110941201,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941202,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941203,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941204,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941205,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941206,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941207,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941208,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941209,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941210,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941211,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941212,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941213,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941214,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941215,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941301,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941302,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941303,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941304,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941305,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941306,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941307,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,3.0,888.0,,No,3.0,0.0,"Bought, fully paid",, ,20000.0,,,,No,Yes,3.0,No problems, , 
110941308,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941309,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941310,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
