HHID,Id,C121,C122,C123,C124
233132502,0.0,20.0,35.0,600.0,30.0
321541813,0.0,888.0,888.0,1000.0,20.0
321644601,0.0,20.0,5.0,600.0,30.0
321644602,0.0,20.0,10.0,1000.0,30.0
