"","HHID","Id","J4","J5","J6","J7","J7_SO","J7_SO_RECODE","J8","J9","J10","J11","J12","J13","J14","J15__111","J15__1","J15__2","J15__3","J15__4","J15__5","J15__6","J15__7","J15__8","J15__9","J15__10","J15__11","J15__12","J15__888","J16","J17","J17_SO","J17_SO_RECODE","J17A","J17B","J18","J19","J20_A","J20A_SO","J20_B","J20B_SO","J21_A","J21_B","J22","J23","J24","J25","J26","J27","J28","J29","J30","J31__111","J31__1","J31__2","J31__3","J31__4","J31__5","J31__6","J31__7","J31__8","J31__9","J31__10","J31__11","J31__12","J32","J33__9","J33__1","J33__2","J33__3","J33__4","J33__5","J33__6","J33__7","J33__8","J33__10","J33A","J33A_SO","J33A_SO_RECODE","J34","J35__1","J35__2","J35__3","J35__4","J35__5","J35__6","J35__7","J35__8","J35__9","J35__10","J35__555","J35_SO","J35_SO_RECODE","J37_A","J37_B"
"1262","177521010",3,1,1,500,NA,"","",NA,1,"FIXED MUD ROCKET STOVE",888,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,20,7,3,90,90,105,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1300,NA
"1263","177521010",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,1,60,0,0,0,90,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",700,NA
"1264","177521011",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",NA,NA,2,NA,2,"",NA,"",1,NA,5,7,3,60,50,60,200,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1265","177521012",3,1,1,500,NA,"","",NA,2,"FIXED MUD ROCKET STOVE",888,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,3,70,90,90,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1266","177521012",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,10,7,1,70,0,0,0,70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1267","177521013",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,2,0,0,0,30,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",400,NA
"1268","177521013",3,1,0,500,NA,"","",NA,1,"FIXED MUD ROCKET STOVE",888,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,4,7,3,60,55,70,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",500,NA
"1269","177521014",3,1,1,500,NA,"","",NA,2,"FIXED MUD ROCKET STOVE",888,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,15,7,3,60,90,90,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1500,NA
"1270","177521014",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,15,7,1,0,0,90,0,90,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",600,NA
"1271","177521015",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",NA,NA,1,1,2,"",NA,"",1,NA,5,7,3,60,60,70,25,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",600,NA
"1272","177521101",7,1,0,1800,NA,"","",NA,2,"SURYA",888,1,2,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,3,7,4,30,45,45,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",600,NA
"1273","177521102",7,1,0,3500,NA,"","",NA,2,"SONY",888,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,2,7,3,60,45,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",900,NA
"1274","177521103",7,1,0,2300,NA,"","",NA,2,"MANAKAMANA",888,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,2,7,3,45,60,60,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1275","177521104",7,1,0,1800,NA,"","",NA,2,"SURYA",888,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"","",NA,NA,2,NA,1,"",NA,"",1,NA,3,7,3,60,60,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"1276","177521105",7,1,0,2500,NA,"","",NA,2,"SURYA",888,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"","",NA,NA,2,NA,1,"",NA,"",1,NA,3,7,3,60,30,60,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",900,NA
"1277","177521106",7,1,0,2000,NA,"","",NA,2,"RADIANT",888,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,2,7,3,60,60,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2000,NA
"1278","177521107",7,1,0,2400,NA,"","",NA,2,"MANAKAMANA",888,1,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"","",NA,NA,2,NA,1,"",NA,"",2,NA,1,7,4,60,50,60,25,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1279","177521108",7,1,0,1800,NA,"","",NA,2,"RADIANT",888,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",2,NA,1,7,4,60,50,70,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1280","177521109",7,1,0,2000,NA,"","",NA,2,"SURYA",888,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,"","",NA,NA,2,NA,1,"",NA,"",1,NA,3,7,3,70,45,70,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1200,NA
"1281","177521110",7,1,0,1850,NA,"","",NA,2,"VERI GAS",888,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,2,7,3,60,60,70,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1282","177521111",7,1,0,2400,NA,"","",NA,2,"SURYA",888,1,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,1,7,4,70,50,70,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1283","177521112",7,1,0,2200,NA,"","",NA,2,"RADIANT",888,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,1,7,3,70,70,75,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1284","177521113",7,1,1,2200,NA,"","",NA,2,"LAXMI",888,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",2,NA,1,7,4,60,50,70,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1285","177521114",7,1,0,1850,NA,"","",NA,2,"SHANTI",888,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,2,7,3,90,90,90,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1286","177521115",7,1,0,2300,NA,"","",NA,2,"LAXMI",888,1,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",NA,NA,2,NA,1,"",NA,"",2,NA,1,7,4,60,50,70,25,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1850,NA
"1287","177521201",3,1,0,500,NA,"","",NA,1,"OPE POTHOLE MOD ICS  WITH CHIMNEY",888,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,3,70,70,70,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1200,NA
"1288","177521201",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,6,7,2,60,0,60,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",400,NA
"1289","177521202",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,2,NA,2,"",NA,"",1,NA,6,7,4,90,70,90,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1290","177521203",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,3,60,45,60,0,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1200,NA
"1291","177521204",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,3,90,70,90,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1200,NA
"1292","177521204",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,6,7,2,60,0,60,0,120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",800,NA
"1293","177521205",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,10,7,1,90,0,0,0,90,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1294","177521205",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",1,2,2,NA,2,"",NA,"",1,NA,10,7,3,90,90,90,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1295","177521206",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,6,7,3,80,60,80,0,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1296","177521207",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,15,7,3,60,60,60,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1900,NA
"1297","177521208",3,1,0,1600,NA,"","",NA,1,"OPE POTHOLE MOD ICS  WITH CHIMNEY",888,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,3,40,60,80,15,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",600,NA
"1298","177521209",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",2,NA,15,7,3,120,60,60,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1900,NA
"1299","177521210",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",NA,NA,2,NA,2,"",NA,"",1,NA,3,7,4,70,60,80,15,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",700,NA
"1300","177521211",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,12,7,3,45,60,70,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2100,NA
"1301","177521212",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"","",NA,NA,1,1,2,"",NA,"",1,NA,5,7,3,60,50,80,20,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",600,NA
"1302","177521213",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,20,7,3,60,60,75,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2000,NA
"1303","177521214",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"","",NA,NA,2,NA,2,"",NA,"",1,NA,5,7,3,70,60,50,60,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",500,NA
"1304","177521215",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"","",NA,NA,2,NA,2,"",NA,"",2,NA,5,7,3,60,50,60,25,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",700,NA
"1305","177521301",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,3,80,70,80,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1306","177521302",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,4,7,3,60,60,60,0,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1307","177521303",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,4,80,80,80,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1308","177521304",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,5,7,2,60,0,60,0,120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1309","177521304",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,3,90,80,90,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1310","177521305",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,5,7,3,60,60,60,0,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1311","177521306",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,25,7,3,60,75,75,0,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1312","177521307",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",NA,NA,2,NA,2,"",NA,"",1,NA,5,7,5,60,60,80,30,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1313","177521308",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,15,7,3,60,90,90,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1314","177521308",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,12,4,1,60,0,0,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1315","177521309",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",NA,NA,2,NA,2,"",NA,"",1,NA,5,7,4,70,50,80,30,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1316","177521310",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,3,45,75,80,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1317","177521310",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,15,5,1,90,0,0,0,90,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1318","177521311",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",NA,NA,2,NA,2,"",NA,"",1,NA,5,7,4,60,50,60,30,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"1319","177521312",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,20,7,3,50,75,75,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
