,HHID,C151
0,01010200116005,4
1,01010200116041,1
2,01010200116041,2
3,01010200116059,2
4,01010200116086,1
5,01010301101010,1
6,01010301101010,2
7,01010301101010,4
8,01010301101010,5
9,01010301101012,1
10,01010301101012,2
11,01010301101012,3
12,01010301101012,4
13,01010301101012,5
14,01010400404008,1
15,01010400404008,2
16,01010400404008,3
17,01010400404008,4
18,01010400404008,5
19,01010400404103,1
20,01010400404103,2
21,01010400404103,3
22,01010400404103,4
23,01010400404160,1
24,01010400404160,5
25,01010400404178,1
26,01010400404178,2
27,01010400404178,3
28,01010400404178,4
29,01010400404178,5
30,01010400404216,1
31,01010400404216,2
32,01010400404216,3
33,01010400404216,4
34,01010400404216,5
35,01010400804007,1
36,01010400804007,2
37,01010400804007,3
38,01010400804007,4
39,01010400804007,5
40,01010400804027,1
41,01010400804027,2
42,01010400804027,3
43,01010400804027,4
44,01010400804027,5
45,01010400804047,1
46,01010400804047,3
47,01010400804047,5
48,01010400804107,2
49,01010400804107,4
50,01010400804107,5
51,01010400804147,2
52,01010400804147,4
53,01010400804147,5
54,01010400804167,2
55,01010400804167,4
56,01010400804167,5
57,01010400804207,1
58,01010400804207,2
59,01010400804207,3
60,01010400804207,4
61,01010400804207,5
62,01010400804227,1
63,01010400804227,2
64,01010400804227,3
65,01010400804227,4
66,01010400804227,5
67,01020801604100,1
68,01020801604100,2
69,01020801604100,3
70,01020801604100,5
71,01020801604170,1
72,01020801604170,2
73,01020801604170,3
74,01020801604170,4
75,01020901705002,1
76,01020901705002,2
77,01020901705002,3
78,01020901705002,5
79,01020901705050,1
80,01020901705050,3
81,01020901705066,1
82,01020901705066,2
83,01020901705066,3
84,01020901705082,1
85,01020901705082,3
86,01020901705114,1
87,01020901705146,1
88,01020901705162,1
89,01020901705162,2
90,01020901705162,3
91,01020901705162,5
92,01020901705178,1
93,01020901705178,3
94,01030600403017,1
95,01030600403017,3
96,01030600403072,1
97,01030600403092,1
98,01030600403092,3
99,01030600403164,1
100,01030600403164,3
101,01030600403183,1
102,01030600403185,1
103,01030600403185,4
104,01050100110058,2
105,01050100110058,3
106,01050100110058,4
107,01050101108045,1
108,01050101108045,2
109,01050101108045,3
110,01050101108045,4
111,01050101108045,5
112,01050101108058,2
113,01050101108058,3
114,01050101108058,4
115,01050101108058,5
116,01050101108071,1
117,01050101108071,2
118,01050101108071,4
119,01050101108071,5
120,01050101108084,1
121,01050101108084,2
122,01050101108084,3
123,01050101108084,4
124,01050101108084,5
125,01050101108097,1
126,01050101108097,2
127,01050101108097,3
128,01050101108097,4
129,01050101108097,5
130,01050101108123,1
131,01050101108123,2
132,01050101108123,3
133,01050101108123,4
134,01050101108123,5
135,01060200127086,2
136,01060200127086,4
137,02070101901002,1
138,02070300104005,4
139,02070300104005,6
140,02070300104049,4
141,02070300104049,6
142,02070300104060,3
143,02070300104060,4
144,02070300104104,1
145,02070300104104,2
146,02070300104104,4
147,02070300104104,5
148,02070300111025,2
149,02070501103041,1
150,02070501103041,6
151,02080300102064,1
152,02080300102064,2
153,02080300404004,1
154,02080300404004,2
155,02080300404004,3
156,02080300404037,1
157,02090100104128,2
158,02090100104128,3
159,02090100104128,4
160,02090100104140,2
161,02090100104140,4
162,02090200123004,2
163,02090200123004,3
164,02090200123032,6
165,02090200123088,2
166,02090200123116,2
167,03110300605064,1
168,03110300605064,3
169,03110300605064,5
170,03110300605115,2
171,03110300605115,3
172,03110300605115,5
173,03110301501040,1
174,03110301501040,3
175,03110301501040,5
176,03110301501055,1
177,03110301501055,3
178,03110301501055,5
179,03110301501115,1
180,03110301501115,3
181,03110301501115,5
182,03110301501160,1
183,03110301501160,3
184,03110301501160,5
185,03110800701029,1
186,03110800701029,3
187,03110800701089,1
188,03110800701089,5
189,03112101007063,1
190,03112101007063,3
191,03112101007063,5
192,03112101007191,1
193,03112101007191,3
