,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,F2,F3
126,01060100317,1,6,1,3,17,1,1,1,2
127,01060100317,1,6,1,3,17,1,1,2,2
128,01060100317,1,6,1,3,17,1,1,3,2
129,01060100317,1,6,1,3,17,1,1,4,2
130,01060100317,1,6,1,3,17,1,1,5,2
131,01060100317,1,6,1,3,17,1,1,6,2
132,01060100317,1,6,1,3,17,1,1,7,2
133,01060100317,1,6,1,3,17,1,1,8,2
134,01060100317,1,6,1,3,17,1,1,9,2
135,02070101804,2,7,1,18,4,2,1,1,1
136,02070101804,2,7,1,18,4,2,1,2,2
137,02070101804,2,7,1,18,4,2,1,3,2
138,02070101804,2,7,1,18,4,2,1,4,2
139,02070101804,2,7,1,18,4,2,1,5,1
140,02070101804,2,7,1,18,4,2,1,6,2
141,02070101804,2,7,1,18,4,2,1,7,2
142,02070101804,2,7,1,18,4,2,1,8,2
143,02070101804,2,7,1,18,4,2,1,9,2
144,02070101901,2,7,1,19,1,2,2,1,1
145,02070101901,2,7,1,19,1,2,2,2,1
146,02070101901,2,7,1,19,1,2,2,3,2
147,02070101901,2,7,1,19,1,2,2,4,1
148,02070101901,2,7,1,19,1,2,2,5,1
149,02070101901,2,7,1,19,1,2,2,6,2
150,02070101901,2,7,1,19,1,2,2,7,1
151,02070101901,2,7,1,19,1,2,2,8,1
152,02070101901,2,7,1,19,1,2,2,9,2
153,02070200101,2,7,2,1,1,1,1,1,1
154,02070200101,2,7,2,1,1,1,1,2,2
155,02070200101,2,7,2,1,1,1,1,3,2
156,02070200101,2,7,2,1,1,1,1,4,2
157,02070200101,2,7,2,1,1,1,1,5,2
158,02070200101,2,7,2,1,1,1,1,6,2
159,02070200101,2,7,2,1,1,1,1,7,2
160,02070200101,2,7,2,1,1,1,1,8,2
161,02070200101,2,7,2,1,1,1,1,9,2
162,02070300104,2,7,3,1,4,1,1,1,2
163,02070300104,2,7,3,1,4,1,1,2,2
164,02070300104,2,7,3,1,4,1,1,3,2
165,02070300104,2,7,3,1,4,1,1,4,2
166,02070300104,2,7,3,1,4,1,1,5,2
167,02070300104,2,7,3,1,4,1,1,6,2
168,02070300104,2,7,3,1,4,1,1,7,2
169,02070300104,2,7,3,1,4,1,1,8,2
170,02070300104,2,7,3,1,4,1,1,9,2
171,02070501103,2,7,5,11,3,2,3,1,1
172,02070501103,2,7,5,11,3,2,3,2,2
173,02070501103,2,7,5,11,3,2,3,3,2
174,02070501103,2,7,5,11,3,2,3,4,2
175,02070501103,2,7,5,11,3,2,3,5,1
176,02070501103,2,7,5,11,3,2,3,6,1
177,02070501103,2,7,5,11,3,2,3,7,1
178,02070501103,2,7,5,11,3,2,3,8,1
179,02070501103,2,7,5,11,3,2,3,9,2
180,02070501302,2,7,5,13,2,2,4,1,1
181,02070501302,2,7,5,13,2,2,4,2,2
182,02070501302,2,7,5,13,2,2,4,3,2
183,02070501302,2,7,5,13,2,2,4,4,2
184,02070501302,2,7,5,13,2,2,4,5,1
185,02070501302,2,7,5,13,2,2,4,6,1
186,02070501302,2,7,5,13,2,2,4,7,1
187,02070501302,2,7,5,13,2,2,4,8,1
188,02070501302,2,7,5,13,2,2,4,9,2
189,02080300102,2,8,3,1,2,2,9,1,1
190,02080300102,2,8,3,1,2,2,9,2,1
191,02080300102,2,8,3,1,2,2,9,3,2
192,02080300102,2,8,3,1,2,2,9,4,1
193,02080300102,2,8,3,1,2,2,9,5,1
194,02080300102,2,8,3,1,2,2,9,6,2
195,02080300102,2,8,3,1,2,2,9,7,1
196,02080300102,2,8,3,1,2,2,9,8,1
197,02080300102,2,8,3,1,2,2,9,9,2
198,02080300404,2,8,3,4,4,2,8,1,1
199,02080300404,2,8,3,4,4,2,8,2,2
200,02080300404,2,8,3,4,4,2,8,3,2
201,02080300404,2,8,3,4,4,2,8,4,1
