,HHID,F2,F3,F4,F5,F6,F7,F8,F9,F10,F13
136,01010400404060,2,1.0,0.0,2.0,10.0,12.0,6.0,,,11.0
137,01010400404060,3,2.0,,,,,,,,
138,01010400404060,4,2.0,,,,,,,,
139,01010400404060,5,2.0,,,,,,,,
140,01010400404084,1,2.0,,,,,,,,
141,01010400404084,2,2.0,,,,,,,,
142,01010400404084,3,2.0,,,,,,,,
143,01010400404084,4,2.0,,,,,,,,
144,01010400404084,5,2.0,,,,,,,,
145,01010400404103,1,2.0,,,,,,,,
146,01010400404103,2,2.0,,,,,,,,
147,01010400404103,3,2.0,,,,,,,,
148,01010400404103,4,2.0,,,,,,,,
149,01010400404103,5,2.0,,,,,,,,
150,01010400404122,1,2.0,,,,,,,,
151,01010400404122,2,2.0,,,,,,,,
152,01010400404122,3,2.0,,,,,,,,
153,01010400404122,4,2.0,,,,,,,,
154,01010400404122,5,2.0,,,,,,,,
155,01010400404141,1,2.0,,,,,,,,
156,01010400404141,2,2.0,,,,,,,,
157,01010400404141,3,2.0,,,,,,,,
158,01010400404141,4,2.0,,,,,,,,
159,01010400404141,5,2.0,,,,,,,,
160,01010400404160,1,2.0,,,,,,,,
161,01010400404160,2,2.0,,,,,,,,
162,01010400404160,3,2.0,,,,,,,,
163,01010400404160,4,2.0,,,,,,,,
164,01010400404160,5,2.0,,,,,,,,
165,01010400404178,1,2.0,,,,,,,,
166,01010400404178,2,1.0,0.0,2.0,6.0,6.0,4.0,,,6.0
167,01010400404178,3,2.0,,,,,,,,
168,01010400404178,4,2.0,,,,,,,,
169,01010400404178,5,2.0,,,,,,,,
170,01010400404197,1,2.0,,,,,,,,
171,01010400404197,2,2.0,,,,,,,,
172,01010400404197,3,2.0,,,,,,,,
173,01010400404197,4,2.0,,,,,,,,
174,01010400404197,5,2.0,,,,,,,,
175,01010400404216,1,2.0,,,,,,,,
176,01010400404216,2,2.0,,,,,,,,
177,01010400404216,3,2.0,,,,,,,,
178,01010400404216,4,2.0,,,,,,,,
179,01010400404216,5,2.0,,,,,,,,
180,01010400804007,1,2.0,,,,,,,,
181,01010400804007,2,2.0,,,,,,,,
182,01010400804007,3,2.0,,,,,,,,
183,01010400804007,4,2.0,,,,,,,,
184,01010400804007,5,2.0,,,,,,,,
185,01010400804027,1,2.0,,,,,,,,
186,01010400804027,2,2.0,,,,,,,,
187,01010400804027,3,2.0,,,,,,,,
188,01010400804027,4,2.0,,,,,,,,
189,01010400804027,5,2.0,,,,,,,,
190,01010400804047,1,2.0,,,,,,,,
191,01010400804047,2,2.0,,,,,,,,
192,01010400804047,3,2.0,,,,,,,,
193,01010400804047,4,2.0,,,,,,,,
194,01010400804047,5,2.0,,,,,,,,
195,01010400804067,1,2.0,,,,,,,,
196,01010400804067,2,2.0,,,,,,,,
197,01010400804067,3,2.0,,,,,,,,
198,01010400804067,4,2.0,,,,,,,,
199,01010400804067,5,2.0,,,,,,,,
200,01010400804087,1,2.0,,,,,,,,
201,01010400804087,2,2.0,,,,,,,,
202,01010400804087,3,2.0,,,,,,,,
203,01010400804087,4,2.0,,,,,,,,
204,01010400804087,5,2.0,,,,,,,,
205,01010400804107,1,2.0,,,,,,,,
206,01010400804107,2,2.0,,,,,,,,
207,01010400804107,3,2.0,,,,,,,,
208,01010400804107,4,2.0,,,,,,,,
209,01010400804107,5,2.0,,,,,,,,
210,01010400804127,1,2.0,,,,,,,,
211,01010400804127,2,2.0,,,,,,,,
212,01010400804127,3,2.0,,,,,,,,
213,01010400804127,4,2.0,,,,,,,,
214,01010400804127,5,2.0,,,,,,,,
215,01010400804147,1,1.0,,,,6.0,2.0,3.0,6.0,6.0
216,01010400804147,2,2.0,,,,,,,,
217,01010400804147,3,2.0,,,,,,,,
218,01010400804147,4,2.0,,,,,,,,
219,01010400804147,5,2.0,,,,,,,,
220,01010400804167,1,2.0,,,,,,,,
221,01010400804167,2,2.0,,,,,,,,
222,01010400804167,3,2.0,,,,,,,,
223,01010400804167,4,2.0,,,,,,,,
224,01010400804167,5,2.0,,,,,,,,
225,01010400804187,1,1.0,,,,5.0,2.0,2.0,8.0,8.0
226,01010400804187,2,2.0,,,,,,,,
227,01010400804187,3,2.0,,,,,,,,
228,01010400804187,4,2.0,,,,,,,,
229,01010400804187,5,2.0,,,,,,,,
230,01010400804207,1,2.0,,,,,,,,
231,01010400804207,2,2.0,,,,,,,,
232,01010400804207,3,2.0,,,,,,,,
233,01010400804207,4,2.0,,,,,,,,
234,01010400804207,5,2.0,,,,,,,,
235,01010400804227,1,2.0,,,,,,,,
236,01010400804227,2,2.0,,,,,,,,
237,01010400804227,3,2.0,,,,,,,,
238,01010400804227,4,2.0,,,,,,,,
239,01010400804227,5,2.0,,,,,,,,
240,01020600113003,1,2.0,,,,,,,,
241,01020600113003,2,2.0,,,,,,,,
242,01020600113003,3,2.0,,,,,,,,
243,01020600113003,4,2.0,,,,,,,,
244,01020600113003,5,2.0,,,,,,,,
245,01020600113011,1,2.0,,,,,,,,
246,01020600113011,2,2.0,,,,,,,,
247,01020600113011,3,2.0,,,,,,,,
248,01020600113011,4,2.0,,,,,,,,
249,01020600113011,5,2.0,,,,,,,,
250,01020600113019,1,2.0,,,,,,,,
251,01020600113019,2,2.0,,,,,,,,
252,01020600113019,3,2.0,,,,,,,,
253,01020600113019,4,2.0,,,,,,,,
254,01020600113019,5,2.0,,,,,,,,
255,01020600113027,1,2.0,,,,,,,,
256,01020600113027,2,2.0,,,,,,,,
257,01020600113027,3,2.0,,,,,,,,
258,01020600113027,4,2.0,,,,,,,,
259,01020600113027,5,2.0,,,,,,,,
260,01020600113035,1,2.0,,,,,,,,
261,01020600113035,2,2.0,,,,,,,,
262,01020600113035,3,2.0,,,,,,,,
263,01020600113035,4,2.0,,,,,,,,
264,01020600113035,5,2.0,,,,,,,,
265,01020600113043,1,2.0,,,,,,,,
266,01020600113043,2,2.0,,,,,,,,
267,01020600113043,3,2.0,,,,,,,,
268,01020600113043,4,2.0,,,,,,,,
269,01020600113043,5,2.0,,,,,,,,
270,01020600113051,1,2.0,,,,,,,,
271,01020600113051,2,2.0,,,,,,,,
272,01020600113051,3,2.0,,,,,,,,
273,01020600113051,4,2.0,,,,,,,,
274,01020600113051,5,2.0,,,,,,,,
275,01020600113059,1,2.0,,,,,,,,
276,01020600113059,2,2.0,,,,,,,,
277,01020600113059,3,2.0,,,,,,,,
278,01020600113059,4,2.0,,,,,,,,
279,01020600113059,5,2.0,,,,,,,,
280,01020600113067,1,1.0,,,,3.0,1.0,2.0,6.0,2.0
281,01020600113067,2,2.0,,,,,,,,
282,01020600113067,3,2.0,,,,,,,,
283,01020600113067,4,2.0,,,,,,,,
284,01020600113067,5,2.0,,,,,,,,
285,01020600113075,1,1.0,,,,3.0,1.0,1.0,3.0,2.0
286,01020600113075,2,2.0,,,,,,,,
287,01020600113075,3,2.0,,,,,,,,
288,01020600113075,4,2.0,,,,,,,,
289,01020600113075,5,2.0,,,,,,,,
290,01020600113083,1,2.0,,,,,,,,
291,01020600113083,2,2.0,,,,,,,,
292,01020600113083,3,2.0,,,,,,,,
293,01020600113083,4,2.0,,,,,,,,
294,01020600113083,5,2.0,,,,,,,,
295,01020600113091,1,2.0,,,,,,,,
296,01020600113091,2,2.0,,,,,,,,
297,01020600113091,3,2.0,,,,,,,,
298,01020600113091,4,2.0,,,,,,,,
299,01020600113091,5,2.0,,,,,,,,
