,HHID,U21
0,01010200116023,1
1,01010301101028,8
2,01010301101046,8
3,01020600113003,1
4,01020600113035,8
5,01020801604034,9
6,01030300103134,8
7,01030800402002,1
8,01030800402002,3
9,01041100201050,8
10,01041100201110,8
11,01050100110058,8
12,01050101108006,8
13,01050101108123,1
14,01050101108149,1
15,01060200127100,1
16,01060200506004,1
17,01060200506037,8
18,01060200506103,8
19,02070200101011,1
20,02070300205006,1
21,02070300205011,1
22,02070300205021,1
23,02070300205026,1
24,02070300212023,5
25,02070300212047,8
26,02070300212063,8
27,02070300212071,1
28,02070501103013,8
29,03110800110096,8
30,03110800110118,1
31,03110800110162,8
32,03110800110184,8
33,03111700101013,8
34,03111801205035,8
35,03111801205044,1
36,03111801205062,8
37,03111802013060,8
38,03111802013074,8
39,03111802013088,8
40,03111802013116,8
41,03111802013130,8
42,03121000302003,8
43,03131000101032,8
44,03131000101068,8
45,03141000205109,1
46,03150800103073,8
47,03150800103103,8
48,03150800103118,8
49,03152000407012,8
50,03152000705039,1
51,03160500103010,4
52,03160500103010,5
53,03160500103010,6
54,03160500103036,4
55,03160500103036,5
56,03160500103036,6
57,03160500103127,3
58,03160500103127,6
59,03161500214128,2
60,03161500214128,4
61,03161500214128,6
62,03170500110153,8
63,03170500110261,8
64,03180100102016,8
65,03180100102035,8
66,03180100102168,8
67,03180700305005,8
68,03180700305017,8
69,03180700305029,8
70,03180700305089,8
71,03200200209064,1
72,03210100412078,1
73,03210100412078,6
74,03210100412197,5
75,03210100808134,1
76,03210100808134,5
77,03210101214145,4
78,04231700111003,8
79,04231700111007,8
80,04231700111008,1
81,04231700111011,1
82,04231700304003,1
83,04231700304011,8
84,04231700417003,8
85,04231700602009,8
86,04241600101008,1
87,04242000217005,8
88,04260500101004,8
89,04260500101006,8
90,04261400105001,8
91,04261400105007,8
92,04261500308003,1
93,04271202206008,8
94,04271800107004,8
95,04271800107064,1
96,04280900511029,1
97,04280900511149,8
98,04280900803096,8
99,04290100110002,1
100,04290100110002,5
101,04290500106008,8
102,04300800105011,9
103,04311102101002,9
104,04311200105001,8
105,04321100505003,8
106,04340300103159,8
107,04340900114125,8
108,04340900114179,8
109,04360100202004,8
110,04360101005006,8
111,04360101005011,8
112,04360101402004,8
113,04360101402009,8
114,04360101402012,8
115,04370101213006,1
116,04370101213010,8
117,04370101213012,8
118,04380301901005,1
119,04380301901005,7
120,04380801605004,8
121,04381000108135,8
122,04381000108207,1
123,04381100116002,8
124,04381100521008,1
125,04381100521017,8
126,04381100521062,8
127,04390700103001,9
128,04390700103007,8
129,04390700103009,8
130,04390700103010,8
131,05400101201008,8
132,05400401501020,1
133,05410400405026,8
134,05410400634003,6
135,05410400634179,8
136,05420299912007,8
137,05420299912027,8
138,05420299912047,8
139,06470300204012,8
140,07511000702007,1
141,07530400605003,8
142,07530400605011,8
143,07530400605015,1
144,07530400605015,6
145,07550200109069,1
146,07550200109159,1
147,07551300206021,8
148,07551300206157,8
149,07551300206191,1
150,07551300314002,9
151,07551300314053,8
152,07551300314070,9
153,07551300314087,4
154,07560201903003,5
155,07560201903010,1
156,07581600112170,8
157,07581600407008,8
158,07581600407113,8
159,07610101505042,1
160,07610101505042,5
161,07610101505051,1
162,07610101505060,1
163,07620300101074,8
164,07661900106010,1
165,07661900703056,9
166,12670300101003,8
167,12670300101005,1
168,12670300101007,1
169,12670300101008,1
170,12680100101010,8
171,12680100101011,8
172,12680100101012,8
173,13700101407007,8
174,14720100113013,8
175,14720100211006,8
176,14720100222009,8
177,14720100222011,8
178,14720100315012,8
179,14720100315047,8
180,14720100315054,8
181,14720100315089,8
182,14720100315117,8
183,14720100406008,8
184,14720100512001,1
185,14720100512009,8
186,14720100512017,1
187,14720100512019,1
188,14720100549018,1
189,14720100549120,8
190,14720100633058,8
191,14720100633070,1
192,14720100702002,1
193,14720100702007,1
194,14720100702007,6
195,14720100702008,1
196,14720100702010,1
197,14720100702010,2
198,14720100702011,1
199,14720100702012,1
200,14720100702014,1
201,14720100702015,1
202,14720100702015,5
203,14720100702019,1
204,14730200833004,8
205,14730200833106,1
206,14730200833123,1
207,14730200833140,1
208,14740300273003,8
209,14740300273009,8
210,14740300546097,8
211,14740300546109,1
212,14740300546121,1
213,14740300546133,1
214,14740301003078,9
215,14740301003126,8
216,14740301003174,1
217,14740301003174,5
218,14740301003176,8
219,14750400612002,9
220,14750400612004,9
221,14760500318018,1
222,14760500507014,1
223,14760500507014,2
224,14760500517012,1
225,14760500613011,1
226,14760500613014,8
227,14770600201008,8
228,14770600404007,8
229,14770600528082,1
230,14770600625014,5
231,14770600821011,8
232,14780700220011,8
233,14780700911037,6
234,14790800204008,1
235,14790800217011,1
236,14790800217011,7
237,14790800503004,8
238,14790800503013,8
239,14790800514001,8
240,14790800514004,8
241,14790800622014,1
242,14790800720002,8
243,14790800733012,9
244,14790800733020,8
245,14790800812012,8
246,14790800812018,4
247,14790800812018,5
248,14790800812039,8
249,14790800812057,1
250,14790800812067,8
251,14800900214017,8
252,14811000201033,8
253,14811000825077,1
254,14811000825077,7
255,15710100605005,8
256,15710100810002,8
257,15710100926008,8
