,HHID,U31
0,01010400404103,1
1,01010400804007,1
2,01010400804027,1
3,01010400804147,1
4,02070101901014,1
5,03180302503003,1
6,04280201505009,3
7,04300800105011,3
8,04311200105001,1
9,04321100505003,2
10,04321100505003,3
11,04360101005006,1
12,04380301901005,2
13,04380301901005,3
14,04380301901005,6
15,04380801605001,5
16,04380801605008,1
17,07551300314087,1
18,07560201903003,1
19,07560201903003,2
20,07560201903010,1
21,07610101505042,1
22,07610101505042,3
23,07610101505060,1
24,07610101505060,3
25,12680100101010,1
26,14720100406008,1
27,14740300273009,1
28,14790800812032,1
29,14790800812032,5
30,15710100605005,1
