,HHID,U26
0,01010200116023,8
1,01010301101028,8
2,01010301101046,7
3,01020600113003,8
4,01020600113035,4
5,01020600113035,7
6,01020801604034,9
7,01030300103134,6
8,01030800402002,8
9,01041100201050,8
10,01041100201110,6
11,01050100110058,8
12,01050101108006,4
13,01050101108123,4
14,01050101108149,7
15,01060200127100,1
16,01060200506004,2
17,01060200506037,6
18,01060200506103,6
19,02070200101011,8
20,02070300205006,5
21,02070300205011,10
22,02070300205021,8
23,02070300205026,8
24,02070300212023,7
25,02070300212047,8
26,02070300212063,8
27,02070300212071,7
28,02070501103013,10
29,03110800110096,10
30,03110800110118,10
31,03110800110162,10
32,03110800110184,10
33,03111700101013,6
34,03111801205035,10
35,03111801205044,10
36,03111801205062,10
37,03111802013060,10
38,03111802013074,10
39,03111802013088,10
40,03111802013116,10
41,03111802013130,10
42,03121000302003,10
43,03131000101032,10
44,03131000101068,10
45,03141000205109,6
46,03150800103073,10
47,03150800103103,10
48,03150800103118,2
49,03150800103118,10
50,03152000407012,8
51,03152000705039,6
52,03160500103010,1
53,03160500103036,1
54,03160500103127,1
55,03161500214128,1
56,03170500110153,7
57,03170500110261,6
58,03180100102016,7
59,03180100102035,2
60,03180100102035,7
61,03180100102168,10
62,03180700305005,6
63,03180700305017,6
64,03180700305029,6
65,03180700305089,6
66,03200200209064,7
67,03210100412078,10
68,03210100412197,9
69,03210100808134,9
70,03210101214145,8
71,04231700111003,6
72,04231700111007,7
73,04231700111008,6
74,04231700111011,6
75,04231700304003,6
76,04231700304011,6
77,04231700417003,6
78,04231700602009,6
79,04241600101008,8
80,04241600101008,10
81,04242000217005,8
82,04260500101004,8
83,04260500101006,10
84,04261400105001,10
85,04261400105007,10
86,04261500308003,6
87,04271202206008,7
88,04271800107004,6
89,04271800107064,7
90,04280900511029,6
91,04280900511149,6
92,04280900803096,6
93,04290100110002,6
94,04290500106008,10
95,04300800105011,4
96,04311102101002,7
97,04311200105001,3
98,04321100505003,9
99,04340300103159,6
100,04340900114125,8
101,04340900114179,8
102,04360100202004,7
103,04360101005006,4
104,04360101005006,6
105,04360101005011,10
106,04360101402004,2
107,04360101402009,6
108,04360101402012,2
109,04370101213006,6
110,04370101213010,7
111,04370101213012,8
112,04370101213012,10
113,04380301901005,2
114,04380301901005,4
115,04380301901005,5
116,04380801605004,1
117,04381000108135,6
118,04381000108207,6
119,04381100116002,10
120,04381100521008,6
121,04381100521017,8
122,04381100521062,6
123,04390700103001,10
124,04390700103007,10
125,04390700103009,10
126,04390700103010,8
127,05400101201008,8
128,05400401501020,5
129,05410400405026,10
130,05410400634003,10
131,05410400634179,10
132,05420299912007,10
133,05420299912027,10
134,05420299912047,10
135,06470300204012,10
136,07511000702007,5
137,07511000702007,7
138,07530400605003,8
139,07530400605011,8
140,07530400605015,8
141,07550200109069,8
142,07550200109159,6
143,07551300206021,6
144,07551300206157,6
145,07551300206191,8
146,07551300314002,8
147,07551300314053,10
148,07551300314070,10
149,07551300314087,4
150,07560201903003,4
151,07560201903003,7
152,07560201903010,4
153,07581600112170,8
154,07581600407008,9
155,07581600407113,10
156,07610101505042,4
157,07610101505042,7
158,07610101505051,2
159,07610101505060,4
160,07620300101074,6
161,07661900106010,6
162,07661900703056,8
163,12670300101003,8
164,12670300101005,10
165,12670300101007,10
166,12670300101008,7
167,12680100101010,4
168,12680100101011,7
169,12680100101012,4
170,13700101407007,6
171,14720100113013,7
172,14720100211006,8
173,14720100222009,6
174,14720100222011,6
175,14720100315012,8
176,14720100315047,8
177,14720100315054,8
178,14720100315089,8
179,14720100315117,6
180,14720100406008,3
181,14720100512001,6
182,14720100512001,7
183,14720100512009,8
184,14720100512017,7
185,14720100512019,6
186,14720100549018,6
187,14720100549120,6
188,14720100549120,7
189,14720100633058,8
190,14720100633070,8
191,14720100702002,6
192,14720100702007,6
193,14720100702008,6
194,14720100702010,6
195,14720100702011,6
196,14720100702012,2
197,14720100702012,6
198,14720100702014,6
199,14720100702015,6
200,14720100702019,6
201,14730200833004,8
202,14730200833106,8
203,14730200833123,9
204,14730200833140,8
205,14740300273003,8
206,14740300273009,4
207,14740300546097,8
208,14740300546109,8
209,14740300546121,8
210,14740300546133,8
211,14740301003078,9
212,14740301003126,9
213,14740301003174,1
214,14740301003176,8
215,14750400612002,9
216,14750400612004,9
217,14760500318018,6
218,14760500507014,10
219,14760500517012,10
220,14760500613011,10
221,14760500613014,8
222,14770600201008,8
223,14770600404007,10
224,14770600528082,6
225,14770600625014,2
226,14770600625014,7
227,14770600821011,6
228,14780700220011,10
229,14780700911037,6
230,14790800204008,8
231,14790800217011,10
232,14790800503004,10
233,14790800503013,6
234,14790800514001,8
235,14790800514004,10
236,14790800622014,6
237,14790800720002,8
238,14790800733012,10
239,14790800733020,7
240,14790800812012,6
241,14790800812018,6
242,14790800812039,2
243,14790800812057,2
244,14790800812067,6
245,14800900214017,6
246,14811000201033,5
247,14811000825077,10
248,15710100605005,3
249,15710100810002,8
250,15710100926008,6
