,HHID,S6
300,01030600403036,3
301,01030600403036,4
302,01030600403036,6
303,01030600403036,7
304,01030600403036,8
305,01030600403049,3
306,01030600403049,4
307,01030600403072,2
308,01030600403072,3
309,01030600403072,4
310,01030600403092,2
311,01030600403092,3
312,01030600403092,4
313,01030600403116,1
314,01030600403116,2
315,01030600403116,3
316,01030600403116,4
317,01030600403116,8
318,01030600403138,3
319,01030600403138,4
320,01030600403138,9
321,01030600403164,1
322,01030600403164,3
323,01030600403164,4
324,01030600403173,3
325,01030600403173,4
326,01030600403173,9
327,01030600403183,3
328,01030600403183,4
329,01030600403183,9
330,01030600403185,3
331,01030600403185,4
332,01030600403185,8
333,01030800402002,8
334,01030800402015,4
335,01030800402015,8
336,01030800402028,4
337,01030800402028,8
338,01030800402041,3
339,01030800402041,4
340,01030800402041,8
341,01030800402054,4
342,01030800402054,6
343,01030800402054,8
344,01030800402067,4
345,01030800402067,5
346,01030800402067,8
347,01030800402080,8
348,01030800402093,4
349,01030800402093,8
350,01030800402106,4
351,01030800402106,8
352,01030800402119,4
353,01030800402119,8
354,01030800402132,4
355,01030800402132,8
356,01030800402145,4
357,01030800402145,8
358,01041100201005,1
359,01041100201005,2
360,01041100201005,3
361,01041100201005,4
362,01041100201005,5
363,01041100201005,6
364,01041100201005,7
365,01041100201020,1
366,01041100201020,2
367,01041100201020,4
368,01041100201020,5
369,01041100201020,6
370,01041100201020,7
371,01041100201020,8
372,01041100201035,1
373,01041100201035,2
374,01041100201035,4
375,01041100201035,5
376,01041100201035,6
377,01041100201035,7
378,01041100201035,8
379,01041100201035,9
380,01041100201050,1
381,01041100201050,2
382,01041100201050,3
383,01041100201050,4
384,01041100201050,5
385,01041100201050,6
386,01041100201050,7
387,01041100201050,8
388,01041100201050,9
389,01041100201065,1
390,01041100201065,2
391,01041100201065,4
392,01041100201065,5
393,01041100201065,6
394,01041100201065,7
395,01041100201080,1
396,01041100201080,2
397,01041100201080,4
398,01041100201080,5
399,01041100201080,6
400,01041100201080,7
401,01041100201080,8
402,01041100201080,9
403,01041100201095,1
404,01041100201095,2
405,01041100201095,4
406,01041100201095,5
407,01041100201095,6
408,01041100201110,1
409,01041100201110,2
410,01041100201110,5
411,01041100201110,6
412,01041100201110,7
413,01041100201110,8
414,01041100201110,9
415,01041100201125,1
416,01041100201125,2
417,01041100201125,3
418,01041100201125,4
419,01041100201125,5
420,01041100201125,6
421,01041100201140,1
422,01041100201140,2
423,01041100201140,3
424,01041100201140,4
425,01041100201140,5
426,01041100201140,6
427,01041100201140,7
428,01041100201155,1
429,01041100201155,2
430,01041100201155,4
431,01041100201155,5
432,01041100201155,6
433,01041100201155,7
434,01041100201155,8
435,01041100201170,1
436,01041100201170,2
437,01041100201170,3
438,01041100201170,4
439,01041100201170,5
440,01041100201170,6
441,01050100110004,1
442,01050100110004,2
443,01050100110004,3
444,01050100110004,4
445,01050100110004,5
446,01050100110004,6
447,01050100110004,7
448,01050100110006,1
449,01050100110006,2
450,01050100110006,3
451,01050100110006,4
452,01050100110006,5
453,01050100110006,6
454,01050100110006,7
455,01050100110006,8
456,01050100110009,1
457,01050100110009,2
458,01050100110009,3
459,01050100110009,4
460,01050100110009,5
461,01050100110009,6
462,01050100110009,7
463,01050100110009,8
464,01050100110013,1
465,01050100110013,2
466,01050100110013,3
467,01050100110013,4
468,01050100110013,5
469,01050100110013,6
470,01050100110013,7
471,01050100110013,8
472,01050100110022,1
473,01050100110022,2
474,01050100110022,3
475,01050100110022,4
476,01050100110022,5
477,01050100110022,6
478,01050100110031,1
479,01050100110031,2
480,01050100110031,5
481,01050100110031,6
482,01050100110040,1
483,01050100110040,2
484,01050100110040,3
485,01050100110040,4
486,01050100110040,5
487,01050100110040,6
488,01050100110040,7
489,01050100110040,8
490,01050100110040,9
491,01050100110058,1
492,01050100110058,2
493,01050100110058,4
494,01050100110058,5
495,01050100110058,6
496,01050100110058,7
497,01050100110058,8
498,01050100110067,1
499,01050100110067,2
500,01050100110067,3
501,01050100110067,5
502,01050100110067,6
503,01050100110067,7
504,01050100110067,8
505,01050100110067,9
506,01050100110085,1
507,01050100110085,2
508,01050100110085,3
509,01050100110085,4
510,01050100110085,5
511,01050100110094,1
512,01050100110094,2
513,01050100110094,3
514,01050100110094,4
515,01050100110094,5
516,01050100110094,6
517,01050100110103,1
518,01050100110103,2
519,01050100110103,3
520,01050100110103,5
521,01050100110103,6
522,01050101108006,1
523,01050101108006,4
524,01050101108006,5
525,01050101108006,6
526,01050101108006,7
527,01050101108006,8
528,01050101108019,4
529,01050101108019,5
530,01050101108019,6
531,01050101108019,7
532,01050101108019,8
533,01050101108019,9
534,01050101108032,3
535,01050101108032,4
536,01050101108032,8
537,01050101108045,1
538,01050101108045,2
539,01050101108045,3
540,01050101108045,4
541,01050101108045,5
542,01050101108045,6
543,01050101108045,7
544,01050101108045,8
545,01050101108045,9
546,01050101108058,4
547,01050101108058,6
548,01050101108058,8
549,01050101108071,3
550,01050101108071,4
551,01050101108071,5
552,01050101108071,6
553,01050101108071,7
554,01050101108071,8
555,01050101108084,2
556,01050101108084,3
557,01050101108084,4
558,01050101108084,5
559,01050101108084,6
560,01050101108084,7
561,01050101108097,3
562,01050101108097,4
563,01050101108110,2
564,01050101108110,3
565,01050101108110,4
566,01050101108110,5
567,01050101108110,6
568,01050101108123,1
569,01050101108123,2
570,01050101108123,3
571,01050101108123,4
572,01050101108123,5
573,01050101108123,6
574,01050101108136,1
575,01050101108136,2
576,01050101108136,3
577,01050101108136,4
578,01050101108136,5
579,01050101108136,6
580,01050101108136,7
581,01050101108136,8
582,01050101108136,9
583,01050101108149,1
584,01050101108149,2
585,01050101108149,5
586,01050101108149,6
587,01060100317002,1
588,01060100317002,2
589,01060100317002,5
590,01060100317002,6
591,01060100317012,1
592,01060100317012,2
593,01060100317012,4
594,01060100317012,5
595,01060100317012,6
596,01060100317012,7
597,01060100317012,8
598,01060100317022,1
599,01060100317022,2
600,01060100317022,4
601,01060100317022,5
602,01060100317022,6
603,01060100317022,7
604,01060100317022,8
605,01060100317032,1
606,01060100317032,2
607,01060100317032,6
608,01060100317032,7
609,01060100317042,1
610,01060100317042,2
611,01060100317042,4
612,01060100317042,5
613,01060100317042,6
614,01060100317042,7
615,01060100317052,1
616,01060100317052,2
617,01060100317052,3
618,01060100317052,4
619,01060100317052,5
620,01060100317052,6
621,01060100317052,7
622,01060100317052,8
623,01060100317062,1
624,01060100317062,5
625,01060100317062,6
626,01060100317072,1
627,01060100317072,2
628,01060100317072,4
629,01060100317072,5
630,01060100317072,6
631,01060100317082,1
632,01060100317082,4
633,01060100317082,5
634,01060100317082,6
635,01060100317092,1
636,01060100317092,2
637,01060100317092,5
638,01060100317092,6
639,01060100317092,7
640,01060100317102,1
641,01060100317102,2
642,01060100317102,4
643,01060100317102,5
644,01060100317102,6
645,01060100317112,1
646,01060100317112,5
647,01060100317112,7
648,01060200127002,2
649,01060200127002,3
650,01060200127002,4
651,01060200127002,6
652,01060200127003,6
653,01060200127031,2
654,01060200127031,3
655,01060200127031,4
656,01060200127031,6
657,01060200127045,2
658,01060200127045,3
659,01060200127045,4
660,01060200127045,6
661,01060200127058,2
662,01060200127058,3
663,01060200127058,4
664,01060200127058,5
665,01060200127058,6
666,01060200127058,7
667,01060200127058,8
668,01060200127058,9
669,01060200127072,3
670,01060200127072,4
671,01060200127072,6
672,01060200127072,7
673,01060200127072,8
674,01060200127072,9
675,01060200127086,1
676,01060200127086,5
677,01060200127086,6
678,01060200127100,1
679,01060200127100,2
680,01060200127100,4
681,01060200127100,5
682,01060200127100,6
683,01060200127100,7
684,01060200127100,8
685,01060200127113,2
686,01060200127113,4
687,01060200127113,6
688,01060200127128,2
689,01060200127128,6
690,01060200127142,1
691,01060200127142,2
692,01060200127142,3
693,01060200127142,4
694,01060200127142,5
695,01060200127142,6
696,01060200127142,7
697,01060200127142,8
698,01060200127142,9
699,01060200127156,1
700,01060200127156,5
701,01060200127156,6
702,01060200127156,7
703,01060200506004,1
704,01060200506015,1
705,01060200506015,2
706,01060200506015,7
707,01060200506015,8
708,01060200506026,1
709,01060200506026,2
710,01060200506026,7
711,01060200506037,1
712,01060200506037,2
713,01060200506037,5
714,01060200506037,7
715,01060200506037,8
716,01060200506037,9
717,01060200506048,1
718,01060200506048,2
719,01060200506048,5
720,01060200506048,6
721,01060200506048,7
722,01060200506059,1
723,01060200506059,2
724,01060200506059,7
725,01060200506059,8
726,01060200506070,1
727,01060200506070,7
728,01060200506081,1
729,01060200506081,2
730,01060200506081,4
731,01060200506092,7
732,01060200506092,9
733,01060200506103,1
734,01060200506103,6
735,01060200506114,1
736,01060200506114,2
737,01060200506114,4
738,01060200506114,5
739,01060200506114,6
740,01060200506114,7
741,01060200506114,9
742,01060200506125,1
743,01060200506125,2
744,01060200506125,3
745,01060200506125,4
746,01060200506125,5
747,01060200506125,6
748,01060200506125,7
749,01060200506125,8
750,01060200506125,9
751,02070101804001,3
752,02070101804011,3
753,02070101804011,4
754,02070101804021,4
755,02070101804031,1
756,02070101804031,2
757,02070101804031,3
758,02070101804041,1
759,02070101804041,2
760,02070101804041,3
761,02070101804051,1
762,02070101804051,2
763,02070101804051,3
764,02070101804061,1
765,02070101804061,2
766,02070101804061,3
767,02070101804061,4
768,02070101804061,5
769,02070101804061,8
770,02070101804071,1
771,02070101804071,2
772,02070101804071,3
773,02070101804071,4
774,02070101804071,6
775,02070101804071,7
776,02070101804071,8
777,02070101804071,9
778,02070101804081,13
779,02070101804091,13
780,02070101804101,13
781,02070101804111,13
782,02070101901002,4
783,02070101901014,4
784,02070101901026,4
785,02070101901038,1
786,02070101901038,3
787,02070101901038,4
788,02070101901050,1
789,02070101901050,3
790,02070101901050,4
791,02070101901062,1
792,02070101901062,3
793,02070101901062,4
794,02070101901074,1
795,02070101901074,2
796,02070101901074,3
797,02070101901086,1
798,02070101901086,2
799,02070101901086,4
800,02070101901098,1
801,02070101901098,2
802,02070101901098,3
803,02070101901110,13
804,02070101901122,13
805,02070101901134,9
806,02070200101003,8
807,02070200101003,9
808,02070200101011,5
809,02070200101011,6
810,02070200101011,7
811,02070200101019,3
812,02070200101019,4
813,02070200101019,8
814,02070200101027,8
815,02070200101035,7
816,02070200101035,8
817,02070200101035,9
818,02070200101043,6
819,02070200101043,8
820,02070200101051,4
821,02070200101051,11
822,02070200101059,6
823,02070200101059,8
824,02070200101067,1
825,02070200101067,3
826,02070200101067,4
827,02070200101075,1
828,02070200101075,7
829,02070200101075,8
830,02070200101083,4
831,02070200101083,3
832,02070200101091,8
833,02070200101091,9
834,02070200101091,3
835,02070300104005,4
836,02070300104005,6
837,02070300104005,7
838,02070300104016,4
839,02070300104016,5
840,02070300104016,6
841,02070300104027,4
842,02070300104027,6
843,02070300104027,8
844,02070300104038,5
845,02070300104038,6
846,02070300104038,7
847,02070300104049,6
848,02070300104049,10
849,02070300104060,2
850,02070300104060,4
851,02070300104060,5
852,02070300104071,3
853,02070300104071,4
854,02070300104071,5
855,02070300104082,4
856,02070300104082,6
857,02070300104082,7
858,02070300104093,3
859,02070300104093,4
860,02070300104093,6
861,02070300104104,4
862,02070300104104,5
863,02070300104104,6
864,02070300104115,1
865,02070300104115,3
866,02070300104115,4
867,02070300104126,3
868,02070300104126,4
869,02070300104126,5
870,02070300111005,4
871,02070300111005,5
872,02070300111005,6
873,02070300111015,2
874,02070300111015,6
875,02070300111015,8
876,02070300111025,3
877,02070300111025,5
878,02070300111025,6
879,02070300111035,3
880,02070300111035,4
881,02070300111045,4
882,02070300111045,5
883,02070300111045,6
884,02070300111055,4
885,02070300111055,5
886,02070300111055,6
887,02070300111065,4
888,02070300111065,5
889,02070300111065,6
890,02070300111075,4
891,02070300111075,5
892,02070300111075,6
893,02070300111085,5
894,02070300111085,6
895,02070300111085,7
896,02070300111095,4
897,02070300111095,5
898,02070300111095,6
899,02070300111105,5
900,02070300111105,6
901,02070300111105,7
902,02070300111115,5
903,02070300111115,6
904,02070300111115,7
905,02070300205006,2
906,02070300205006,3
907,02070300205006,6
908,02070300205011,2
909,02070300205011,3
910,02070300205011,6
911,02070300205016,4
912,02070300205016,6
913,02070300205026,5
914,02070300205026,6
915,02070300205026,7
916,02070300205026,8
917,02070300205031,6
918,02070300205031,7
919,02070300205031,8
920,02070300205036,8
921,02070300205041,4
922,02070300205041,5
923,02070300205041,6
924,02070300205046,3
925,02070300205046,4
926,02070300205046,6
927,02070300205051,4
928,02070300205051,6
929,02070300205056,8
930,02070300205061,3
931,02070300205061,4
932,02070300205061,8
933,02070300212007,5
934,02070300212007,6
935,02070300212007,7
936,02070300212015,4
937,02070300212015,9
938,02070300212023,6
939,02070300212023,8
940,02070300212031,6
941,02070300212031,8
942,02070300212039,6
943,02070300212039,4
944,02070300212047,4
945,02070300212047,8
946,02070300212055,4
947,02070300212055,5
948,02070300212055,9
949,02070300212063,6
950,02070300212063,8
951,02070300212071,6
952,02070300212071,8
953,02070300212071,9
954,02070300212071,10
955,02070300212079,4
956,02070300212079,8
957,02070300212079,9
958,02070300212087,4
959,02070300212087,6
960,02070300212087,8
961,02070300212095,4
962,02070300212095,8
963,02070300212095,9
964,02070501103003,4
965,02070501103013,6
966,02070501103023,3
967,02070501103033,9
968,02070501103041,4
969,02070501103049,4
970,02070501103049,6
971,02070501103049,8
972,02070501103059,1
973,02070501103059,3
974,02070501103059,4
975,02070501103079,1
976,02070501103079,4
977,02070501103079,8
978,02070501103089,1
979,02070501103089,4
980,02070501103089,8
981,02070501103103,4
982,02070501103106,5
983,02070501103106,8
984,02070501103133,2
985,02070501103133,3
986,02070501103133,4
987,02070501302004,13
988,02070501302016,13
989,02070501302028,13
990,02070501302040,1
991,02070501302040,3
992,02070501302040,4
993,02070501302052,1
994,02070501302052,3
995,02070501302052,4
996,02070501302064,1
997,02070501302064,3
998,02070501302064,4
999,02070501302076,1
1000,02070501302076,2
1001,02070501302076,3
1002,02070501302076,4
1003,02070501302076,5
1004,02070501302088,2
1005,02070501302088,4
1006,02070501302088,6
1007,02070501302100,2
1008,02070501302100,3
1009,02070501302100,5
1010,02070501302112,1
1011,02070501302112,2
1012,02070501302112,4
1013,02070501302112,6
1014,02070501302112,7
1015,02070501302112,8
1016,02070501302124,1
1017,02070501302124,2
1018,02070501302124,4
1019,02070501302124,5
1020,02070501302124,7
1021,02070501302136,1
1022,02070501302136,3
1023,02070501302136,4
1024,02080300102008,1
1025,02080300102008,2
1026,02080300102008,3
1027,02080300102022,1
1028,02080300102022,2
1029,02080300102022,3
1030,02080300102022,4
1031,02080300102022,5
1032,02080300102022,7
1033,02080300102036,1
1034,02080300102036,2
1035,02080300102036,3
1036,02080300102036,4
1037,02080300102050,1
1038,02080300102050,3
1039,02080300102050,4
1040,02080300102064,1
1041,02080300102064,3
1042,02080300102064,4
1043,02080300102078,1
1044,02080300102078,3
1045,02080300102078,4
1046,02080300102092,1
1047,02080300102092,3
1048,02080300102092,4
1049,02080300102106,3
1050,02080300102106,4
1051,02080300102106,8
1052,02080300102120,3
1053,02080300102120,4
1054,02080300102134,2
1055,02080300102134,3
1056,02080300102134,4
1057,02080300102148,3
1058,02080300102148,4
1059,02080300102148,9
1060,02080300102162,2
1061,02080300102162,3
1062,02080300102162,4
1063,02080300102162,9
1064,02080300404004,1
1065,02080300404004,3
1066,02080300404004,4
1067,02080300404015,1
1068,02080300404015,3
1069,02080300404015,4
1070,02080300404026,1
1071,02080300404026,3
1072,02080300404026,4
1073,02080300404037,3
1074,02080300404037,4
1075,02080300404048,3
1076,02080300404048,4
1077,02080300404048,6
1078,02080300404048,9
1079,02080300404059,2
1080,02080300404059,3
1081,02080300404059,4
1082,02080300404059,9
1083,02080300404070,1
1084,02080300404070,2
1085,02080300404070,3
1086,02080300404070,4
1087,02080300404070,5
1088,02080300404081,3
1089,02080300404081,4
1090,02080300404092,1
1091,02080300404092,3
1092,02080300404092,4
1093,02080300404104,1
1094,02080300404104,2
1095,02080300404104,3
1096,02080300404104,4
1097,02080300404104,5
1098,02080300404130,1
1099,02080300404130,2
1100,02080300404130,3
1101,02080300404130,4
1102,02080300404130,5
1103,02080300404130,8
1104,02080300404156,1
1105,02080300404156,3
1106,02080300404156,4
1107,02080300404156,8
1108,02090100104008,2
1109,02090100104008,3
1110,02090100104008,4
1111,02090100104020,1
1112,02090100104020,3
1113,02090100104020,4
1114,02090100104032,6
1115,02090100104032,8
1116,02090100104032,9
1117,02090100104044,8
1118,02090100104044,9
1119,02090100104056,1
1120,02090100104056,2
1121,02090100104056,3
1122,02090100104068,1
1123,02090100104068,2
1124,02090100104068,3
1125,02090100104080,1
1126,02090100104080,4
1127,02090100104080,6
1128,02090100104092,6
1129,02090100104092,8
1130,02090100104104,8
1131,02090100104116,4
1132,02090100104116,6
1133,02090100104116,8
1134,02090100104128,3
1135,02090100104128,4
1136,02090100104128,6
1137,02090100104140,5
1138,02090100104140,6
1139,02090100104140,8
1140,02090200123004,1
1141,02090200123004,6
1142,02090200123004,8
1143,02090200123018,4
1144,02090200123018,3
1145,02090200123032,4
1146,02090200123032,8
1147,02090200123046,1
1148,02090200123046,4
1149,02090200123046,8
1150,02090200123060,1
1151,02090200123060,8
1152,02090200123074,8
1153,02090200123088,3
1154,02090200123088,6
1155,02090200123088,7
1156,02090200123102,5
1157,02090200123102,6
1158,02090200123102,8
1159,02090200123116,5
1160,02090200123116,6
1161,02090200123130,6
1162,02090200123130,7
1163,02090200123130,8
1164,02090200123144,1
1165,02090200123144,3
1166,02090200123144,4
1167,02090200123144,6
1168,02090200123158,1
1169,02090200123158,4
1170,02090200123158,8
1171,02100100401006,3
1172,02100100401006,4
1173,02100100401006,8
1174,02100100401026,2
1175,02100100401026,3
1176,02100100401026,4
1177,02100100401046,1
1178,02100100401046,3
1179,02100100401046,4
1180,02100100401066,3
1181,02100100401066,4
1182,02100100401086,1
1183,02100100401086,3
1184,02100100401086,4
1185,02100100401106,1
1186,02100100401106,3
1187,02100100401106,4
1188,02100100401126,1
1189,02100100401126,3
1190,02100100401126,4
1191,02100100401126,9
1192,02100100401146,1
1193,02100100401146,2
1194,02100100401146,3
1195,02100100401146,4
1196,02100100401146,9
1197,02100100401166,2
1198,02100100401166,3
1199,02100100401166,4
1200,02100100401186,1
1201,02100100401186,2
1202,02100100401186,4
1203,02100100401186,9
1204,02100100401206,3
1205,02100100401206,4
1206,02100100401206,9
1207,02100100401226,1
1208,02100100401226,2
1209,02100100401226,3
1210,02100100401226,4
1211,02100100401226,9
1212,02100100501005,2
1213,02100100501005,3
1214,02100100501005,4
1215,02100100501005,9
1216,02100100501024,3
1217,02100100501024,4
1218,02100100501024,9
1219,02100100501043,3
1220,02100100501043,4
1221,02100100501043,9
1222,02100100501062,3
1223,02100100501062,4
1224,02100100501081,3
1225,02100100501081,4
1226,02100100501081,9
1227,02100100501100,1
1228,02100100501100,3
1229,02100100501100,4
1230,02100100501100,9
1231,02100100501119,1
1232,02100100501119,3
1233,02100100501119,4
1234,02100100501119,5
1235,02100100501119,6
1236,02100100501119,7
1237,02100100501138,1
1238,02100100501138,3
1239,02100100501138,4
1240,02100100501138,5
1241,02100100501138,6
1242,02100100501157,1
1243,02100100501157,2
1244,02100100501157,3
1245,02100100501157,4
1246,02100100501157,6
1247,02100100501157,7
1248,02100100501176,1
1249,02100100501176,3
1250,02100100501176,4
1251,02100100501176,5
1252,02100100501176,6
1253,02100100501176,8
1254,02100100501195,1
1255,02100100501195,3
1256,02100100501195,4
1257,02100100501195,5
1258,02100100501195,7
1259,02100100501214,1
1260,02100100501214,2
1261,02100100501214,3
1262,02100100501214,4
1263,02100100501214,5
1264,02100200904005,2
1265,02100200904005,3
1266,02100200904005,4
1267,02100200904016,1
1268,02100200904016,3
1269,02100200904016,4
1270,02100200904027,3
1271,02100200904027,4
1272,02100200904027,8
1273,02100200904038,4
1274,02100200904038,5
1275,02100200904038,7
1276,02100200904049,3
1277,02100200904049,4
1278,02100200904049,5
1279,02100200904060,2
1280,02100200904060,3
1281,02100200904060,4
1282,02100200904071,1
1283,02100200904071,3
1284,02100200904071,4
1285,02100200904082,1
1286,02100200904082,3
1287,02100200904082,4
1288,02100200904082,9
1289,02100200904093,1
1290,02100200904093,2
1291,02100200904093,3
1292,02100200904093,4
1293,02100200904093,9
1294,02100200904104,1
1295,02100200904104,3
1296,02100200904104,4
1297,02100200904115,1
1298,02100200904115,2
1299,02100200904115,4
1300,02100200904115,9
1301,02100200904126,1
1302,02100200904126,2
1303,02100200904126,3
1304,02100200904126,4
1305,03110300605013,2
1306,03110300605013,3
1307,03110300605013,8
1308,03110300605013,9
1309,03110300605030,2
1310,03110300605030,3
1311,03110300605030,8
1312,03110300605030,9
1313,03110300605047,2
1314,03110300605047,3
1315,03110300605047,8
1316,03110300605064,3
1317,03110300605064,8
1318,03110300605064,9
1319,03110300605081,2
1320,03110300605081,3
1321,03110300605081,8
1322,03110300605098,2
1323,03110300605098,3
1324,03110300605115,2
1325,03110300605115,3
1326,03110300605115,8
1327,03110300605132,2
1328,03110300605132,3
1329,03110300605149,2
1330,03110300605166,2
1331,03110300605166,3
1332,03110300605166,9
1333,03110300605183,2
1334,03110300605200,2
1335,03110301501010,2
1336,03110301501010,3
1337,03110301501010,8
1338,03110301501025,2
1339,03110301501025,3
1340,03110301501025,8
1341,03110301501040,2
1342,03110301501040,3
1343,03110301501040,6
1344,03110301501040,8
1345,03110301501055,2
1346,03110301501055,3
1347,03110301501055,8
1348,03110301501070,2
1349,03110301501070,3
1350,03110301501085,2
1351,03110301501085,3
1352,03110301501085,8
1353,03110301501100,2
1354,03110301501100,3
1355,03110301501100,8
1356,03110301501115,2
1357,03110301501115,3
1358,03110301501115,6
1359,03110301501115,9
1360,03110301501130,2
1361,03110301501145,2
