,HHID,H2,H3,H4,H5,H6,H7,H8,H9,H12,H13,H14,H14_unit,H15,C2
101,01010200116050,7,2,,,,,,,,,,,,1
102,01010200116050,8,2,,,,,,,,,,,,1
103,01010200116050,9,2,,,,,,,,,,,,1
104,01010200116050,10,2,,,,,,,,,,,,1
105,01010200116050,11,2,,,,,,,,,,,,1
106,01010200116050,12,2,,,,,,,,,,,,1
107,01010200116050,13,2,,,,,,,,,,,,1
108,01010200116050,14,2,,,,,,,,,,,,1
109,01010200116050,15,2,,,,,,,,,,,,1
110,01010200116050,16,2,,,,,,,,,,,,1
111,01010200116050,17,2,,,,,,,,,,,,1
112,01010200116050,18,2,,,,,,,,,,,,1
113,01010200116050,19,2,,,,,,,,,,,,1
114,01010200116059,1,2,,,,,,,,,,,,1
115,01010200116059,2,2,,,,,,,,,,,,1
116,01010200116059,3,2,,,,,,,,,,,,1
117,01010200116059,4,1,,1.0,,1.0,,,7.0,8.0,1.0,5.0,150.0,1
118,01010200116059,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
119,01010200116059,6,2,,,,,,,,,,,,1
120,01010200116059,7,2,,,,,,,,,,,,1
121,01010200116059,8,2,,,,,,,,,,,,1
122,01010200116059,9,2,,,,,,,,,,,,1
123,01010200116059,10,2,,,,,,,,,,,,1
124,01010200116059,11,2,,,,,,,,,,,,1
125,01010200116059,12,2,,,,,,,,,,,,1
126,01010200116059,13,2,,,,,,,,,,,,1
127,01010200116059,14,2,,,,,,,,,,,,1
128,01010200116059,15,2,,,,,,,,,,,,1
129,01010200116059,16,2,,,,,,,,,,,,1
130,01010200116059,17,2,,,,,,,,,,,,1
131,01010200116059,18,2,,,,,,,,,,,,1
132,01010200116059,19,2,,,,,,,,,,,,1
133,01010200116068,1,2,,,,,,,,,,,,1
134,01010200116068,2,2,,,,,,,,,,,,1
135,01010200116068,3,2,,,,,,,,,,,,1
136,01010200116068,4,1,,1.0,,1.0,,,7.0,8.0,1.0,5.0,150.0,1
137,01010200116068,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
138,01010200116068,6,2,,,,,,,,,,,,1
139,01010200116068,7,2,,,,,,,,,,,,1
140,01010200116068,8,2,,,,,,,,,,,,1
141,01010200116068,9,2,,,,,,,,,,,,1
142,01010200116068,10,2,,,,,,,,,,,,1
143,01010200116068,11,2,,,,,,,,,,,,1
144,01010200116068,12,2,,,,,,,,,,,,1
145,01010200116068,13,2,,,,,,,,,,,,1
146,01010200116068,14,2,,,,,,,,,,,,1
147,01010200116068,15,2,,,,,,,,,,,,1
148,01010200116068,16,2,,,,,,,,,,,,1
149,01010200116068,17,2,,,,,,,,,,,,1
150,01010200116068,18,2,,,,,,,,,,,,1
151,01010200116068,19,2,,,,,,,,,,,,1
152,01010200116077,1,2,,,,,,,,,,,,1
153,01010200116077,2,2,,,,,,,,,,,,1
154,01010200116077,3,2,,,,,,,,,,,,1
155,01010200116077,4,1,,1.0,,1.0,,,7.0,8.0,1.0,4.0,150.0,1
156,01010200116077,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
157,01010200116077,6,2,,,,,,,,,,,,1
158,01010200116077,7,2,,,,,,,,,,,,1
159,01010200116077,8,2,,,,,,,,,,,,1
160,01010200116077,9,2,,,,,,,,,,,,1
161,01010200116077,10,2,,,,,,,,,,,,1
162,01010200116077,11,2,,,,,,,,,,,,1
163,01010200116077,12,2,,,,,,,,,,,,1
164,01010200116077,13,2,,,,,,,,,,,,1
165,01010200116077,14,2,,,,,,,,,,,,1
166,01010200116077,15,2,,,,,,,,,,,,1
167,01010200116077,16,2,,,,,,,,,,,,1
168,01010200116077,17,2,,,,,,,,,,,,1
169,01010200116077,18,2,,,,,,,,,,,,1
170,01010200116077,19,2,,,,,,,,,,,,1
171,01010200116086,1,2,,,,,,,,,,,,1
172,01010200116086,2,2,,,,,,,,,,,,1
173,01010200116086,3,2,,,,,,,,,,,,1
174,01010200116086,4,1,,1.0,,1.0,,,7.0,8.0,1.0,5.0,150.0,1
175,01010200116086,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
176,01010200116086,6,2,,,,,,,,,,,,1
177,01010200116086,7,2,,,,,,,,,,,,1
178,01010200116086,8,2,,,,,,,,,,,,1
179,01010200116086,9,2,,,,,,,,,,,,1
180,01010200116086,10,2,,,,,,,,,,,,1
181,01010200116086,11,2,,,,,,,,,,,,1
182,01010200116086,12,2,,,,,,,,,,,,1
183,01010200116086,13,2,,,,,,,,,,,,1
184,01010200116086,14,2,,,,,,,,,,,,1
185,01010200116086,15,2,,,,,,,,,,,,1
186,01010200116086,16,2,,,,,,,,,,,,1
187,01010200116086,17,2,,,,,,,,,,,,1
188,01010200116086,18,2,,,,,,,,,,,,1
189,01010200116086,19,2,,,,,,,,,,,,1
190,01010200116095,1,2,,,,,,,,,,,,1
191,01010200116095,2,2,,,,,,,,,,,,1
192,01010200116095,3,2,,,,,,,,,,,,1
193,01010200116095,4,1,,1.0,,1.0,,,7.0,8.0,1.0,5.0,150.0,1
194,01010200116095,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
195,01010200116095,6,2,,,,,,,,,,,,1
196,01010200116095,7,2,,,,,,,,,,,,1
197,01010200116095,8,2,,,,,,,,,,,,1
198,01010200116095,9,2,,,,,,,,,,,,1
199,01010200116095,10,2,,,,,,,,,,,,1
200,01010200116095,11,2,,,,,,,,,,,,1
201,01010200116095,12,2,,,,,,,,,,,,1
202,01010200116095,13,2,,,,,,,,,,,,1
203,01010200116095,14,2,,,,,,,,,,,,1
204,01010200116095,15,2,,,,,,,,,,,,1
205,01010200116095,16,2,,,,,,,,,,,,1
206,01010200116095,17,2,,,,,,,,,,,,1
207,01010200116095,18,2,,,,,,,,,,,,1
208,01010200116095,19,2,,,,,,,,,,,,1
209,01010200116104,1,2,,,,,,,,,,,,1
210,01010200116104,2,2,,,,,,,,,,,,1
211,01010200116104,3,2,,,,,,,,,,,,1
212,01010200116104,4,1,,1.0,,1.0,,,7.0,8.0,1.0,4.0,200.0,1
213,01010200116104,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
214,01010200116104,6,2,,,,,,,,,,,,1
215,01010200116104,7,2,,,,,,,,,,,,1
216,01010200116104,8,2,,,,,,,,,,,,1
217,01010200116104,9,2,,,,,,,,,,,,1
218,01010200116104,10,2,,,,,,,,,,,,1
219,01010200116104,11,2,,,,,,,,,,,,1
220,01010200116104,12,2,,,,,,,,,,,,1
221,01010200116104,13,2,,,,,,,,,,,,1
222,01010200116104,14,2,,,,,,,,,,,,1
223,01010200116104,15,2,,,,,,,,,,,,1
224,01010200116104,16,2,,,,,,,,,,,,1
225,01010200116104,17,2,,,,,,,,,,,,1
226,01010200116104,18,2,,,,,,,,,,,,1
227,01010200116104,19,2,,,,,,,,,,,,1
228,01010301101004,1,2,,,,,,,,,,,,1
229,01010301101004,2,1,,1.0,,1.0,,,2.0,3.0,8.0,3.0,320.0,1
230,01010301101004,3,1,,1.0,,1.0,,,1.0,12.0,4.0,12.0,0.0,1
231,01010301101004,4,1,,,,,,11.0,12.0,1.0,50.0,1.0,60.0,1
232,01010301101004,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
233,01010301101004,6,2,,,,,,,,,,,,1
234,01010301101004,7,2,,,,,,,,,,,,1
235,01010301101004,8,2,,,,,,,,,,,,1
236,01010301101004,9,1,,1.0,,1.0,,,2.0,5.0,8.0,5.0,0.0,1
237,01010301101004,10,1,,1.0,,,,,2.0,12.0,8.0,12.0,0.0,1
238,01010301101004,11,2,,,,,,,,,,,,1
239,01010301101004,12,2,,,,,,,,,,,,1
