,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14_w,H14_t,H15_w,H15_t,H16_w,H16_t,H17_w,H17_t,H18,H21_mm,H21_yy,H19,H20_first,H20_second,H21,H22,H23,H24,H25,H26
32,03111700101,3,11,17,1,1,1,1,1,,,,,10.0,2000.0,2.0,1700.0,289.0,1.0,2.0,2.0,15.0,15.0,1.0,3.0,2.0,2.0,1.0,10.0,2008.0,5.0,1.0,,3.0,2.0,2.0,2.0,2,
33,03111800604,3,11,18,6,4,1,1,1,,,,,50.0,-888.0,2.0,1515.0,600.0,1.0,2.0,2.0,10.0,13.0,1.0,4.0,2.0,2.0,2.0,,,,5.0,6.0,3.0,2.0,1.0,2.0,2,
34,03111802013,3,11,18,20,13,1,1,1,,,,,40.0,2800.0,2.0,1800.0,600.0,1.0,2.0,2.0,10.0,18.0,1.0,3.0,2.0,2.0,1.0,10.0,2008.0,35.0,3.0,1.0,3.0,2.0,2.0,2.0,2,
35,03111802013,3,11,18,20,13,1,5,1,,,,,39.0,0.0,2.0,5500.0,877.0,1.0,2.0,2.0,18.0,22.0,1.0,3.0,2.0,2.0,1.0,12.0,2008.0,2.0,8.0,2.0,1.0,3.0,2.0,4.0,2,
36,03112101007,3,11,21,10,7,2,17,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0
37,03120102608,3,12,1,26,8,2,18,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
38,03120200303,3,12,2,3,3,1,1,1,,,,,40.0,3000.0,2.0,3000.0,25.0,1.0,2.0,2.0,10.0,15.0,1.0,3.0,2.0,2.0,2.0,,,,3.0,,3.0,2.0,2.0,2.0,2,
39,03120300709,3,12,3,7,9,2,19,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
40,03120302401,3,12,3,24,1,2,20,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
41,03121000302,3,12,10,3,2,1,1,1,,,,,56.0,2800.0,2.0,3000.0,500.0,1.0,2.0,2.0,14.0,18.0,2.0,4.0,2.0,1.0,2.0,,,,3.0,,3.0,2.0,2.0,2.0,2,
42,03121000302,3,12,10,3,2,1,2,1,,,,,90.0,-888.0,1.0,17654.0,1.0,1.0,2.0,2.0,10.0,20.0,1.0,2.0,2.0,2.0,1.0,4.0,2009.0,4.0,8.0,2.0,1.0,2.0,1.0,2.0,2,
43,03130200801,3,13,2,8,1,2,15,1,,,,,1.0,1140.0,4.0,92.0,3.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,2.0,2009.0,15.0,8.0,1.0,5.0,3.0,1.0,5.0,1,10.0
44,03130202504,3,13,2,25,4,2,16,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0
