,HHID,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I14,I15,I16,I17,I18,I19,I20_a,I20_b,I21_a,I21_b,I22,I23,I24,I25,I26,I27,I28,I29,I31,I32,I33,I34_1,I34_2
38,01010301101004,3,1,36.0,1.0,60.0,,2.0,7.0,1.0,1.0,70.0,2.0,2.0,64.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,2.0,60.0,0.0,60.0,0.0,1.0,4.0,9.0,2.0,2.0,6.0
39,01010301101005,1,1,,,,,,,,1.0,0.0,1.0,3.0,2.0,1.0,2.0,,3.0,9.0,2.0,2.0,5.0,7.0,3.0,120.0,120.0,120.0,60.0,2.0,,9.0,2.0,11.0,
40,01010301101005,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,01010301101005,3,1,24.0,1.0,35.0,,2.0,7.0,1.0,1.0,60.0,2.0,1.0,64.0,2.0,2.0,,4.0,,3.0,,5.0,7.0,2.0,60.0,0.0,60.0,0.0,1.0,2.0,9.0,2.0,2.0,2.0
42,01010301101010,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,01010301101010,2,1,,,,,,,2.0,1.0,0.0,2.0,1.0,25.0,2.0,2.0,,3.0,,2.0,,5.0,1.0,1.0,0.0,0.0,0.0,60.0,2.0,,9.0,1.0,13.0,
44,01010301101010,3,1,180.0,1.0,15.0,,2.0,7.0,1.0,1.0,80.0,2.0,1.0,25.0,2.0,2.0,,4.0,,2.0,,2.0,7.0,3.0,30.0,30.0,30.0,60.0,2.0,,9.0,1.0,11.0,
45,01010301101012,1,1,,,,,,,,1.0,0.0,1.0,3.0,12.0,1.0,1.0,1.0,3.0,9.0,2.0,2.0,5.0,7.0,4.0,30.0,30.0,30.0,30.0,2.0,,9.0,2.0,11.0,
46,01010301101012,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,01010301101012,3,1,180.0,1.0,25.0,,2.0,7.0,1.0,1.0,80.0,2.0,1.0,56.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,2.0,6.0
48,01010301101016,1,1,,,,,,,,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,3.0,45.0,45.0,45.0,15.0,2.0,,9.0,2.0,11.0,
49,01010301101016,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,01010301101016,3,1,36.0,1.0,25.0,,2.0,7.0,1.0,1.0,80.0,2.0,1.0,25.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,4.0,9.0,2.0,2.0,6.0
51,01010301101020,1,1,,,,,,,,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,10.0,2.0,2.0,5.0,7.0,3.0,60.0,60.0,60.0,60.0,2.0,,9.0,2.0,11.0,
52,01010301101020,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,01010301101020,3,1,60.0,1.0,35.0,,2.0,7.0,1.0,1.0,60.0,2.0,1.0,56.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,120.0,0.0,0.0,0.0,1.0,2.0,9.0,2.0,2.0,2.0
54,01010301101022,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,1.0,1.0,3.0,,2.0,,2.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,1.0,11.0,
55,01010301101022,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,01010301101022,3,1,96.0,1.0,15.0,,2.0,7.0,1.0,1.0,60.0,2.0,1.0,25.0,1.0,2.0,,4.0,,2.0,,5.0,7.0,2.0,60.0,0.0,60.0,30.0,1.0,2.0,9.0,1.0,2.0,2.0
57,01010301101028,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,2.0,,2.0,3.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,20.0,30.0,2.0,,9.0,1.0,13.0,
58,01010301101028,2,1,,,,,,,2.0,1.0,15.0,2.0,1.0,56.0,2.0,2.0,,4.0,,2.0,,5.0,2.0,2.0,60.0,0.0,60.0,0.0,1.0,2.0,9.0,1.0,,
59,01010301101028,3,1,96.0,1.0,20.0,,2.0,7.0,2.0,1.0,40.0,2.0,1.0,56.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,3.0,120.0,120.0,120.0,0.0,1.0,2.0,9.0,1.0,11.0,
60,01010301101034,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,1.0,1.0,3.0,,2.0,,5.0,2.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,3.0,13.0,
61,01010301101034,2,1,,,,,,,2.0,1.0,0.0,2.0,1.0,25.0,2.0,2.0,,4.0,,2.0,,5.0,5.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,3.0,2.0,2.0
62,01010301101034,3,1,72.0,1.0,15.0,,2.0,7.0,1.0,1.0,80.0,2.0,1.0,25.0,2.0,2.0,,4.0,,2.0,,5.0,5.0,3.0,60.0,60.0,60.0,30.0,1.0,3.0,9.0,3.0,2.0,2.0
63,01010301101040,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,01010301101040,2,1,,,,,,,2.0,1.0,15.0,2.0,5.0,,,2.0,,2.0,4.0,2.0,2.0,2.0,7.0,3.0,60.0,60.0,60.0,15.0,1.0,2.0,9.0,4.0,11.0,
65,01010301101040,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,01010301101046,1,1,,,,,,,,1.0,0.0,1.0,4.0,,,1.0,1.0,3.0,9.0,2.0,2.0,5.0,7.0,4.0,60.0,60.0,60.0,30.0,2.0,,9.0,3.0,11.0,
67,01010301101046,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
