,HHID,C23
0,01010200116005,7
1,01010200116005,8
2,01010200116005,9
3,01010200116014,6
4,01010200116014,7
5,01010200116014,8
6,01010200116023,6
7,01010200116023,7
8,01010200116023,8
9,01010200116032,7
10,01010200116032,8
11,01010200116032,9
12,01010200116041,7
13,01010200116041,8
14,01010200116050,7
15,01010200116050,8
16,01010200116050,9
17,01010200116059,6
18,01010200116059,7
19,01010200116059,8
20,01010200116068,6
21,01010200116068,7
22,01010200116068,8
23,01010200116077,6
24,01010200116077,7
25,01010200116077,8
26,01010200116086,6
27,01010200116086,7
28,01010200116086,8
29,01010200116086,9
30,01010200116095,6
31,01010200116095,7
32,01010200116095,8
33,01010200116104,6
34,01010200116104,7
35,01010200116104,8
36,01010301101004,7
37,01010301101004,8
38,01010301101010,6
39,01010301101010,7
40,01010301101010,8
41,01010301101016,6
42,01010301101016,7
43,01010301101016,8
44,01010301101022,6
45,01010301101022,7
46,01010301101022,8
47,01010301101028,6
48,01010301101028,7
49,01010301101028,8
50,01010301101034,6
51,01010301101034,7
52,01010301101034,8
53,01010301101040,6
54,01010301101040,7
55,01010301101040,8
56,01010301101046,6
57,01010301101046,7
58,01010301101046,8
59,01010301101052,6
60,01010301101052,7
61,01010301101052,8
62,01020600113003,6
63,01020600113003,7
64,01020600113003,8
65,01020600113011,7
66,01020600113011,8
67,01020600113011,9
68,01020600113019,7
69,01020600113019,8
70,01020600113019,9
71,01020600113027,6
72,01020600113027,7
73,01020600113027,8
74,01020600113035,7
75,01020600113035,8
76,01020600113043,6
77,01020600113043,7
78,01020600113043,8
79,01020600113051,6
80,01020600113051,7
81,01020600113051,8
82,01020600113059,6
83,01020600113059,7
84,01020600113059,8
85,01020600113067,6
86,01020600113067,7
87,01020600113067,8
88,01020600113075,7
89,01020600113075,8
90,01020600113075,9
91,01020600113083,6
92,01020600113083,7
93,01020600113083,8
94,01020600113091,6
95,01020600113091,7
96,01020600113091,8
97,01020801604004,6
98,01020801604004,7
99,01020801604004,8
100,01020801604014,7
101,01020801604014,8
102,01020801604014,9
103,01020801604024,6
104,01020801604024,7
105,01020801604024,8
106,01020801604034,6
107,01020801604034,7
108,01020801604034,8
109,01020801604044,6
110,01020801604044,7
111,01020801604044,8
112,01020801604064,6
113,01020801604064,7
114,01020801604064,8
115,01020801604064,9
116,01020801604064,10
117,01020801604074,6
118,01020801604074,7
119,01020801604074,8
120,01021200418002,5
121,01021200418002,6
122,01021200418002,7
123,01021200418002,8
124,01021200418002,9
125,01021200418013,6
126,01021200418013,7
127,01021200418013,8
128,01021200418013,9
129,01021200418024,6
130,01021200418024,7
131,01021200418024,8
132,01021200418024,9
133,01021200418035,7
134,01021200418035,8
135,01021200418035,9
136,01021200418035,10
137,01021200418046,7
138,01021200418046,8
139,01021200418046,9
140,01021200418057,7
141,01021200418057,8
142,01021200418057,9
143,01021200418068,7
144,01021200418068,8
145,01021200418068,9
146,01021200418079,7
147,01021200418079,8
148,01021200418079,9
149,01021200418090,7
150,01021200418090,8
151,01021200418090,9
