,HHID,I2,I13
0,01010200116005,3,12
1,01010200116014,3,12
2,01010200116023,3,12
3,01010200116032,3,12
4,01010200116041,3,12
5,01010200116059,3,12
6,01010200116068,3,12
7,01010200116077,3,12
8,01010200116086,3,12
9,01010200116095,3,12
10,01010200116104,3,12
11,01010301101004,1,12
12,01010301101004,3,12
13,01010301101005,1,12
14,01010301101005,3,12
15,01010301101010,2,12
16,01010301101010,3,12
17,01010301101012,1,12
18,01010301101012,3,12
19,01010301101016,1,12
20,01010301101016,3,12
21,01010301101020,1,12
22,01010301101020,3,12
23,01010301101022,1,12
24,01010301101022,3,12
25,01010301101028,1,1
26,01010301101028,1,2
27,01010301101028,1,3
28,01010301101028,1,4
29,01010301101028,1,7
30,01010301101028,1,9
31,01010301101028,1,11
32,01010301101028,2,12
33,01010301101028,3,12
34,01010301101034,1,12
35,01010301101034,2,12
36,01010301101034,3,12
37,01010301101040,2,12
38,01010301101046,1,12
39,01010301101046,3,12
40,01010301101052,1,12
41,01010301101052,3,12
42,01010400404008,1,12
43,01010400404008,3,12
44,01010400404027,1,12
45,01010400404027,3,12
46,01010400404046,1,12
47,01010400404046,3,12
48,01010400404060,1,12
49,01010400404060,3,12
50,01010400404084,1,12
51,01010400404103,1,12
52,01010400404103,3,12
53,01010400404122,1,12
54,01010400404122,3,12
55,01010400404141,1,12
56,01010400404141,3,12
57,01010400404160,1,12
58,01010400404160,3,12
59,01010400404178,1,12
60,01010400404178,3,12
61,01010400404197,1,12
62,01010400404197,3,12
63,01010400404216,1,12
64,01010400404216,3,12
65,01010400804007,1,12
66,01010400804007,3,12
67,01010400804027,2,12
68,01010400804047,1,12
69,01010400804047,3,12
70,01010400804067,3,12
71,01010400804087,1,12
72,01010400804087,3,12
73,01010400804107,1,12
74,01010400804107,3,12
75,01010400804127,3,12
76,01010400804147,2,12
77,01010400804167,1,12
78,01010400804167,3,12
79,01010400804187,1,12
80,01010400804187,3,12
81,01010400804207,1,12
82,01010400804207,3,12
83,01010400804227,1,12
84,01010400804227,3,12
85,01020600113003,3,12
86,01020600113011,3,12
87,01020600113019,3,12
88,01020600113027,3,12
89,01020600113035,3,12
90,01020600113043,3,12
91,01020600113051,3,12
92,01020600113059,3,12
93,01020600113067,3,12
94,01020600113075,3,12
95,01020600113083,3,12
96,01020600113091,3,12
97,01020801604004,2,12
98,01020801604004,3,12
99,01020801604014,2,12
100,01020801604014,3,12
101,01020801604024,2,12
102,01020801604024,3,12
103,01020801604034,3,12
104,01020801604044,2,12
105,01020801604044,3,12
106,01020801604054,2,12
107,01020801604054,3,12
108,01020801604064,1,12
109,01020801604064,2,12
110,01020801604064,3,12
111,01020801604074,2,12
112,01020801604084,2,12
113,01020801604100,1,12
114,01020801604100,2,12
115,01020801604135,1,12
116,01020801604135,2,12
117,01020801604170,1,12
118,01020801604170,2,12
119,01020901705002,1,12
120,01020901705002,2,12
