,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,H27,a8
0,01010301101,1,1,3,11,1,2,1,1
1,01010400404,1,1,4,4,4,2,1,1
2,01010400804,1,1,4,8,4,2,1,1
3,01020600113,1,2,6,1,13,1,2,1
4,01020901705,1,2,9,17,5,2,1,11
5,01030300103,1,3,3,1,3,1,1,1
6,01030600403,1,3,6,4,3,2,1,10
7,01030800402,1,3,8,4,2,1,1,1
8,01041100201,1,4,11,2,1,1,2,1
9,01050100110,1,5,1,1,10,1,1,1
10,01050101108,1,5,1,11,8,2,1,1
11,02070200101,2,7,2,1,1,1,1,1
12,02070300104,2,7,3,1,4,1,2,1
13,02070501302,2,7,5,13,2,2,1,4
14,02090100104,2,9,1,1,4,1,1,1
15,02090200123,2,9,2,1,23,1,2,1
16,03110300605,3,11,3,6,5,2,1,15
17,03110300605,3,11,3,6,5,2,2,15
18,03110301501,3,11,3,15,1,2,1,14
19,03110301501,3,11,3,15,1,2,2,14
20,03112101007,3,11,21,10,7,2,1,17
21,03112101007,3,11,21,10,7,2,2,17
22,03112101007,3,11,21,10,7,2,3,17
23,03130200801,3,13,2,8,1,2,2,15
24,03130202504,3,13,2,25,4,2,1,16
25,03130401201,3,13,4,12,1,2,1,17
26,03130803001,3,13,8,30,1,2,1,20
27,03140901602,3,14,9,16,2,2,1,21
28,03141000205,3,14,10,2,5,2,2,18
29,03141202605,3,14,12,26,5,2,1,2
30,03151900506,3,15,19,5,6,2,1,6
31,03151900506,3,15,19,5,6,2,3,6
32,03160201902,3,16,2,19,2,2,1,3
33,03160600803,3,16,6,8,3,2,1,1
34,03160600803,3,16,6,8,3,2,2,1
35,03170401804,3,17,4,18,4,2,1,5
36,03170601005,3,17,6,10,5,2,4,4
37,03180201302,3,18,2,13,2,2,2,13
38,03200100807,3,20,1,8,7,2,1,7
39,04220202602,4,22,2,26,2,2,1,1
40,04220800303,4,22,8,3,3,2,1,1
41,04230200302,4,23,2,3,2,2,1,1
42,04231300304,4,23,13,3,4,2,1,1
43,04231301905,4,23,13,19,5,2,1,1
44,04240101704,4,24,1,17,4,2,1,1
45,04240602203,4,24,6,22,3,2,1,1
46,04240602203,4,24,6,22,3,2,2,1
47,04242204001,4,24,22,40,1,2,1,1
48,04260801102,4,26,8,11,2,2,1,1
49,04260801102,4,26,8,11,2,2,2,1
50,04260803103,4,26,8,31,3,2,1,1
51,04260803103,4,26,8,31,3,2,2,1
52,04261701902,4,26,17,19,2,2,1,1
53,04280201505,4,28,2,15,5,2,1,5
54,04291500905,4,29,15,9,5,2,1,5
55,04301301004,4,30,13,10,4,2,1,4
56,04311103311,4,31,11,33,11,2,1,10
57,04311103311,4,31,11,33,11,2,3,10
58,04311200105,4,31,12,1,5,1,1,10
59,04381001704,4,38,10,17,4,2,1,4
60,04390300601,4,39,3,6,1,2,1,1
61,04390302201,4,39,3,22,1,2,1,1
62,04391000302,4,39,10,3,2,2,1,1
63,05400101201,5,40,1,12,1,2,1,7
64,05400300103,5,40,3,1,3,1,1,3
65,05400301101,5,40,3,11,1,2,1,1
66,05400401501,5,40,4,15,1,2,1,2
67,05410415801,5,41,4,158,1,2,1,1
68,05410415801,5,41,4,158,1,2,2,1
69,05410415801,5,41,4,158,1,2,4,1
70,05410700901,5,41,7,9,1,2,1,2
71,05410700901,5,41,7,9,1,2,2,2
72,05410700901,5,41,7,9,1,2,4,2
73,05420299912,5,42,2,999,12,1,2,5
74,06460500108,6,46,5,1,8,1,1,5
75,06460701104,6,46,7,11,4,2,1,12
76,06470300204,6,47,3,2,4,1,1,2
77,06470300314,6,47,3,3,14,1,1,3
78,06470301201,6,47,3,12,1,2,1,1
79,06470305101,6,47,3,51,1,2,1,1
80,06480200101,6,48,2,1,1,1,1,1
81,06480201401,6,48,2,14,1,2,1,1
82,07500600204,7,50,6,2,4,2,1,2
83,07500600204,7,50,6,2,4,2,2,2
84,07500901704,7,50,9,17,4,2,1,3
85,07501400105,7,50,14,1,5,1,1,1
86,07510100104,7,51,1,1,4,1,1,1
87,07511100128,7,51,11,1,28,1,1,1
88,07511100224,7,51,11,2,24,1,1,1
89,07520100101,7,52,1,1,1,1,1,1
90,07530400605,7,53,4,6,5,1,1,1
91,07540700103,7,54,7,1,3,1,1,1
92,07540700103,7,54,7,1,3,1,2,1
93,07540700202,7,54,7,2,2,1,1,1
94,07540700315,7,54,7,3,15,1,1,3
95,07551300102,7,55,13,1,2,1,1,1
96,07551300102,7,55,13,1,2,1,2,1
97,07551300206,7,55,13,2,6,1,1,1
98,07570900601,7,57,9,6,1,2,1,1
99,07570900601,7,57,9,6,1,2,3,1
100,07570901802,7,57,9,18,2,2,1,1
101,07590401603,7,59,4,16,3,2,1,1
102,07661900106,7,66,19,1,6,1,1,1
103,12670500701,12,67,5,7,1,2,1,1
104,12690101901,12,69,1,19,1,2,1,1
105,13700101407,13,70,1,14,7,1,1,9
106,14750400317,14,75,4,3,17,1,1,4
107,14760500507,14,76,5,5,7,1,1,9
108,14760500527,14,76,5,5,27,1,1,7
109,15710100415,15,71,1,4,15,1,1,9
110,15710101201,15,71,1,12,1,2,1,3
