,HHID,U3
319,07550200109033,12
320,07550200109069,12
321,07550200109159,12
322,07550200109195,12
323,07551300102003,1
324,07551300102003,2
325,07551300102098,12
326,07551300102174,12
327,07551300102212,12
328,07551300206021,12
329,07551300206157,12
330,07551300206191,1
331,07551300206191,11
332,07551300314002,12
333,07551300314053,12
334,07551300314070,3
335,07551300314070,12
336,07551300314087,12
337,07560201903003,12
338,07560201903010,12
339,07570901802007,12
340,07581600112170,12
341,07581600302072,12
342,07581600302104,12
343,07581600407008,3
344,07581600407008,4
345,07581600407008,5
346,07581600407008,6
347,07581600407008,7
348,07581600407008,8
349,07581600407008,9
350,07581600407068,7
351,07581600407068,11
352,07581600407113,1
353,07581600407113,2
354,07581600407113,11
355,07590700102006,12
356,07610101505042,12
357,07610101505051,1
358,07610101505051,2
359,07610101505051,5
360,07610101505051,7
361,07610101505051,8
362,07610101505051,9
363,07610101505051,11
364,07610101505060,12
365,07620300101074,12
366,07630101203071,12
367,07630101203087,12
368,07661900106010,12
369,07661900421040,12
370,07661900703056,12
371,12670300101003,12
372,12670300101004,12
373,12670300101005,12
374,12670300101007,12
375,12670300101008,12
376,12680100101009,12
377,12680100101010,12
378,12680100101011,12
379,12680100101012,12
380,13700101407007,12
381,14720100113013,12
382,14720100211004,12
383,14720100211006,12
384,14720100211008,12
385,14720100211009,12
386,14720100211012,12
387,14720100211015,12
388,14720100211016,12
389,14720100211017,12
390,14720100211018,12
391,14720100222009,12
392,14720100222010,12
393,14720100222011,12
394,14720100222020,12
395,14720100315006,12
396,14720100315012,12
397,14720100315047,12
398,14720100315054,12
399,14720100315089,12
400,14720100315117,12
401,14720100315124,12
402,14720100406008,12
403,14720100512001,12
404,14720100512009,12
405,14720100512017,12
406,14720100512019,12
407,14720100549018,12
408,14720100549120,12
409,14720100633019,12
410,14720100633058,12
411,14720100633070,12
412,14720100702001,1
413,14720100702001,2
414,14720100702001,4
415,14720100702001,6
416,14720100702001,8
417,14720100702002,2
418,14720100702002,4
419,14720100702002,6
420,14720100702002,7
421,14720100702002,8
422,14720100702002,9
423,14720100702007,4
424,14720100702007,7
425,14720100702007,8
426,14720100702007,9
427,14720100702008,12
428,14720100702010,3
429,14720100702010,4
430,14720100702010,5
431,14720100702010,7
432,14720100702010,8
433,14720100702010,11
434,14720100702011,4
435,14720100702011,5
436,14720100702011,6
437,14720100702011,8
438,14720100702011,9
439,14720100702011,11
440,14720100702012,12
441,14720100702014,3
442,14720100702014,5
443,14720100702014,6
444,14720100702014,7
445,14720100702014,8
446,14720100702014,9
447,14720100702015,2
448,14720100702015,3
449,14720100702015,5
450,14720100702015,6
451,14720100702015,8
452,14720100702015,9
453,14720100702016,7
454,14720100702016,8
455,14720100702017,12
456,14720100702018,8
457,14720100702019,12
458,14720100702020,9
459,14730200527008,8
460,14730200527010,4
461,14730200527010,8
462,14730200527011,8
463,14730200833004,6
464,14730200833106,1
465,14730200833123,1
466,14730200833140,1
467,14730200833157,4
468,14730200833174,5
469,14730200833191,12
470,14740300273003,12
471,14740300273009,12
472,14740300546097,7
473,14740300546097,8
474,14740300546097,9
475,14740300546097,11
476,14740300546109,1
477,14740300546121,1
478,14740300546133,1
479,14740301003030,1
480,14740301003054,4
481,14740301003054,5
482,14740301003054,6
483,14740301003078,5
484,14740301003078,6
485,14740301003126,6
486,14740301003126,7
487,14740301003161,1
488,14740301003174,12
489,14740301003176,3
490,14740301003180,6
491,14740301003222,2
492,14740301003246,3
493,14740301003268,2
494,14750400612002,12
495,14750400612004,12
496,14750400612006,1
497,14760500307018,12
498,14760500318012,12
499,14760500318018,12
500,14760500330001,12
501,14760500330004,12
502,14760500330009,12
503,14760500330010,12
504,14760500330012,12
505,14760500330013,12
506,14760500330014,12
507,14760500330015,12
508,14760500330017,12
509,14760500330018,12
510,14760500330019,12
511,14760500409008,11
512,14760500430014,1
513,14760500507009,1
514,14760500507010,12
515,14760500507011,12
516,14760500507014,12
517,14760500507017,12
518,14760500507018,12
519,14760500517012,12
520,14760500532010,12
521,14760500613002,12
522,14760500613005,12
523,14760500613011,12
524,14760500613014,12
525,14770600201008,12
526,14770600404007,12
527,14770600528082,12
528,14770600625014,12
529,14770600821011,12
530,14780700220001,1
531,14780700220011,12
532,14780700911037,12
533,14790800152006,12
534,14790800204008,12
535,14790800217001,12
