,HHID,U9
0,01010200116023,1
1,01010301101028,1
2,01010301101028,12
3,01010301101046,1
4,01010400404103,5
5,01010400804007,5
6,01010400804027,5
7,01010400804127,7
8,01010400804147,5
9,01020600113003,1
10,01020600113035,1
11,01020600113035,6
12,01020801604034,1
13,01030300103134,1
14,01030800402002,1
15,01041100201050,1
16,01041100201110,1
17,01050100110031,12
18,01050100110058,1
19,01050101108006,1
20,01050101108084,12
21,01050101108123,1
22,01050101108149,1
23,01060100317102,12
24,01060200127100,1
25,01060200506004,1
26,01060200506004,6
27,01060200506037,1
28,01060200506070,12
29,01060200506103,1
30,02070101901002,7
31,02070101901014,4
32,02070101901014,6
33,02070200101011,1
34,02070300205006,1
35,02070300205011,1
36,02070300205021,1
37,02070300205026,1
38,02070300212023,1
39,02070300212047,1
40,02070300212047,14
41,02070300212055,14
42,02070300212063,1
43,02070300212071,1
44,02070501103013,1
45,02080300102008,7
46,03110800110096,1
47,03110800110096,12
48,03110800110118,1
49,03110800110162,1
50,03110800110162,12
51,03110800110184,1
52,03110800110184,12
53,03111700101013,1
54,03111700101037,12
55,03111700101061,12
56,03111700101109,12
57,03111700101157,12
58,03111700101181,12
59,03111700101205,12
60,03111801205035,1
61,03111801205035,12
62,03111801205044,1
63,03111801205062,1
64,03111802013060,1
65,03111802013060,12
66,03111802013074,1
67,03111802013074,12
68,03111802013088,1
69,03111802013088,12
70,03111802013116,1
71,03111802013116,12
72,03111802013130,1
73,03111802013130,12
74,03121000302003,1
75,03131000101032,1
76,03131000101068,1
77,03141000205109,1
78,03141202605085,7
79,03150800103073,1
80,03150800103073,6
81,03150800103103,1
82,03150800103103,6
83,03150800103118,1
84,03152000407012,1
85,03152000705039,1
86,03160500103010,1
87,03160500103036,1
88,03160500103127,1
89,03161500214128,1
90,03161500214128,3
91,03170500110153,1
92,03170500110153,7
93,03170500110261,1
94,03180100102016,1
95,03180100102035,1
96,03180100102168,1
97,03180302503003,5
98,03180700305005,1
99,03180700305017,1
100,03180700305029,1
101,03180700305089,1
102,03200200209064,1
103,03210100412078,1
104,03210100412197,1
105,03210100808134,1
106,03210101214145,1
107,03210300832020,12
108,04220202602002,12
109,04220202602006,12
110,04231700111003,1
111,04231700111007,1
112,04231700111008,1
113,04231700111011,1
114,04231700304003,1
115,04231700304003,12
116,04231700304011,1
117,04231700417003,1
118,04231700602009,1
119,04240101704002,12
120,04240101704003,12
121,04240101704004,12
122,04241600101008,1
123,04242000217005,1
124,04260500101002,12
125,04260500101004,1
126,04260500101006,1
127,04260500101006,12
128,04261400105001,1
129,04261400105001,12
130,04261400105007,1
131,04261400105007,12
132,04261500308002,12
133,04261500308003,1
134,04271202206002,12
135,04271202206007,9
136,04271202206008,1
137,04271202206012,12
138,04271800107004,1
139,04271800107064,1
140,04280201505001,3
141,04280201505009,4
142,04280900511029,1
143,04280900511149,1
144,04280900803096,1
145,04290100110002,1
146,04290500106008,1
147,04291501302011,12
148,04300800105011,4
149,04300800105012,12
150,04300802504010,7
151,04311102101002,7
152,04311200105001,1
153,04311200105001,4
154,04311200105011,12
155,04320400608010,12
156,04321100505003,4
157,04321100505012,7
158,04330600803168,7
159,04330600803168,9
160,04340300103159,1
161,04340900114125,1
162,04340900114125,12
