,HHID,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18
859,03160600803122,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,1.0,,,,,,
860,03160600803138,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
861,03160600803154,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
862,03160600803170,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
863,03160600803186,5.0,,,,,,,,,1.0,1.0,1.0,,,,,,
864,03161500214007,2.0,1.0,1.0,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0
865,03161500214018,2.0,1.0,1.0,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
866,03161500214029,4.0,,,,,,,,,3.0,,,,,,,,
867,03161500214040,4.0,,,,,,,,,3.0,,,,,,,,
868,03161500214051,4.0,,,,,,,,,3.0,,,,,,,,
869,03161500214062,4.0,,,,,,,,,3.0,,,,,,,,
870,03161500214073,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
871,03161500214084,4.0,,,,,,,,,3.0,,,,,,,,
872,03161500214095,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
873,03161500214106,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
874,03161500214117,3.0,,,,,,,,,2.0,,,,,,,,
875,03161500214128,4.0,,,,,,,,,3.0,,,,,,,,
876,03170400206005,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
877,03170400206025,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
878,03170400206045,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,,,,,
879,03170400206065,1.0,2.0,2.0,888.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
880,03170400206085,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
881,03170400206105,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,
882,03170400206125,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
883,03170400206145,1.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
884,03170400206165,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
885,03170400206185,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
886,03170400206205,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
887,03170400206225,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
888,03170401804019,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,
889,03170401804043,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
890,03170401804067,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
891,03170401804091,,,,,,,,,,1.0,2.0,1.0,,,,,,
892,03170401804115,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
893,03170401804139,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
894,03170401804163,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
895,03170401804187,1.0,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,
896,03170401804211,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,1.0,,,,,,
897,03170401804235,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
898,03170401804259,1.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
899,03170401804283,1.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
900,03170403702010,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
901,03170403702030,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
902,03170403702050,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,
903,03170403702070,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
904,03170403702090,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,
905,03170403702110,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
906,03170403702130,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,
907,03170403702150,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
908,03170403702170,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
909,03170403702190,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
910,03170403702210,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
911,03170403702230,1.0,1.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
912,03170500110018,2.0,2.0,2.0,1.0,,,,,,2.0,,,,,,,,
913,03170500110045,2.0,2.0,2.0,2.0,1.0,1.0,,,,2.0,,,,,,,,
914,03170500110072,2.0,5.0,2.0,1.0,,,,,,2.0,,,,,,,,
915,03170500110099,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
916,03170500110126,2.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
917,03170500110153,2.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
918,03170500110180,4.0,,,,,,,,,1.0,2.0,1.0,,,,,,
919,03170500110207,2.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,,
920,03170500110234,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
921,03170500110261,4.0,,,,,,,,,1.0,2.0,1.0,,,,,,
922,03170500110288,4.0,,,,,,,,,1.0,2.0,1.0,,,,,,
923,03170500110315,2.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
924,03170601005004,1.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,
925,03170601005016,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
926,03170601005028,1.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
927,03170601005040,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,,,
928,03170601005052,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,
929,03170601005064,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
930,03170601005076,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
931,03170601005088,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
932,03170601005100,1.0,2.0,1.0,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
933,03170601005112,1.0,3.0,2.0,2.0,1.0,1.0,,,,1.0,3.0,1.0,,,,,,
934,03170601005124,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
935,03170601005136,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
936,03180100102002,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
937,03180100102005,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
938,03180100102008,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
939,03180100102016,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,
940,03180100102035,2.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,
941,03180100102054,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
942,03180100102073,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
943,03180100102092,5.0,,,,,,,,,4.0,,,,,,,,
944,03180100102111,4.0,,,,,,,,,3.0,,,,,,,,
945,03180100102130,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
946,03180100102149,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
947,03180100102168,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
948,03180201302007,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
949,03180201302024,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.0,,,,,,
950,03180201302041,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,,,
951,03180201302058,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,,,,,,
952,03180201302075,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
953,03180201302092,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
954,03180201302109,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
955,03180201302126,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
956,03180201302143,1.0,8.0,1.0,,,,,,,4.0,,,,,,,,
957,03180201302160,1.0,7.0,1.0,,,,,,,4.0,,,,,,,,
958,03180201302177,1.0,6.0,1.0,,,,,,,4.0,,,,,,,,
959,03180201302194,1.0,6.0,1.0,,,,,,,4.0,,,,,,,,
960,03180302503003,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
961,03180302503019,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
962,03180302503035,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
963,03180302503051,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
964,03180302503067,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
965,03180302503083,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
966,03180302503099,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
967,03180302503115,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
968,03180302503131,2.0,4.0,1.0,,,,,,,4.0,,,,,,,,
969,03180302503147,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
970,03180302503163,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
971,03180302503179,1.0,5.0,1.0,,,,,,,4.0,,,,,,,,
972,03180700305005,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
973,03180700305017,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
974,03180700305029,4.0,,,,,,,,,3.0,,,,,,,,
975,03180700305041,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,
976,03180700305053,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
977,03180700305065,4.0,,,,,,,,,3.0,,,,,,,,
978,03180700305077,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
979,03180700305089,4.0,,,,,,,,,3.0,,,,,,,,
980,03180700305101,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
981,03180700305113,4.0,,,,,,,,,3.0,,,,,,,,
982,03180700305125,4.0,,,,,,,,,3.0,,,,,,,,
983,03180700305137,4.0,,,,,,,,,3.0,,,,,,,,
984,03190201401010,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
985,03190201401028,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,
986,03190201401046,2.0,1.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
987,03190201401064,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,
988,03190201401082,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,
989,03190201401100,1.0,3.0,2.0,2.0,1.0,1.0,,,,1.0,3.0,2.0,2.0,1.0,1.0,,,
990,03190201401118,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
991,03190201401136,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
992,03190201401154,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
993,03190201401172,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
994,03190201401190,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
995,03190201401208,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
996,03190202501009,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
997,03190202501030,1.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
998,03190202501051,1.0,4.0,2.0,2.0,2.0,888.0,2.0,1.0,,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,
999,03190202501072,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,
1000,03190202501093,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1001,03190202501114,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1002,03190202501135,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1003,03190202501156,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1004,03190202501177,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
1005,03190202501198,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
1006,03190202501219,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1007,03190202501240,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
1008,03190402004013,1.0,4.0,2.0,1.0,,,,,,1.0,4.0,1.0,,,,,,
1009,03190402004031,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
1010,03190402004046,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
1011,03190402004067,2.0,1.0,1.0,,,,,,,1.0,8.0,1.0,,,,,,
1012,03190402004082,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
1013,03190402004100,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
1014,03190402004118,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
1015,03190402004136,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
1016,03190402004154,1.0,2.0,1.0,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
1017,03190402004172,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
1018,03190402004190,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,,,
1019,03190402004208,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
1020,03200100113021,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1021,03200100113042,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1022,03200100113063,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1023,03200100113084,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1024,03200100113105,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1025,03200100113126,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1026,03200100113147,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
1027,03200100113168,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1028,03200100113189,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1029,03200100113210,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,
1030,03200100113231,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1031,03200100113252,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1032,03200100807010,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
1033,03200100807020,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
1034,03200100807048,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1035,03200100807076,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1036,03200100807082,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
1037,03200100807104,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1038,03200100807132,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1039,03200100807154,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1040,03200100807160,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1041,03200100807188,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
1042,03200100807216,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1043,03200100807244,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1044,03200200209001,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
1045,03200200209010,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,
1046,03200200209019,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
1047,03200200209028,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1048,03200200209037,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
1049,03200200209046,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1050,03200200209055,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1051,03200200209064,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1052,03200200209073,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
1053,03200200209082,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
1054,03200200209091,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
1055,03200200209100,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1056,03210100412010,2.0,1.0,2.0,1.0,,,,,,4.0,,,,,,,,
1057,03210100412027,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
1058,03210100412044,5.0,,,,,,,,,4.0,,,,,,,,
1059,03210100412061,5.0,,,,,,,,,4.0,,,,,,,,
1060,03210100412078,5.0,,,,,,,,,4.0,,,,,,,,
1061,03210100412095,5.0,,,,,,,,,4.0,,,,,,,,
1062,03210100412112,5.0,,,,,,,,,4.0,,,,,,,,
1063,03210100412129,5.0,,,,,,,,,4.0,,,,,,,,
1064,03210100412146,5.0,,,,,,,,,4.0,,,,,,,,
1065,03210100412163,5.0,,,,,,,,,4.0,,,,,,,,
1066,03210100412180,5.0,,,,,,,,,4.0,,,,,,,,
1067,03210100412197,5.0,,,,,,,,,4.0,,,,,,,,
1068,03210100808015,,,,,,,,,,,,,,,,,,
1069,03210100808032,5.0,,,,,,,,,2.0,,,,,,,,
1070,03210100808049,5.0,,,,,,,,,4.0,,,,,,,,
1071,03210100808066,4.0,,,,,,,,,3.0,,,,,,,,
1072,03210100808083,4.0,,,,,,,,,3.0,,,,,,,,
1073,03210100808100,4.0,,,,,,,,,3.0,,,,,,,,
1074,03210100808117,4.0,,,,,,,,,3.0,,,,,,,,
1075,03210100808134,4.0,,,,,,,,,3.0,,,,,,,,
1076,03210100808151,3.0,,,,,,,,,3.0,,,,,,,,
1077,03210100808168,4.0,,,,,,,,,3.0,,,,,,,,
1078,03210100808185,3.0,,,,,,,,,2.0,,,,,,,,
1079,03210100808202,4.0,,,,,,,,,3.0,,,,,,,,
1080,03210101214002,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
1081,03210101214015,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,,,,,,,,
1082,03210101214028,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
1083,03210101214041,2.0,1.0,2.0,1.0,,,,,,4.0,,,,,,,,
1084,03210101214054,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1085,03210101214067,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
1086,03210101214080,5.0,,,,,,,,,4.0,,,,,,,,
1087,03210101214093,5.0,,,,,,,,,4.0,,,,,,,,
1088,03210101214106,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1089,03210101214119,5.0,,,,,,,,,4.0,,,,,,,,
1090,03210101214132,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
1091,03210101214145,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1092,03210300832020,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1093,03210300832067,3.0,,,,,,,,,3.0,,,,,,,,
1094,03210300832114,2.0,2.0,1.0,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1095,03210300832161,4.0,,,,,,,,,3.0,,,,,,,,
1096,03210300832208,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1097,03210300832255,4.0,,,,,,,,,3.0,,,,,,,,
1098,03210300832302,2.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
1099,03210300832349,4.0,,,,,,,,,1.0,2.0,1.0,,,,,,
1100,03210300832396,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1101,03210300832443,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
1102,03210300832490,2.0,2.0,2.0,1.0,,,,,,1.0,2.0,1.0,,,,,,
1103,03210300832537,2.0,2.0,2.0,1.0,,,,,,3.0,,,,,,,,
1104,04220201601001,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1105,04220201601002,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
1106,04220201601003,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1107,04220201601004,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1108,04220201601005,1.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
1109,04220201601006,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,,
1110,04220201601007,1.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
1111,04220201601008,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
1112,04220201601009,1.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
1113,04220201601010,1.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
1114,04220201601011,1.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
1115,04220201601012,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
1116,04220202602001,1.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
1117,04220202602002,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1118,04220202602003,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1119,04220202602004,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1120,04220202602005,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1121,04220202602006,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1122,04220202602007,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1123,04220202602008,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1124,04220202602009,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1125,04220202602010,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1126,04220202602011,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
1127,04220202602012,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,
1128,04220800303001,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1129,04220800303002,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1130,04220800303003,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1131,04220800303004,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1132,04220800303005,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1133,04220800303006,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1134,04220800303007,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1135,04220800303008,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1136,04220800303009,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
1137,04220800303010,1.0,2.0,1.0,,,,,,,1.0,2.0,2.0,1.0,,,,,
1138,04220800303011,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1139,04220800303012,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
1140,04221700103001,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
1141,04221700103002,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
1142,04221700103003,4.0,,,,,,,,,3.0,,,,,,,,
