,HHID,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18
76,01020901705066,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
77,01020901705082,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
78,01020901705098,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
79,01020901705114,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
80,01020901705130,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
81,01020901705146,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
82,01020901705162,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
83,01020901705178,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
84,01021200418002,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
85,01021200418013,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
86,01021200418024,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
87,01021200418035,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
88,01021200418046,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
89,01021200418057,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
90,01021200418068,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
91,01021200418079,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
92,01021200418090,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
93,01021200418101,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
94,01021200418112,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
95,01021200418123,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
96,01030300103004,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
97,01030300103017,4.0,,,,,,,,,3.0,,,,,,,,
98,01030300103030,4.0,,,,,,,,,3.0,,,,,,,,
99,01030300103043,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
100,01030300103056,4.0,,,,,,,,,3.0,,,,,,,,
101,01030300103069,4.0,,,,,,,,,3.0,,,,,,,,
102,01030300103082,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
103,01030300103095,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
104,01030300103108,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
105,01030300103121,4.0,,,,,,,,,3.0,,,,,,,,
106,01030300103134,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
107,01030300103147,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
108,01030600403012,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
109,01030600403017,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
110,01030600403036,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
111,01030600403049,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
112,01030600403072,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
113,01030600403092,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
114,01030600403116,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
115,01030600403138,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
116,01030600403164,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
117,01030600403173,5.0,,,,,,,,,4.0,,,,,,,,
118,01030600403183,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
119,01030600403185,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
120,01030800402002,4.0,,,,,,,,,4.0,,,,,,,,
121,01030800402015,4.0,,,,,,,,,3.0,,,,,,,,
122,01030800402028,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
123,01030800402041,3.0,,,,,,,,,4.0,,,,,,,,
124,01030800402054,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
125,01030800402067,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
126,01030800402080,4.0,,,,,,,,,3.0,,,,,,,,
127,01030800402093,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
128,01030800402106,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
129,01030800402119,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
