,HHID,C144,C146_wm,C146_tm,C147_wm,C147_tm,C148_wm,C148_tm,C149,C150,C152,C153,C154,C155,C155_other,C156,C157,C157_other,C158,C159,C160,C161,C162,C163,C164,C165
45,01010400804187,,,,,,,,,,,,,,,,,,8.0,2.0,,,,1.0,1.0,16.0
46,01010400804207,1.0,1.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,2.0,2008.0,1.0,8.0,,2.0,6.0,,5.0,2.0,,,,1.0,1.0,24.0
47,01010400804227,1.0,1.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,2.0,2009.0,1.0,8.0,,2.0,6.0,,5.0,2.0,,,,1.0,2.0,48.0
48,01020600113003,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2007.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
49,01020600113011,2.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2008.0,2.0,,,3.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
50,01020600113019,2.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2007.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
51,01020600113027,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2008.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
52,01020600113035,2.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2006.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
53,01020600113043,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2007.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
54,01020600113051,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2008.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
55,01020600113059,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2007.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
56,01020600113067,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
57,01020600113075,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
58,01020600113083,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2008.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
59,01020600113091,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
60,01020801604004,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
61,01020801604014,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
62,01020801604024,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
63,01020801604034,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,4.0,2003.0,2.0,,,2.0,555.0,,1.0,111.0,,,,,,
64,01020801604044,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
65,01020801604054,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
66,01020801604064,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
67,01020801604074,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
68,01020801604084,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
69,01020801604100,1.0,2.0,6.0,2.0,4.0,2.0,6.0,2.0,1.0,1.0,2007.0,1.0,8.0,,1.0,6.0,,5.0,111.0,,,,,,
70,01020801604135,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
71,01020801604170,1.0,2.0,6.0,2.0,4.0,2.0,6.0,2.0,1.0,1.0,2008.0,1.0,8.0,,1.0,1.0,,5.0,,,,,,,
72,01020901705002,1.0,2.0,5.0,1.0,4.0,2.0,5.0,2.0,1.0,5.0,2008.0,1.0,8.0,,1.0,1.0,,5.0,2.0,,,,1.0,1.0,30.0
73,01020901705018,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
74,01020901705034,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
75,01020901705050,1.0,2.0,6.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2007.0,1.0,6.0,,1.0,1.0,,5.0,1.0,1.0,1.0,1.0,2.0,0.0,
76,01020901705066,1.0,2.0,6.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2007.0,1.0,8.0,,1.0,6.0,,5.0,111.0,,,,,,
77,01020901705082,1.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,2008.0,1.0,6.0,,1.0,6.0,,5.0,111.0,,,,,,
78,01020901705098,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,4.0,2007.0,1.0,8.0,,2.0,555.0,,5.0,111.0,,,,,,
79,01020901705114,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,1.0,4.0,2008.0,1.0,8.0,,2.0,6.0,,5.0,111.0,,,,,,
80,01020901705130,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
81,01020901705146,1.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,1.0,4.0,2008.0,1.0,8.0,,2.0,3.0,,5.0,111.0,,,,,,
82,01020901705162,1.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,2008.0,1.0,8.0,,1.0,6.0,,5.0,111.0,,,,,,
83,01020901705178,1.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,2007.0,1.0,6.0,,1.0,6.0,,5.0,111.0,,,,,,
84,01021200418002,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
85,01021200418013,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
86,01021200418024,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
87,01021200418035,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
88,01021200418046,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
89,01021200418057,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
90,01021200418068,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
91,01021200418079,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
92,01021200418090,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
93,01021200418101,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
94,01021200418112,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
95,01021200418123,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
96,01030300103004,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
97,01030300103017,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
98,01030300103030,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
