,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,H13,a8
0,01010200116,1,1,2,1,16,1,6,1
1,01010200116,1,1,2,1,16,1,7,1
2,01010200116,1,1,2,1,16,1,8,1
3,01010200116,1,1,2,1,16,1,9,1
4,01010301101,1,1,3,11,1,2,6,1
5,01010301101,1,1,3,11,1,2,7,1
6,01010301101,1,1,3,11,1,2,8,1
7,01010301101,1,1,3,11,1,2,9,1
8,01020600113,1,2,6,1,13,1,5,1
9,01020600113,1,2,6,1,13,1,6,1
10,01020600113,1,2,6,1,13,1,7,1
11,01020600113,1,2,6,1,13,1,8,1
12,01020600113,1,2,6,1,13,1,9,1
13,01020801604,1,2,8,16,4,2,6,12
14,01020801604,1,2,8,16,4,2,7,12
15,01020801604,1,2,8,16,4,2,8,12
16,01021200418,1,2,12,4,18,1,5,1
17,01021200418,1,2,12,4,18,1,6,1
18,01021200418,1,2,12,4,18,1,7,1
19,01021200418,1,2,12,4,18,1,8,1
20,01030300103,1,3,3,1,3,1,5,1
21,01030300103,1,3,3,1,3,1,6,1
22,01030300103,1,3,3,1,3,1,7,1
23,01030300103,1,3,3,1,3,1,8,1
24,01030300103,1,3,3,1,3,1,9,1
25,01030800402,1,3,8,4,2,1,6,1
26,01030800402,1,3,8,4,2,1,7,1
27,01030800402,1,3,8,4,2,1,8,1
28,01041100201,1,4,11,2,1,1,6,1
29,01041100201,1,4,11,2,1,1,7,1
30,01041100201,1,4,11,2,1,1,8,1
31,01050100110,1,5,1,1,10,1,6,1
32,01050100110,1,5,1,1,10,1,7,1
33,01050100110,1,5,1,1,10,1,8,1
34,01050100110,1,5,1,1,10,1,9,1
35,01060100317,1,6,1,3,17,1,6,1
36,01060100317,1,6,1,3,17,1,7,1
37,01060100317,1,6,1,3,17,1,8,1
38,02070200101,2,7,2,1,1,1,2,1
39,02070200101,2,7,2,1,1,1,3,1
40,02070200101,2,7,2,1,1,1,4,1
41,02070200101,2,7,2,1,1,1,5,1
42,02070300104,2,7,3,1,4,1,4,1
43,02070300104,2,7,3,1,4,1,5,1
44,02070300104,2,7,3,1,4,1,6,1
45,02070300104,2,7,3,1,4,1,7,1
46,02070300104,2,7,3,1,4,1,8,1
47,02070300104,2,7,3,1,4,1,9,1
48,02070300104,2,7,3,1,4,1,10,1
49,02080300404,2,8,3,4,4,2,6,8
50,02080300404,2,8,3,4,4,2,7,8
51,02080300404,2,8,3,4,4,2,8,8
52,02080300404,2,8,3,4,4,2,9,8
53,02090100104,2,9,1,1,4,1,4,1
54,02090100104,2,9,1,1,4,1,5,1
55,02090100104,2,9,1,1,4,1,6,1
56,02090100104,2,9,1,1,4,1,7,1
57,02090100104,2,9,1,1,4,1,8,1
58,02090100104,2,9,1,1,4,1,9,1
59,02090200123,2,9,2,1,23,1,5,1
60,02090200123,2,9,2,1,23,1,6,1
61,02090200123,2,9,2,1,23,1,7,1
62,02090200123,2,9,2,1,23,1,8,1
63,02090200123,2,9,2,1,23,1,9,1
64,03110800110,3,11,8,1,10,1,5,6
65,03110800110,3,11,8,1,10,1,6,6
66,03110800110,3,11,8,1,10,1,7,6
67,03110800110,3,11,8,1,10,1,8,6
68,03110800110,3,11,8,1,10,1,9,6
69,03110800110,3,11,8,1,10,1,10,6
70,03110800110,3,11,8,1,10,1,11,6
71,03110800110,3,11,8,1,10,1,12,6
72,03111700101,3,11,17,1,1,1,5,1
73,03111700101,3,11,17,1,1,1,6,1
74,03111700101,3,11,17,1,1,1,7,1
75,03111700101,3,11,17,1,1,1,8,1
76,03111700101,3,11,17,1,1,1,9,1
77,03111800604,3,11,18,6,4,1,1,1
78,03111800604,3,11,18,6,4,1,6,1
79,03111800604,3,11,18,6,4,1,9,1
80,03111802013,3,11,18,20,13,1,5,1
81,03111802013,3,11,18,20,13,1,6,1
82,03111802013,3,11,18,20,13,1,6,5
83,03111802013,3,11,18,20,13,1,7,5
84,03111802013,3,11,18,20,13,1,8,5
85,03111802013,3,11,18,20,13,1,9,5
86,03120200303,3,12,2,3,3,1,5,1
87,03120200303,3,12,2,3,3,1,6,1
88,03121000302,3,12,10,3,2,1,5,1
89,03121000302,3,12,10,3,2,1,6,1
90,03121000302,3,12,10,3,2,1,7,2
91,03121000302,3,12,10,3,2,1,8,2
92,03130200801,3,13,2,8,1,2,1,15
93,03130200801,3,13,2,8,1,2,2,15
94,03130200801,3,13,2,8,1,2,3,15
95,03130200801,3,13,2,8,1,2,4,15
96,03130200801,3,13,2,8,1,2,5,15
97,03130200801,3,13,2,8,1,2,6,15
98,03130200801,3,13,2,8,1,2,7,15
99,03130200801,3,13,2,8,1,2,8,15
100,03130200801,3,13,2,8,1,2,9,15
101,03130200801,3,13,2,8,1,2,10,15
102,03130200801,3,13,2,8,1,2,11,15
103,03130200801,3,13,2,8,1,2,12,15
104,03130803001,3,13,8,30,1,2,4,20
105,03130803001,3,13,8,30,1,2,5,20
106,03130803001,3,13,8,30,1,2,6,20
107,03130803001,3,13,8,30,1,2,7,20
108,03130803001,3,13,8,30,1,2,8,20
109,03131000101,3,13,10,1,1,1,5,1
110,03131000101,3,13,10,1,1,1,6,1
111,03140400104,3,14,4,1,4,1,6,1
112,03140400104,3,14,4,1,4,1,7,1
113,03140400104,3,14,4,1,4,1,8,1
114,03140400104,3,14,4,1,4,1,9,1
115,03140400104,3,14,4,1,4,1,10,1
116,03141000205,3,14,10,2,5,2,1,18
117,03141000205,3,14,10,2,5,2,2,18
118,03141000205,3,14,10,2,5,2,6,18
119,03141000205,3,14,10,2,5,2,7,18
120,03141000205,3,14,10,2,5,2,8,18
