,HHID,C104
0,03111700101085,13
1,03111700101181,1
2,03111700101181,2
3,03111700101181,3
4,03111700101181,11
5,03111700101181,12
6,03210300832396,13
7,04261500308011,13
8,04380301901002,1
9,04380301901002,2
10,04380301901002,5
11,04380301901002,7
12,04380301901003,1
13,04380301901003,5
14,05410700901091,2
15,05410700901091,3
16,05410700901091,5
17,05410700901091,7
18,05410700901091,10
19,07661900421058,1
20,13700100405009,13
21,14720100549048,6
22,14720100549048,7
23,14720100549048,8
24,14720100549048,9
25,14720100549084,6
26,14720100549084,7
27,14720100549084,8
28,14720100549084,9
29,14720100633004,4
30,14720100633004,5
31,14720100633004,6
32,14720100633004,7
33,14720100633004,8
34,14720100633004,8
35,14730200238136,12
36,14740300273002,12
37,14740300546061,12
38,14740301003180,12
39,14750401001008,12
40,14760500330001,12
41,14760500507013,12
42,14760500507016,12
43,14760500532007,12
44,14760500532019,4
45,14760500532019,7
46,14760500532019,8
47,14760500802007,12
48,14770600201004,13
49,14780700220003,12
50,14780700220010,13
51,14780700911007,13
52,14790800152001,12
53,14790800152004,12
54,14790800152006,12
55,14790800152007,12
56,14790800217009,12
57,14790800217014,12
58,14790800217017,12
59,14790800622017,4
60,14790800622017,5
61,14790800622017,6
62,14790800733012,9
63,14790800733018,11
