,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KE_a,KE_b,KE_73,KE_74,KE_75
139,04300800105,4,30,8,1,5,2,8,6,2,,2.0,1.0,
140,04300802504,4,30,8,25,4,2,4,6,2,,2.0,1.0,
141,04311201223,4,31,12,12,23,2,23,6,2,,2.0,1.0,
142,04330600803,4,33,6,8,3,2,5,6,2,,2.0,1.0,
143,04340300103,4,34,3,1,3,1,3,6,2,,2.0,1.0,
144,04380100110,4,38,1,1,10,1,16,6,2,,2.0,1.0,
145,04380100203,4,38,1,2,3,1,3,6,2,,2.0,1.0,
146,04381100116,4,38,11,1,16,1,1,6,2,,2.0,1.0,
147,06470300204,6,47,3,2,4,1,1,6,2,,2.0,1.0,
148,06470300314,6,47,3,3,14,1,1,6,2,,2.0,1.0,
149,06490800103,6,49,8,1,3,1,1,6,2,,2.0,1.0,
150,07661900703,7,66,19,7,3,1,1,6,2,,2.0,2.0,
151,13700101407,13,70,1,14,7,1,1,6,2,,2.0,1.0,
152,14750400317,14,75,4,3,17,1,7,6,2,,2.0,2.0,
153,14750401001,14,75,4,10,1,1,1,6,2,,2.0,2.0,
154,15710100415,15,71,1,4,15,1,5,6,2,,1.0,2.0,
155,15710100605,15,71,1,6,5,1,1,6,2,,1.0,2.0,
156,04290100110,4,29,1,1,10,1,4,7,1,3.0,,,1.0
157,04300800105,4,30,8,1,5,2,8,7,1,1.0,,,1.0
158,06470300204,6,47,3,2,4,1,1,7,1,1.0,,,2.0
159,13700101407,13,70,1,14,7,1,1,7,1,1.0,,,1.0
160,15710100415,15,71,1,4,15,1,5,7,1,3.0,,,1.0
161,15710100605,15,71,1,6,5,1,1,7,1,2.0,,,
162,01020600113,1,2,6,1,13,1,8,7,2,,1.0,2.0,
163,03141800910,3,14,18,9,10,1,2,7,2,,2.0,2.0,
164,03180100101,3,18,1,1,1,1,1,7,2,,2.0,1.0,
165,03200100113,3,20,1,1,13,2,9,7,2,,1.0,1.0,
166,03210100412,3,21,1,4,12,1,1,7,2,,2.0,1.0,
167,04290100110,4,29,1,1,10,1,2,7,2,,2.0,5.0,
168,04290100110,4,29,1,1,10,1,3,7,2,,2.0,5.0,
169,04300400106,4,30,4,1,6,1,6,7,2,,2.0,1.0,
170,04300802504,4,30,8,25,4,2,4,7,2,,2.0,1.0,
171,04311201223,4,31,12,12,23,2,23,7,2,,2.0,1.0,
172,04330600803,4,33,6,8,3,2,5,7,2,,2.0,1.0,
173,04340300103,4,34,3,1,3,1,3,7,2,,2.0,1.0,
174,04380100110,4,38,1,1,10,1,16,7,2,,2.0,1.0,
175,04380100203,4,38,1,2,3,1,3,7,2,,2.0,1.0,
176,04381100116,4,38,11,1,16,1,1,7,2,,2.0,1.0,
177,06470300314,6,47,3,3,14,1,1,7,2,,2.0,2.0,
178,06490800103,6,49,8,1,3,1,1,7,2,,2.0,2.0,
179,07661900703,7,66,19,7,3,1,1,7,2,,2.0,2.0,
180,14750400317,14,75,4,3,17,1,7,7,2,,1.0,2.0,
181,14750401001,14,75,4,10,1,1,1,7,2,,2.0,1.0,
182,03141800910,3,14,18,9,10,1,2,8,1,2.0,,,1.0
183,14750400317,14,75,4,3,17,1,7,8,1,15.0,,,1.0
184,01020600113,1,2,6,1,13,1,8,8,2,,2.0,6.0,
185,03180100101,3,18,1,1,1,1,1,8,2,,2.0,1.0,
186,03200100113,3,20,1,1,13,2,9,8,2,,2.0,1.0,
187,03210100412,3,21,1,4,12,1,1,8,2,,2.0,1.0,
188,04290100110,4,29,1,1,10,1,2,8,2,,2.0,5.0,
189,04290100110,4,29,1,1,10,1,3,8,2,,2.0,5.0,
190,04290100110,4,29,1,1,10,1,4,8,2,,2.0,1.0,
191,04300400106,4,30,4,1,6,1,6,8,2,,2.0,1.0,
192,04300800105,4,30,8,1,5,2,8,8,2,,2.0,1.0,
193,04300802504,4,30,8,25,4,2,4,8,2,,2.0,1.0,
194,04311201223,4,31,12,12,23,2,23,8,2,,2.0,1.0,
195,04330600803,4,33,6,8,3,2,5,8,2,,2.0,1.0,
196,04340300103,4,34,3,1,3,1,3,8,2,,2.0,1.0,
197,04380100110,4,38,1,1,10,1,16,8,2,,2.0,1.0,
198,04380100203,4,38,1,2,3,1,3,8,2,,2.0,1.0,
199,04381100116,4,38,11,1,16,1,1,8,2,,2.0,1.0,
200,06470300204,6,47,3,2,4,1,1,8,2,,2.0,1.0,
201,06470300314,6,47,3,3,14,1,1,8,2,,1.0,2.0,
202,06490800103,6,49,8,1,3,1,1,8,2,,2.0,2.0,
203,07661900703,7,66,19,7,3,1,1,8,2,,2.0,4.0,
204,13700101407,13,70,1,14,7,1,1,8,2,,2.0,2.0,
205,14750401001,14,75,4,10,1,1,1,8,2,,2.0,1.0,
206,15710100415,15,71,1,4,15,1,5,8,2,,1.0,2.0,
207,15710100605,15,71,1,6,5,1,1,8,2,,1.0,1.0,
208,01020600113,1,2,6,1,13,1,8,9,1,3.0,,,1.0
209,03141800910,3,14,18,9,10,1,2,9,1,1.0,,,1.0
210,04300800105,4,30,8,1,5,2,8,9,1,2.0,,,1.0
211,04311201223,4,31,12,12,23,2,23,9,1,1.0,,,1.0
212,14750401001,14,75,4,10,1,1,1,9,1,2.0,,,1.0
213,03180100101,3,18,1,1,1,1,1,9,2,,2.0,1.0,
214,03200100113,3,20,1,1,13,2,9,9,2,,2.0,1.0,
215,03210100412,3,21,1,4,12,1,1,9,2,,2.0,1.0,
216,04290100110,4,29,1,1,10,1,2,9,2,,2.0,5.0,
217,04290100110,4,29,1,1,10,1,3,9,2,,2.0,5.0,
218,04290100110,4,29,1,1,10,1,4,9,2,,2.0,1.0,
219,04300400106,4,30,4,1,6,1,6,9,2,,2.0,1.0,
220,04300802504,4,30,8,25,4,2,4,9,2,,2.0,1.0,
221,04330600803,4,33,6,8,3,2,5,9,2,,2.0,1.0,
222,04340300103,4,34,3,1,3,1,3,9,2,,2.0,1.0,
223,04380100110,4,38,1,1,10,1,16,9,2,,2.0,1.0,
224,04380100203,4,38,1,2,3,1,3,9,2,,2.0,1.0,
225,04381100116,4,38,11,1,16,1,1,9,2,,2.0,1.0,
226,06470300204,6,47,3,2,4,1,1,9,2,,2.0,1.0,
227,06470300314,6,47,3,3,14,1,1,9,2,,1.0,2.0,
228,06490800103,6,49,8,1,3,1,1,9,2,,2.0,1.0,
229,07661900703,7,66,19,7,3,1,1,9,2,,2.0,3.0,
230,13700101407,13,70,1,14,7,1,1,9,2,,2.0,2.0,
231,14750400317,14,75,4,3,17,1,7,9,2,,2.0,3.0,
232,15710100415,15,71,1,4,15,1,5,9,2,,2.0,1.0,
233,15710100605,15,71,1,6,5,1,1,9,2,,1.0,1.0,
234,04290100110,4,29,1,1,10,1,4,10,1,1.0,,,1.0
235,04300400106,4,30,4,1,6,1,6,10,1,2.0,,,1.0
236,04330600803,4,33,6,8,3,2,5,10,1,1.0,,,2.0
237,14750401001,14,75,4,10,1,1,1,10,1,8.0,,,2.0
238,15710100415,15,71,1,4,15,1,5,10,1,1.0,,,1.0
239,01020600113,1,2,6,1,13,1,8,10,2,,2.0,555.0,1.0
240,03141800910,3,14,18,9,10,1,2,10,2,,2.0,2.0,
241,03180100101,3,18,1,1,1,1,1,10,2,,2.0,1.0,
242,03200100113,3,20,1,1,13,2,9,10,2,,2.0,1.0,
243,03210100412,3,21,1,4,12,1,1,10,2,,2.0,1.0,
244,04290100110,4,29,1,1,10,1,2,10,2,,2.0,4.0,
245,04290100110,4,29,1,1,10,1,3,10,2,,2.0,5.0,
246,04300800105,4,30,8,1,5,2,8,10,2,,2.0,1.0,
247,04300802504,4,30,8,25,4,2,4,10,2,,2.0,1.0,
248,04311201223,4,31,12,12,23,2,23,10,2,,2.0,1.0,
249,04340300103,4,34,3,1,3,1,3,10,2,,2.0,1.0,
250,04380100110,4,38,1,1,10,1,16,10,2,,2.0,1.0,
251,04380100203,4,38,1,2,3,1,3,10,2,,2.0,1.0,
252,04381100116,4,38,11,1,16,1,1,10,2,,2.0,1.0,
253,06470300204,6,47,3,2,4,1,1,10,2,,2.0,1.0,
254,06470300314,6,47,3,3,14,1,1,10,2,,2.0,2.0,
255,06490800103,6,49,8,1,3,1,1,10,2,,2.0,2.0,
256,07661900703,7,66,19,7,3,1,1,10,2,,2.0,4.0,
257,13700101407,13,70,1,14,7,1,1,10,2,,1.0,2.0,
258,14750400317,14,75,4,3,17,1,7,10,2,,2.0,1.0,
259,15710100605,15,71,1,6,5,1,1,10,2,,1.0,1.0,
260,01010200116,1,1,2,1,16,1,1,1,1,13.0,,,1.0
261,01010200116,1,1,2,1,16,1,1,2,1,2.0,,,1.0
262,01010200116,1,1,2,1,16,1,1,3,1,2.0,,,1.0
263,01010200116,1,1,2,1,16,1,1,4,2,,1.0,1.0,
264,01010200116,1,1,2,1,16,1,1,5,2,,1.0,2.0,
265,01010200116,1,1,2,1,16,1,1,6,2,,1.0,2.0,
266,01010200116,1,1,2,1,16,1,1,7,2,,1.0,2.0,
267,01010200116,1,1,2,1,16,1,1,8,2,,2.0,6.0,
268,01010200116,1,1,2,1,16,1,1,9,1,3.0,,,1.0
269,01010200116,1,1,2,1,16,1,1,10,2,,2.0,1.0,
270,01010301101,1,1,3,11,1,2,1,1,1,6.0,,,1.0
271,01010301101,1,1,3,11,1,2,1,2,2,,1.0,2.0,
272,01010301101,1,1,3,11,1,2,1,3,2,,2.0,2.0,
273,01010301101,1,1,3,11,1,2,1,4,2,,2.0,2.0,
274,01010301101,1,1,3,11,1,2,1,5,2,,2.0,2.0,
275,01010301101,1,1,3,11,1,2,1,6,2,,2.0,2.0,
276,01010301101,1,1,3,11,1,2,1,7,2,,2.0,2.0,
277,01010301101,1,1,3,11,1,2,1,8,2,,2.0,2.0,
278,01010301101,1,1,3,11,1,2,1,9,2,,2.0,2.0,
279,01010301101,1,1,3,11,1,2,1,10,2,,2.0,2.0,
280,01010400404,1,1,4,4,4,2,1,1,2,,1.0,2.0,
281,01010400404,1,1,4,4,4,2,1,2,2,,1.0,2.0,
282,01010400404,1,1,4,4,4,2,1,3,2,,1.0,2.0,
283,01010400404,1,1,4,4,4,2,1,4,2,,2.0,2.0,
284,01010400404,1,1,4,4,4,2,1,5,2,,1.0,2.0,
285,01010400404,1,1,4,4,4,2,1,6,2,,1.0,2.0,
286,01010400404,1,1,4,4,4,2,1,7,2,,1.0,2.0,
287,01010400404,1,1,4,4,4,2,1,8,2,,1.0,2.0,
288,01010400404,1,1,4,4,4,2,1,9,2,,1.0,2.0,
289,01010400404,1,1,4,4,4,2,1,10,2,,1.0,2.0,
290,01010400804,1,1,4,8,4,2,1,1,2,,1.0,1.0,
291,01010400804,1,1,4,8,4,2,1,2,2,,1.0,1.0,
292,01010400804,1,1,4,8,4,2,1,3,2,,1.0,1.0,
293,01010400804,1,1,4,8,4,2,1,4,2,,1.0,1.0,
294,01010400804,1,1,4,8,4,2,1,5,2,,1.0,1.0,
295,01010400804,1,1,4,8,4,2,1,6,2,,1.0,1.0,
296,01010400804,1,1,4,8,4,2,1,7,2,,1.0,1.0,
297,01010400804,1,1,4,8,4,2,1,8,2,,1.0,1.0,
298,01010400804,1,1,4,8,4,2,1,9,2,,1.0,1.0,
299,01010400804,1,1,4,8,4,2,1,10,2,,1.0,1.0,
300,01020801604,1,2,8,16,4,2,12,1,1,5.0,,,1.0
301,01020801604,1,2,8,16,4,2,12,2,2,,2.0,1.0,
302,01020801604,1,2,8,16,4,2,12,3,1,1.0,,,1.0
303,01020801604,1,2,8,16,4,2,12,4,2,,1.0,1.0,
304,01020801604,1,2,8,16,4,2,12,5,2,,1.0,1.0,
305,01020801604,1,2,8,16,4,2,12,6,2,,1.0,1.0,
306,01020801604,1,2,8,16,4,2,12,7,2,,1.0,1.0,
307,01020801604,1,2,8,16,4,2,12,8,2,,1.0,1.0,
308,01020801604,1,2,8,16,4,2,12,9,1,5.0,,,1.0
309,01020801604,1,2,8,16,4,2,12,10,1,1.0,,,1.0
310,01020901705,1,2,9,17,5,2,11,1,2,,1.0,3.0,
311,01020901705,1,2,9,17,5,2,11,2,2,,1.0,3.0,
312,01020901705,1,2,9,17,5,2,11,3,2,,1.0,3.0,
313,01020901705,1,2,9,17,5,2,11,4,2,,1.0,3.0,
314,01020901705,1,2,9,17,5,2,11,5,2,,1.0,3.0,
315,01020901705,1,2,9,17,5,2,11,6,2,,1.0,3.0,
316,01020901705,1,2,9,17,5,2,11,7,2,,1.0,3.0,
317,01020901705,1,2,9,17,5,2,11,8,2,,1.0,1.0,
318,01020901705,1,2,9,17,5,2,11,9,2,,1.0,3.0,
319,01020901705,1,2,9,17,5,2,11,10,2,,1.0,1.0,
320,01021200418,1,2,12,4,18,1,1,1,1,50.0,,,1.0
321,01021200418,1,2,12,4,18,1,1,2,1,3.0,,,1.0
322,01021200418,1,2,12,4,18,1,1,3,1,5.0,,,1.0
323,01021200418,1,2,12,4,18,1,1,4,1,1.0,,,1.0
324,01021200418,1,2,12,4,18,1,1,5,2,,1.0,1.0,
325,01021200418,1,2,12,4,18,1,1,6,2,,1.0,1.0,
326,01021200418,1,2,12,4,18,1,1,7,1,2.0,,,1.0
327,01021200418,1,2,12,4,18,1,1,8,2,,1.0,1.0,
328,01021200418,1,2,12,4,18,1,1,9,1,12.0,,,1.0
329,01021200418,1,2,12,4,18,1,1,10,2,,2.0,1.0,
330,01030300103,1,3,3,1,3,1,1,1,1,11.0,,,1.0
331,01030300103,1,3,3,1,3,1,1,2,1,1.0,,,1.0
332,01030300103,1,3,3,1,3,1,1,3,1,7.0,,,1.0
333,01030300103,1,3,3,1,3,1,1,4,2,,1.0,1.0,
334,01030300103,1,3,3,1,3,1,1,5,2,,1.0,1.0,
335,01030300103,1,3,3,1,3,1,1,6,2,,1.0,2.0,
336,01030300103,1,3,3,1,3,1,1,7,2,,1.0,2.0,
337,01030300103,1,3,3,1,3,1,1,8,2,,2.0,2.0,
338,01030300103,1,3,3,1,3,1,1,9,1,8.0,,,1.0
339,01030300103,1,3,3,1,3,1,1,10,2,,1.0,1.0,
340,01030600403,1,3,6,4,3,2,10,1,1,5.0,,,2.0
341,01030600403,1,3,6,4,3,2,10,2,1,3.0,,,2.0
342,01030600403,1,3,6,4,3,2,10,3,1,1.0,,,2.0
343,01030600403,1,3,6,4,3,2,10,4,2,,1.0,1.0,
344,01030600403,1,3,6,4,3,2,10,5,2,,1.0,1.0,
345,01030600403,1,3,6,4,3,2,10,6,2,,1.0,1.0,
346,01030600403,1,3,6,4,3,2,10,7,2,,1.0,1.0,
347,01030600403,1,3,6,4,3,2,10,8,2,,2.0,1.0,
348,01030600403,1,3,6,4,3,2,10,9,1,1.0,,,2.0
349,01030600403,1,3,6,4,3,2,10,10,2,,1.0,1.0,
350,01030800402,1,3,8,4,2,1,1,1,1,23.0,,,1.0
351,01030800402,1,3,8,4,2,1,1,2,1,2.0,,,1.0
352,01030800402,1,3,8,4,2,1,1,3,1,38.0,,,1.0
353,01030800402,1,3,8,4,2,1,1,4,1,1.0,,,1.0
354,01030800402,1,3,8,4,2,1,1,5,2,,2.0,2.0,
355,01030800402,1,3,8,4,2,1,1,6,2,,2.0,2.0,
356,01030800402,1,3,8,4,2,1,1,7,2,,1.0,2.0,
357,01030800402,1,3,8,4,2,1,1,8,2,,2.0,2.0,
358,01030800402,1,3,8,4,2,1,1,9,1,20.0,,,1.0
359,01030800402,1,3,8,4,2,1,1,10,2,,1.0,2.0,
360,01041100201,1,4,11,2,1,1,1,1,1,8.0,,,1.0
361,01041100201,1,4,11,2,1,1,1,2,1,1.0,,,1.0
362,01041100201,1,4,11,2,1,1,1,3,1,5.0,,,1.0
363,01041100201,1,4,11,2,1,1,1,4,2,,1.0,2.0,
364,01041100201,1,4,11,2,1,1,1,5,2,,2.0,2.0,
365,01041100201,1,4,11,2,1,1,1,6,2,,2.0,2.0,
366,01041100201,1,4,11,2,1,1,1,7,2,,2.0,2.0,
367,01041100201,1,4,11,2,1,1,1,8,2,,2.0,2.0,
368,01041100201,1,4,11,2,1,1,1,9,1,6.0,,,1.0
369,01041100201,1,4,11,2,1,1,1,10,2,,1.0,2.0,
370,01050100110,1,5,1,1,10,1,1,1,1,3.0,,,1.0
371,01050100110,1,5,1,1,10,1,1,2,1,2.0,,,1.0
372,01050100110,1,5,1,1,10,1,1,3,1,3.0,,,1.0
373,01050100110,1,5,1,1,10,1,1,4,2,,1.0,2.0,
374,01050100110,1,5,1,1,10,1,1,5,2,,1.0,2.0,
375,01050100110,1,5,1,1,10,1,1,6,2,,1.0,2.0,
376,01050100110,1,5,1,1,10,1,1,7,2,,1.0,2.0,
377,01050100110,1,5,1,1,10,1,1,8,2,,2.0,2.0,
378,01050100110,1,5,1,1,10,1,1,9,1,2.0,,,1.0
379,01050100110,1,5,1,1,10,1,1,10,2,,1.0,2.0,
380,01050101108,1,5,1,11,8,2,1,1,2,,1.0,1.0,
381,01050101108,1,5,1,11,8,2,1,2,2,,1.0,1.0,
382,01050101108,1,5,1,11,8,2,1,3,2,,1.0,1.0,
383,01050101108,1,5,1,11,8,2,1,4,2,,1.0,1.0,
384,01050101108,1,5,1,11,8,2,1,5,2,,1.0,1.0,
385,01050101108,1,5,1,11,8,2,1,6,2,,1.0,1.0,
386,01050101108,1,5,1,11,8,2,1,7,2,,1.0,1.0,
387,01050101108,1,5,1,11,8,2,1,8,2,,1.0,2.0,
388,01050101108,1,5,1,11,8,2,1,9,2,,1.0,1.0,
389,01050101108,1,5,1,11,8,2,1,10,2,,1.0,1.0,
390,01060100317,1,6,1,3,17,1,1,1,1,18.0,,,1.0
391,01060100317,1,6,1,3,17,1,1,2,1,2.0,,,1.0
392,01060100317,1,6,1,3,17,1,1,3,1,63.0,,,1.0
393,01060100317,1,6,1,3,17,1,1,4,2,,1.0,2.0,
