,HHID,Q,Q_a,Q_b,Q_c,Q_d
479,01010400804227,10,-888,-888,720,-888
480,01020600113003,1,0,0,0,0
481,01020600113003,2,0,0,0,0
482,01020600113003,3,100,0,0,0
483,01020600113003,4,20,0,0,0
484,01020600113003,5,0,0,0,0
485,01020600113003,6,0,0,0,0
486,01020600113003,7,0,0,0,0
487,01020600113003,8,240,0,0,0
488,01020600113003,9,0,0,0,0
489,01020600113003,10,0,0,540,0
490,01020600113011,1,0,0,0,0
491,01020600113011,2,0,0,0,0
492,01020600113011,3,110,0,0,0
493,01020600113011,4,20,0,0,0
494,01020600113011,5,0,0,0,0
495,01020600113011,6,0,0,0,0
496,01020600113011,7,0,0,0,0
497,01020600113011,8,0,0,0,0
498,01020600113011,9,0,0,0,0
499,01020600113011,10,480,0,0,0
500,01020600113019,1,0,0,0,0
501,01020600113019,2,0,0,0,0
502,01020600113019,3,70,0,0,0
503,01020600113019,4,20,0,0,0
504,01020600113019,5,0,0,0,0
505,01020600113019,6,0,0,0,0
506,01020600113019,7,0,0,0,0
507,01020600113019,8,0,0,0,0
508,01020600113019,9,0,0,0,0
509,01020600113019,10,480,0,480,0
510,01020600113027,1,0,0,0,0
511,01020600113027,2,0,0,0,0
512,01020600113027,3,50,0,0,0
513,01020600113027,4,20,0,0,0
514,01020600113027,5,0,0,0,0
515,01020600113027,6,0,0,0,0
516,01020600113027,7,0,0,0,0
517,01020600113027,8,0,0,0,0
518,01020600113027,9,0,0,0,0
519,01020600113027,10,0,0,0,0
520,01020600113035,1,0,0,0,0
521,01020600113035,2,0,0,0,0
522,01020600113035,3,120,0,0,0
523,01020600113035,4,20,0,0,0
524,01020600113035,5,0,0,0,0
525,01020600113035,6,0,0,0,0
526,01020600113035,7,0,0,0,0
527,01020600113035,8,360,0,0,0
528,01020600113035,9,0,0,0,0
529,01020600113035,10,0,0,0,0
530,01020600113043,1,0,0,0,0
531,01020600113043,2,0,0,0,0
532,01020600113043,3,100,0,0,0
533,01020600113043,4,15,0,0,0
534,01020600113043,5,0,0,0,0
535,01020600113043,6,0,0,0,0
536,01020600113043,7,0,0,0,0
537,01020600113043,8,540,0,0,0
538,01020600113043,9,0,0,0,0
539,01020600113043,10,0,0,600,0
540,01020600113051,1,0,0,0,0
541,01020600113051,2,0,0,0,0
542,01020600113051,3,120,0,0,0
543,01020600113051,4,20,0,0,0
544,01020600113051,5,0,0,0,0
545,01020600113051,6,0,0,0,0
546,01020600113051,7,0,0,0,0
547,01020600113051,8,540,0,0,0
548,01020600113051,9,0,0,0,0
549,01020600113051,10,0,0,600,0
550,01020600113059,1,0,0,0,0
551,01020600113059,2,0,0,0,0
552,01020600113059,3,50,0,0,0
553,01020600113059,4,15,0,0,0
554,01020600113059,5,0,0,0,0
555,01020600113059,6,0,0,0,0
556,01020600113059,7,0,0,0,0
557,01020600113059,8,0,0,0,0
558,01020600113059,9,0,0,0,0
559,01020600113059,10,0,0,0,0
560,01020600113067,1,0,0,0,0
561,01020600113067,2,0,0,0,0
562,01020600113067,3,40,30,0,0
563,01020600113067,4,15,10,0,0
564,01020600113067,5,0,0,0,0
565,01020600113067,6,0,0,0,0
566,01020600113067,7,0,0,0,0
567,01020600113067,8,0,0,0,0
568,01020600113067,9,0,60,0,0
569,01020600113067,10,0,0,0,0
570,01020600113075,1,0,0,0,0
571,01020600113075,2,0,0,0,0
572,01020600113075,3,70,0,0,0
573,01020600113075,4,15,0,0,0
574,01020600113075,5,0,0,0,0
575,01020600113075,6,0,0,0,0
576,01020600113075,7,0,0,0,0
577,01020600113075,8,480,0,0,0
578,01020600113075,9,0,0,0,0
579,01020600113075,10,0,0,540,0
580,01020600113083,1,0,0,0,0
581,01020600113083,2,0,0,0,0
582,01020600113083,3,110,0,0,0
583,01020600113083,4,20,0,0,0
584,01020600113083,5,0,0,0,0
585,01020600113083,6,0,0,0,0
586,01020600113083,7,0,0,0,0
587,01020600113083,8,540,0,0,0
588,01020600113083,9,0,0,0,0
589,01020600113083,10,0,0,480,0
590,01020600113091,1,0,0,0,0
591,01020600113091,2,0,0,0,0
592,01020600113091,3,80,0,0,0
593,01020600113091,4,20,0,0,0
594,01020600113091,5,0,0,0,0
595,01020600113091,6,0,0,0,0
596,01020600113091,7,0,0,0,0
597,01020600113091,8,540,0,0,0
598,01020600113091,9,0,0,0,0
599,01020600113091,10,0,0,540,0
600,01020801604004,1,120,-888,90,-888
601,01020801604004,2,-888,-888,20,-888
602,01020801604004,3,360,-888,-888,-888
603,01020801604004,4,40,-888,-888,-888
604,01020801604004,5,40,-888,-888,-888
605,01020801604004,6,-888,-888,-888,-888
606,01020801604004,7,-888,-888,-888,-888
607,01020801604004,8,360,-888,-888,-888
608,01020801604004,9,60,60,-888,-888
609,01020801604004,10,-888,-888,480,-888
610,01020801604014,1,120,-888,-888,-888
611,01020801604014,2,20,-888,-888,-888
612,01020801604014,3,360,-888,-888,-888
613,01020801604014,4,30,-888,-888,-888
614,01020801604014,5,-888,-888,-888,-888
615,01020801604014,6,-888,-888,-888,-888
616,01020801604014,7,-888,-888,-888,-888
617,01020801604014,8,-888,-888,-888,-888
618,01020801604014,9,-888,-888,-888,-888
619,01020801604014,10,-888,-888,480,-888
620,01020801604024,1,60,-888,60,-888
621,01020801604024,2,20,-888,20,-888
622,01020801604024,3,240,-888,-888,-888
623,01020801604024,4,20,-888,-888,-888
624,01020801604024,5,-888,-888,-888,-888
625,01020801604024,6,-888,-888,-888,-888
626,01020801604024,7,-888,-888,-888,-888
627,01020801604024,8,360,-888,-888,-888
628,01020801604024,9,-888,-888,-888,-888
629,01020801604024,10,-888,-888,-888,-888
630,01020801604034,1,-888,-888,-888,-888
631,01020801604034,2,-888,-888,-888,-888
632,01020801604034,3,30,-888,-888,-888
633,01020801604034,4,-888,-888,-888,-888
634,01020801604034,5,-888,-888,-888,-888
635,01020801604034,6,-888,-888,-888,-888
636,01020801604034,7,-888,-888,-888,-888
637,01020801604034,8,240,-888,-888,-888
638,01020801604034,9,-888,-888,-888,-888
639,01020801604034,10,-888,-888,-888,-888
640,01020801604044,1,-888,-888,-888,-888
641,01020801604044,2,-888,-888,-888,-888
642,01020801604044,3,30,-888,-888,-888
643,01020801604044,4,-888,-888,-888,-888
644,01020801604044,5,-888,-888,-888,-888
645,01020801604044,6,-888,-888,-888,-888
646,01020801604044,7,-888,-888,-888,-888
647,01020801604044,8,-888,-888,-888,-888
648,01020801604044,9,-888,-888,-888,-888
649,01020801604044,10,-888,-888,-888,-888
650,01020801604054,1,-888,-888,-888,-888
651,01020801604054,2,30,-888,30,-888
652,01020801604054,3,20,-888,-888,-888
653,01020801604054,4,-888,-888,-888,-888
654,01020801604054,5,-888,-888,-888,-888
655,01020801604054,6,-888,-888,-888,-888
656,01020801604054,7,-888,-888,-888,-888
657,01020801604054,8,60,-888,30,-888
658,01020801604054,9,-888,30,-888,-888
659,01020801604054,10,-888,-888,-888,-888
660,01020801604064,1,60,-888,35,-888
661,01020801604064,2,30,-888,45,-888
662,01020801604064,3,120,-888,-888,-888
663,01020801604064,4,60,-888,-888,-888
664,01020801604064,5,60,-888,-888,-888
665,01020801604064,6,-888,-888,-888,-888
666,01020801604064,7,-888,-888,-888,-888
667,01020801604064,8,120,-888,60,-888
668,01020801604064,9,90,-888,-888,-888
669,01020801604064,10,-888,-888,-888,-888
670,01020801604074,1,60,-888,-888,-888
671,01020801604074,2,-888,-888,120,120
672,01020801604074,3,90,-888,-888,-888
673,01020801604074,4,15,-888,-888,-888
674,01020801604074,5,25,-888,-888,-888
675,01020801604074,6,30,-888,-888,-888
676,01020801604074,7,45,-888,-888,30
677,01020801604074,8,0,-888,0,0
678,01020801604074,9,0,0,120,0
679,01020801604074,10,30,-888,-888,-888
680,01020801604084,1,60,-888,35,42
681,01020801604084,2,180,-888,-888,-888
682,01020801604084,3,60,-888,-888,-888
683,01020801604084,4,45,-888,-888,-888
684,01020801604084,5,60,60,60,60
685,01020801604084,6,45,-888,-888,-888
686,01020801604084,7,-888,-888,-888,-888
687,01020801604084,8,-888,-888,-888,-888
688,01020801604084,9,-888,-888,-888,90
689,01020801604084,10,-888,-888,-888,-888
690,01020801604100,1,35,90,-888,-888
691,01020801604100,2,-888,40,-888,-888
692,01020801604100,3,50,90,-888,-888
