,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Facility,K4,K5,K6,K7,K10,K11,K12,K13,K15,K16_am,K17_pm,K18,K19,K20,K21,K22,K23,K24,K25,K26_hour,K26_minute,K27,K28,K29,K30,K31,K32_c,K32_u,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57
328,07530302901,7,53,3,29,1,2,2,4,1,2,8.0,4.0,12,1,20.0,,,         2,        11,2,5.0,,0.0,2,1.0,,,,,,2,1.0,,16.0,30.0,2.0,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
329,04381001704,4,38,10,17,4,2,4,3,1,2,2.0,5.0,3,23,5.0,,,         2,        11,2,555.0,,888.0,2,888.0,,,,,,2,555.0,555.0,50.0,15.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
330,04240602203,4,24,6,22,3,2,1,3,2,5,15.0,6.0,7,2,20.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
331,03160500103,3,16,5,1,3,1,1,1,1,3,8.0,1.0,12,8,45.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,4.0,1.0,30.0,2.0,2,1.0,1.0,80.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
332,03121000302,3,12,10,3,2,1,1,4,1,6,1.0,4.0,2,142,4500.0,,,         2,        11,1,,1.0,16.0,2,2.0,1.0,3.0,0.0,45.0,2.0,2,1.0,1.0,155.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
333,07570900601,7,57,9,6,1,2,1,3,1,6,1.0,1.0,1,19,693.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
334,04320400608,4,32,4,6,8,2,3,4,2,6,3.0,6.0,12,35,24.0,,,         2,        11,2,1.0,,2.0,1,3.0,,,,,,2,1.0,1.0,258.0,0.35,1.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
335,04381100606,4,38,11,6,6,1,6,4,1,6,8.0,1.0,12,30,50.0,,,2,        11,1,,1.0,24.0,2,1.0,1.0,3.0,3.0,30.0,1.0,2,1.0,1.0,90.0,0.27,1.0,2.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
336,07560201903,7,56,2,19,3,2,9,1,1,5,8.0,3.0,12,1,15.0,,,         3,        11,1,,1.0,10.0,2,1.0,1.0,15.0,3.0,0.0,1.0,2,1.0,1.0,30.0,1.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
337,03180100102,3,18,1,1,2,1,1,3,1,6,1.0,4.0,12,55,1300.0,,,         2,        11,1,,1.0,8.0,1,,1.0,2.0,0.0,20.0,2.0,2,1.0,1.0,150.0,0.65,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
