,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Facility,K4,K5,K6,K7,K10,K11,K12,K13,K15,K16_am,K17_pm,K18,K19,K20,K21,K22,K23,K24,K25,K26_hour,K26_minute,K27,K28,K29,K30,K31,K32_c,K32_u,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57
391,06480200101,6,48,2,1,1,1,1,2,1,5,9.0,3.0,7,25,18.0,,,         2,        11,1,,3.0,888.0,2,888.0,2.0,,,,,2,,8.0,-888.0,-888.0,2.0,2.0,,,,,,,,,,,,1,2,3,2,,5.0,2,2,,,,,
392,04300800105,4,30,8,1,5,2,8,4,1,2,555.0,2.0,555,5,10.0,,,         2,        11,2,1.0,,0.0,2,888.0,,,,,,2,555.0,555.0,1500.0,15.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
393,04311201223,4,31,12,12,23,2,23,2,1,6,10.0,2.0,12,30,50.0,,,         2,        11,1,,1.0,20.0,1,,1.0,4.0,1.0,15.0,1.0,2,1.0,1.0,1500.0,20.0,2.0,1.0,,,,,,,,,,,,1,2,3,1,3.0,3.0,1,1,1.0,1.0,20.0,2.0,1.0
394,07550200109,7,55,2,1,9,1,1,3,1,3,7.0,10.0,14,20,5.0,,,         2,        11,1,,1.0,15.0,2,3.0,1.0,80.0,2.0,40.0,3.0,2,1.0,1.0,120.0,1.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,2.0,2,2,,,,,
395,04330600803,4,33,6,8,3,2,6,2,1,5,1.0,3.0,1,22,1500.0,,,         2,        11,1,,1.0,5.0,2,1.0,1.0,15.0,5.0,0.0,1.0,2,1.0,555.0,80.0,0.27,1.0,2.0,,,,,,,,,,,,2,2,3,2,,2.0,2,2,,,,,
396,07551300102,7,55,13,1,2,1,1,1,1,6,1.0,3.0,1,35,3000.0,,,         2,        11,1,,1.0,12.0,2,2.0,1.0,30.0,2.0,30.0,2.0,2,3.0,3.0,500.0,100.0,1.0,1.0,,,,,,,,,,,,2,1,3,2,,3.0,2,2,,,,,
397,03180201302,3,18,2,13,2,2,13,4,1,3,8.0,6.0,11,4,5.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,555.0,,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
398,04381001704,4,38,10,17,4,2,4,4,2,2,555.0,6.0,2,2,2.0,,,         2,        11,2,1.0,,5.0,2,1.0,,,,,,2,555.0,555.0,12.0,0.45,1.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
399,07520100101,7,52,1,1,1,1,1,2,1,5,1.0,5.0,2,33,460.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,30.0,1.0,25.0,2.0,2,1.0,1.0,220.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,2,2,,2.0,2,2,,,,,
400,04242204001,4,24,22,40,1,2,1,2,1,5,8.0,10.0,12,4,6.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
401,07500901704,7,50,9,17,4,2,3,4,1,6,15.0,4.0,7,70,40.0,,,         2,        11,1,,1.0,15.0,1,3.0,1.0,20.0,5.0,0.0,3.0,2,1.0,1.0,1350.0,0.27,1.0,2.0,,,,,,,,,,,,1,2,3,1,3.0,2.0,2,2,,,,,
402,07501400105,7,50,14,1,5,1,1,2,1,5,2.0,10.0,1,35,685.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,90.0,1.0,20.0,2.0,2,1.0,1.0,1560.0,-888.0,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
403,07511100128,7,51,11,1,28,1,1,4,1,6,8.0,14.0,12,10,25.0,,,         2,        11,1,,1.0,7.0,2,3.0,1.0,50.0,1.0,30.0,3.0,2,1.0,1.0,3500.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
404,06460500108,6,46,5,1,8,1,5,1,1,6,2.0,4.0,1,19,400.0,,,         2,        11,1,,1.0,12.0,2,2.0,1.0,3.0,2.0,50.0,2.0,2,2.0,3.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,1,2,3,1,3.0,2.0,2,2,,,,,
405,04280201505,4,28,2,15,5,2,5,1,2,6,10.0,5.0,12,12,5.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,555.0,555.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
406,07650101206,7,65,1,12,6,2,21,1,1,5,8.0,3.0,12,1,5.0,,,         3,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,50.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
407,03111700101,3,11,17,1,1,1,1,1,1,6,8.0,1.0,12,18,30.0,,,         2,        11,1,,1.0,20.0,1,,1.0,18.0,1.0,20.0,3.0,2,1.0,1.0,3.0,0.6,1.0,1.0,,,,,,,,,,,,1,2,3,2,,5.0,2,2,,,,,
408,04290100110,4,29,1,1,10,1,2,1,1,6,5.0,3.0,7,1,11.0,,,        11,        11,1,,1.0,10.0,2,3.0,1.0,15.0,18.0,0.0,3.0,2,1.0,4.0,30.0,0.51,1.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
409,04300800105,4,30,8,1,5,2,8,3,1,6,8.0,6.0,12,29,20.0,,,         2,        11,2,1.0,,0.0,2,888.0,,,,,,2,555.0,555.0,140.0,0.56,1.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
410,07650101206,7,65,1,12,6,2,21,3,1,5,11.0,2.0,15,8,8.0,,,         3,        11,2,1.0,,888.0,2,1.0,,,,,,2,,8.0,33.0,9.0,4.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
411,07501400105,7,50,14,1,5,1,1,4,1,6,8.0,4.0,12,11,35.0,,,         2,        11,1,,1.0,9.0,2,3.0,1.0,90.0,2.0,25.0,3.0,2,1.0,1.0,-888.0,-888.0,1.0,1.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
412,04300802504,4,30,8,25,4,2,4,2,1,2,2.0,6.0,1,20,15.0,,,         2,        11,2,1.0,,888.0,2,1.0,,,,,,2,555.0,555.0,-888.0,65.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
413,04321600405,4,32,16,4,5,2,5,3,2,5,3.0,4.0,7,25,35.0,,,         2,        11,2,555.0,,0.0,2,888.0,,,,,,2,555.0,555.0,32.0,423.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,1.0,2,2,,,,,
414,06470305101,6,47,3,51,1,2,1,2,1,5,15.0,4.0,7,2,10.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
415,07650105703,7,65,1,57,3,2,20,4,1,5,3.0,2.0,7,25,25.0,,,         2,        11,1,,3.0,6.0,2,1.0,2.0,,,,,2,1.0,9.0,3000.0,22.0,2.0,2.0,,,,,,,,,,,,2,2,3,1,5.0,5.0,2,2,,,,,
416,04291501302,4,29,15,13,2,2,2,4,1,2,7.0,2.0,14,32,15.0,,,         2,        11,2,1.0,,0.0,2,1.0,,,,,,2,555.0,555.0,-888.0,12.0,2.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
417,03111700101,3,11,17,1,1,1,1,4,2,6,3.0,8.0,7,13,39.0,,,         2,        11,1,,1.0,18.0,2,2.0,1.0,4.0,0.0,30.0,2.0,2,1.0,1.0,175.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
418,04231300304,4,23,13,3,4,2,1,2,2,5,15.0,11.0,7,4,25.0,,,         2,        11,1,,4.0,4.0,2,1.0,2.0,,,,,1,,,,,,,2007.0,2.0,2.0,,-888.0,6.0,1.0,5.0,0.0,2.0,5.0,2,2,3,2,,6.0,2,2,,,,,
419,04231300304,4,23,13,3,4,2,1,4,1,6,1.0,4.0,1,16,458.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,2,2,,7.0,2,2,,,,,
420,07530400605,7,53,4,6,5,1,1,1,1,6,8.0,1.0,12,30,40.0,,,         2,        11,1,,1.0,12.0,1,,1.0,15.0,1.0,30.0,2.0,2,3.0,3.0,500.0,1.0,1.0,1.0,,,,,,,,,,,,1,2,2,1,4.0,3.0,2,2,,,,,
421,07540700103,7,54,7,1,3,1,1,2,1,6,8.0,6.0,12,30,50.0,,,         2,        11,1,,1.0,8.0,1,,1.0,60.0,2.0,30.0,3.0,2,3.0,3.0,800.0,100.0,1.0,1.0,,,,,,,,,,,,1,1,3,2,,3.0,2,2,,,,,
422,07551300314,7,55,13,3,14,1,1,1,1,6,1.0,14.0,1,52,1926.0,,,         2,        11,1,,1.0,6.0,2,2.0,1.0,5.0,3.0,30.0,3.0,2,3.0,3.0,300.0,100.0,1.0,1.0,,,,,,,,,,,,1,2,2,1,6.0,2.0,2,2,,,,,
423,03160500103,3,16,5,1,3,1,1,2,1,6,1.0,3.0,2,1,1500.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,3.0,1.0,20.0,2.0,2,1.0,1.0,55.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
424,07520701406,7,52,7,14,6,2,19,1,1,6,1.0,7.0,1,32,1198.0,,,         2,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,300.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
425,13700100901,13,70,1,9,1,1,2,3,1,3,8.0,1.0,12,7,25.0,,,         2,        11,1,,1.0,7.0,1,,1.0,14.0,2.0,0.0,2.0,2,1.0,1.0,125.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
426,03140400104,3,14,4,1,4,1,1,4,1,5,8.0,3.0,12,16,8.0,,,         2,        11,1,,1.0,16.0,2,1.0,1.0,10.0,1.0,30.0,1.0,2,1.0,1.0,78.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,1,2,,3.0,2,2,,,,,
427,03160500103,3,16,5,1,3,1,1,3,1,3,8.0,2.0,12,3,10.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,3.0,1.0,25.0,2.0,2,1.0,1.0,75.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
428,07640101801,7,64,1,18,1,2,22,2,1,5,11.0,2.0,15,7,15.0,,,         2,        11,2,5.0,,0.0,2,888.0,,,,,,2,1.0,1.0,50.0,22.0,2.0,2.0,,,,,,,,,,,,2,2,2,2,,5.0,2,2,,,,,
429,04300400106,4,30,4,1,6,1,6,4,1,2,10.0,3.0,12,6,20.0,,,         2,        11,2,2.0,,6.0,2,1.0,1.0,4.0,2.0,0.0,1.0,2,1.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,2,2,,1.0,2,2,,,,,
430,07630101203,7,63,1,12,3,2,14,1,1,5,1.0,2.0,1,29,887.0,,,         2,        11,1,,5.0,3.0,2,1.0,2.0,,,,,1,,,,,,,-888.0,1.0,2.0,,-888.0,6.0,2.0,5.0,0.0,2.0,5.0,2,2,3,2,,6.0,2,2,,,,,
431,03111700101,3,11,17,1,1,1,1,2,2,6,8.0,8.0,12,7,15.0,,,         2,        11,1,,1.0,16.0,2,2.0,1.0,5.0,0.0,30.0,2.0,2,1.0,1.0,150.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
432,07661900421,7,66,19,4,21,1,1,2,2,6,2.0,5.0,1,30,350.0,,,         2,        11,1,,1.0,12.0,2,1.0,1.0,30.0,1.0,30.0,1.0,2,3.0,3.0,200.0,15.0,1.0,2.0,,,,,,,,,,,,2,1,1,2,,3.0,2,2,,,,,
433,03210100412,3,21,1,4,12,1,1,4,1,6,1.0,10.0,2,23,1550.0,,,         2,        11,1,,1.0,18.0,2,2.0,1.0,4.0,0.0,40.0,2.0,2,1.0,1.0,125.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
434,07511000702,7,51,10,7,2,2,4,2,1,6,1.0,3.0,1,26,1339.0,,,         2,        11,2,1.0,,0.0,2,1.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
435,06480201401,6,48,2,14,1,2,1,4,1,5,1.0,1.0,1,12,420.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,2,2,,7.0,2,2,,,,,
436,03120200303,3,12,2,3,3,1,1,1,1,7,8.0,5.0,12,15,50.0,,,         2,        11,1,,1.0,18.0,2,2.0,1.0,4.0,0.0,45.0,2.0,2,1.0,1.0,120.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
437,12690101901,12,69,1,19,1,2,1,1,1,1,8.0,1.0,12,25,10.0,,,         2,        11,1,,1.0,888.0,2,888.0,1.0,0.0,,,,2,4.0,,,,,2.0,,,,,,,,,,,,2,2,2,2,,2.0,2,2,,,,,
438,07570900601,7,57,9,6,1,2,1,2,2,5,15.0,2.0,7,2,20.0,,,         2,        11,2,1.0,,888.0,2,1.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
439,04220800303,4,22,8,3,3,2,1,1,1,4,8.0,1.0,12,5,25.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
440,04230200302,4,23,2,3,2,2,1,4,2,5,15.0,5.0,6,1,5.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
441,03120200303,3,12,2,3,3,1,1,2,1,6,3.0,2.0,7,8,58.0,,,         2,        11,1,,1.0,18.0,2,2.0,1.0,3.0,1.0,25.0,2.0,2,1.0,1.0,210.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
442,07550200109,7,55,2,1,9,1,1,1,1,5,1.0,7.0,1,40,850.0,,,         2,        11,1,,1.0,15.0,2,3.0,1.0,60.0,1.0,30.0,3.0,2,1.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,2.0,2,2,,,,,
443,07511100128,7,51,11,1,28,1,1,1,1,5,2.0,10.0,1,18,675.0,,,         2,        11,1,,1.0,8.0,2,1.0,1.0,30.0,2.0,30.0,1.0,2,1.0,1.0,900.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
444,03111802013,3,11,18,20,13,1,1,3,1,6,10.0,5.0,12,8,47.0,,,         2,        11,1,,1.0,9.0,1,,1.0,5.0,1.0,25.0,2.0,2,1.0,1.0,250.0,20.0,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
445,04391000302,4,39,10,3,2,2,1,3,1,2,8.0,1.0,12,7,25.0,,,         2,        11,2,1.0,,888.0,2,3.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
446,04280203203,4,28,2,32,3,2,4,4,2,2,555.0,2.0,11,6,15.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,555.0,555.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
447,06480200101,6,48,2,1,1,1,1,1,1,3,2.0,4.0,1,4,62.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
448,04300400106,4,30,4,1,6,1,6,1,1,5,1.0,1.0,1,92,2000.0,,,         2,        11,1,,1.0,7.0,1,,1.0,2.0,3.0,0.0,2.0,2,1.0,1.0,70.0,-888.0,1.0,1.0,,,,,,,,,,,,1,2,2,2,,2.0,2,2,,,,,
449,07560201903,7,56,2,19,3,2,9,4,1,6,1.0,3.0,2,34,870.0,,,         2,        11,1,,1.0,14.0,2,1.0,1.0,18.0,1.0,0.0,2.0,2,1.0,1.0,200.0,1.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,2.0,2,2,,,,,
450,03150800103,3,15,8,1,3,1,1,4,1,6,8.0,1.0,12,11,30.0,,,         2,        11,1,,1.0,9.0,2,2.0,1.0,5.0,2.0,30.0,2.0,2,1.0,1.0,100.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
451,04260801102,4,26,8,11,2,2,1,2,2,5,4.0,1.0,7,1,5.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
452,03180100102,3,18,1,1,2,1,1,2,1,6,3.0,5.0,7,46,28.0,,,         2,        11,1,,1.0,8.0,1,,1.0,2.0,0.0,20.0,2.0,2,1.0,1.0,158.0,0.65,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
453,07511100224,7,51,11,2,24,1,1,1,1,5,1.0,10.0,1,20,855.0,,,         2,        11,1,,1.0,9.0,2,1.0,1.0,60.0,1.0,30.0,2.0,2,1.0,1.0,1440.0,1.0,1.0,2.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
454,02070501302,2,7,5,13,2,2,4,3,1,1,8.0,10.0,12,7,2.0,,,2,        11,2,1.0,,888.0,2,888.0,,,,,,2,,,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
455,07511000702,7,51,10,7,2,2,4,4,1,6,11.0,2.0,15,6,5.0,,,         2,        11,2,1.0,,888.0,2,1.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
456,05410415801,5,41,4,158,1,2,1,3,1,5,8.0,12.0,12,8,29.0,,,         3,        11,1,,4.0,5.0,1,,2.0,,,,,1,,,,,,,2008.0,2.0,2.0,,750.0,3.0,1.0,1.0,2.0,2.0,3.0,2,2,2,1,3.0,2.0,1,2,,,,,
457,04291501302,4,29,15,13,2,2,2,1,1,2,2.0,4.0,1,20,5.0,,,         2,        11,2,1.0,,1.0,2,1.0,,,,,,2,555.0,555.0,150.0,0.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
458,15710100605,15,71,1,6,5,1,1,3,2,6,8.0,2.0,12,60,300.0,,,         2,        11,1,,1.0,7.0,2,2.0,1.0,2.0,12.0,0.0,2.0,2,1.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,3.0,1,2,,,,,
459,05420299912,5,42,2,999,12,1,5,1,1,5,1.0,3.0,1,12,750.0,,,         3,        11,1,,2.0,4.0,1,,1.0,8.0,0.0,30.0,3.0,2,4.0,8.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,2,1,3.0,5.0,2,2,,,,,
460,04300800105,4,30,8,1,5,2,5,1,2,5,8.0,4.0,12,29,10.0,,,         2,        11,1,,1.0,9.0,2,1.0,1.0,4.0,30.0,30.0,1.0,2,555.0,555.0,2000.0,150.0,1.0,2.0,,,,,,,,,,,,2,2,2,2,,555.0,2,2,,,,,
461,03152000705,3,15,20,7,5,1,1,2,1,6,3.0,7.0,7,25,40.0,,,         2,        11,1,,1.0,23.0,1,,1.0,3.0,1.0,20.0,2.0,2,1.0,1.0,100.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
462,07520500901,7,52,5,9,1,2,17,3,1,5,8.0,1.0,15,4,15.0,,,         2,        11,2,7.0,,0.0,2,1.0,,,,,,2,4.0,8.0,20.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
463,04300802504,4,30,8,25,4,2,4,1,1,5,1.0,1.0,1,21,1240.0,,,         2,        11,2,1.0,,0.0,2,1.0,,,,,,2,555.0,555.0,,,,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
464,03180700305,3,18,7,3,5,1,1,2,1,5,3.0,9.0,7,12,50.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,2.0,0.0,25.0,2.0,2,1.0,1.0,280.0,0.27,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
465,03150800103,3,15,8,1,3,1,1,3,1,6,15.0,2.0,7,35,40.0,,,         2,        11,1,,1.0,9.0,2,2.0,1.0,5.0,2.0,30.0,2.0,2,1.0,1.0,800.0,0.6,1.0,1.0,,,,,,,,,,,,1,2,3,2,,3.0,2,2,,,,,
466,03141000205,3,14,10,2,5,2,18,1,1,6,1.0,1.0,1,22,714.0,,,2,        11,1,,1.0,5.0,1,,1.0,20.0,13.0,30.0,3.0,2,1.0,1.0,24.0,0.27,1.0,2.0,,,,,,,,,,,,2,2,2,1,7.0,3.0,2,2,,,,,
467,03210100412,3,21,1,4,12,1,1,3,1,6,8.0,5.0,7,9,45.0,,,         2,        11,1,,1.0,18.0,2,2.0,1.0,1.0,0.0,45.0,2.0,2,1.0,1.0,100.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
468,12670500701,12,67,5,7,1,2,1,1,1,3,8.0,1.0,12,9,15.0,,,         2,        11,2,1.0,,888.0,2,1.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
469,04381100116,4,38,11,1,16,1,1,1,1,5,1.0,9.0,1,33,1484.0,,,2,        11,1,,1.0,24.0,2,3.0,1.0,3.0,2.0,30.0,3.0,2,1.0,1.0,200.0,0.27,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
470,07551300314,7,55,13,3,14,1,1,3,2,6,3.0,3.0,7,50,100.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,30.0,2.0,40.0,3.0,2,3.0,3.0,900.0,100.0,1.0,1.0,,,,,,,,,,,,1,1,3,2,,2.0,1,2,,,,,
471,03180100102,3,18,1,1,2,1,1,1,1,6,8.0,1.0,12,34,30.0,,,         2,        11,1,,1.0,8.0,1,,1.0,3.0,0.0,20.0,2.0,2,1.0,1.0,200.0,0.65,1.0,1.0,,,,,,,,,,,,2,1,3,2,,6.0,2,2,,,,,
472,04311201223,4,31,12,12,23,2,23,4,1,2,8.0,20.0,12,20,10.0,,,         2,        11,1,,4.0,20.0,1,1.0,2.0,,,,,1,,,,,,,-888.0,2.0,1.0,2.0,1600.0,3.0,1.0,3.0,4.0,1.0,3.0,2,2,3,2,,555.0,2,2,,,,,
473,04311201223,4,31,12,12,23,2,23,1,1,6,8.0,4.0,12,42,20.0,,,         2,        11,1,,1.0,23.0,2,1.0,1.0,2.0,1.0,30.0,1.0,2,1.0,1.0,1500.0,500.0,1.0,1.0,,,,,,,,,,,,1,2,3,1,3.0,1.0,2,2,,,,,
474,06470305101,6,47,3,51,1,2,1,1,1,6,1.0,1.0,1,23,777.0,,,         2,        11,1,,1.0,4.0,2,2.0,1.0,4.0,1.0,30.0,2.0,2,1.0,1.0,54.0,126.0,1.0,2.0,,,,,,,,,,,,2,2,2,1,1.0,1.0,2,2,,,,,
475,03180100101,3,18,1,1,1,1,1,3,1,6,11.0,12.0,15,32,9.0,,,         2,        11,1,,1.0,15.0,2,2.0,1.0,1.0,2.0,0.0,1.0,2,1.0,1.0,-888.0,-888.0,1.0,1.0,,,,,,,,,,,,2,2,3,2,,1.0,2,2,,,,,
476,04231301905,4,23,13,19,5,2,1,3,1,6,1.0,1.0,1,14,746.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
477,07520301304,7,52,3,13,4,2,18,3,1,6,1.0,10.0,1,53,1830.0,,,         2,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,150.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
478,03140400104,3,14,4,1,4,1,1,1,1,6,1.0,2.0,1,22,1126.0,,,         2,        11,1,,1.0,12.0,2,1.0,1.0,4.0,2.0,0.0,1.0,2,1.0,1.0,104.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,1,2,,2.0,2,2,,,,,
479,06490800103,6,49,8,1,3,1,1,1,1,3,2.0,3.0,1,6,60.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,,2.0,,,,,,,,,,,,1,2,3,2,,7.0,2,2,,,,,
480,03210100412,3,21,1,4,12,1,1,2,1,6,4.0,10.0,11,20,10.0,,,         2,        11,1,,1.0,18.0,2,2.0,1.0,4.0,0.0,45.0,2.0,2,1.0,1.0,100.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
481,07590401603,7,59,4,16,3,2,1,3,1,5,1.0,1.0,1,19,1333.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
482,05410415801,5,41,4,158,1,2,1,2,2,6,4.0,3.0,7,6,15.0,,,         1,        11,1,,3.0,8.0,2,3.0,2.0,,,,,2,2.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,2,1,3.0,2.0,2,2,,,,,
483,06480201401,6,48,2,14,1,2,1,1,2,3,3.0,3.0,7,3,25.0,,,         2,        11,1,,4.0,1.0,2,3.0,2.0,,,,,1,,,,,,,2007.0,2.0,2.0,,0.0,6.0,2.0,5.0,0.0,2.0,2.0,2,2,3,2,,7.0,2,2,,,,,
484,07540700315,7,54,7,3,15,1,3,4,1,5,7.0,8.0,14,75,18.0,,,         2,        12,1,,1.0,8.0,2,2.0,1.0,8.0,1.0,30.0,2.0,2,3.0,3.0,1000.0,100.0,1.0,2.0,,,,,,,,,,,,2,2,3,1,4.0,3.0,2,2,,,,,
485,04390300402,4,39,3,4,2,2,1,3,1,2,6.0,6.0,11,3,150.0,,,         2,        12,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,2,2,,7.0,2,2,,,,,
486,04240101704,4,24,1,17,4,2,1,4,1,2,6.0,2.0,11,2,500.0,,,        12,        12,1,,4.0,4.0,2,888.0,2.0,,,,,1,,,,,,,2003.0,1.0,2.0,,3450.0,6.0,2.0,5.0,0.0,2.0,1.0,1,2,2,2,,6.0,2,2,,,,,
487,07560202402,7,56,2,24,2,2,8,2,1,3,8.0,5.0,12,1,6.0,,,         3,        12,2,7.0,,0.0,2,1.0,,,,,,2,1.0,8.0,40.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
