,HHID,Consumption_item,L1
97,01010200116077,7,10
98,01010200116077,4,25
99,01010200116086,4,25
100,01010200116086,2,20
101,01010200116086,7,10
102,01010200116086,10,30
103,01010200116086,3,30
104,01010200116086,9,-888
105,01010200116086,1,150
106,01010200116086,5,40
107,01010200116086,8,30
108,01010200116086,11,-888
109,01010200116086,6,60
110,01010200116095,8,30
111,01010200116095,6,60
112,01010200116095,2,30
113,01010200116095,9,-888
114,01010200116095,11,-888
115,01010200116095,3,20
116,01010200116095,1,160
117,01010200116095,7,10
118,01010200116095,5,35
119,01010200116095,4,20
120,01010200116095,10,20
121,01010200116104,10,15
122,01010200116104,1,250
123,01010200116104,5,35
124,01010200116104,11,-888
125,01010200116104,3,35
126,01010200116104,7,9
127,01010200116104,6,60
128,01010200116104,8,35
129,01010200116104,9,-888
130,01010200116104,2,20
131,01010200116104,4,25
132,01010301101004,7,11
133,01010301101004,6,25
134,01010301101004,4,40
135,01010301101004,2,100
136,01010301101004,3,0
137,01010301101004,11,0
138,01010301101004,8,65
139,01010301101004,1,150
140,01010301101004,9,11
141,01010301101004,5,35
142,01010301101004,10,25
143,01010301101005,1,300
144,01010301101005,6,25
145,01010301101005,5,50
146,01010301101005,2,120
147,01010301101005,4,22
148,01010301101005,9,0
149,01010301101005,7,6
150,01010301101005,3,20
151,01010301101005,8,7
152,01010301101005,11,0
153,01010301101005,10,27
154,01010301101010,1,0
155,01010301101010,10,0
156,01010301101010,8,40
157,01010301101010,5,50
158,01010301101010,4,27
159,01010301101010,9,0
160,01010301101010,2,0
161,01010301101010,6,0
162,01010301101010,11,0
163,01010301101010,7,0
164,01010301101010,3,10
165,01010301101012,4,33
166,01010301101012,1,0
167,01010301101012,2,0
168,01010301101012,10,25
169,01010301101012,11,0
170,01010301101012,7,6
171,01010301101012,9,0
172,01010301101012,3,0
173,01010301101012,8,31
174,01010301101012,5,25
175,01010301101012,6,0
176,01010301101016,4,35
177,01010301101016,1,0
178,01010301101016,7,5
179,01010301101016,2,80
180,01010301101016,3,0
181,01010301101016,9,0
182,01010301101016,11,0
183,01010301101016,8,50
184,01010301101016,10,42
185,01010301101016,5,150
186,01010301101016,6,50
187,01010301101020,3,0
188,01010301101020,8,80
189,01010301101020,2,20
190,01010301101020,10,27
191,01010301101020,11,0
192,01010301101020,7,18
193,01010301101020,4,22
194,01010301101020,9,0
195,01010301101020,5,50
196,01010301101020,6,20
197,01010301101020,1,0
198,01010301101022,3,25
199,01010301101022,4,35
200,01010301101022,9,0
201,01010301101022,10,25
202,01010301101022,5,100
203,01010301101022,7,6
204,01010301101022,1,150
205,01010301101022,2,50
206,01010301101022,8,31
207,01010301101022,11,0
208,01010301101022,6,62
209,01010301101028,8,18
210,01010301101028,1,67
211,01010301101028,6,50
212,01010301101028,4,37
213,01010301101028,10,27
214,01010301101028,11,0
215,01010301101028,2,50
216,01010301101028,9,0
217,01010301101028,3,12
218,01010301101028,5,40
219,01010301101028,7,30
220,01010301101034,10,25
221,01010301101034,6,50
222,01010301101034,11,0
223,01010301101034,5,100
224,01010301101034,4,20
225,01010301101034,9,0
226,01010301101034,2,25
227,01010301101034,8,51
228,01010301101034,1,0
229,01010301101034,3,25
230,01010301101034,7,3
231,01010301101040,3,0
232,01010301101040,2,32
233,01010301101040,4,16
234,01010301101040,6,25
235,01010301101040,7,25
236,01010301101040,1,30
237,01010301101040,9,23
238,01010301101040,5,50
239,01010301101040,8,12
240,01010301101040,11,0
241,01010301101040,10,62
242,01010301101046,1,0
243,01010301101046,2,0
244,01010301101046,4,8
245,01010301101046,3,0
246,01010301101046,7,12
247,01010301101046,5,100
248,01010301101046,8,50
249,01010301101046,6,230
250,01010301101046,9,46
251,01010301101046,11,0
252,01010301101046,10,30
253,01010301101052,10,35
254,01010301101052,1,0
255,01010301101052,3,0
256,01010301101052,2,75
257,01010301101052,4,37
258,01010301101052,9,0
259,01010301101052,6,50
260,01010301101052,5,100
261,01010301101052,8,75
262,01010301101052,11,0
263,01010301101052,7,40
264,01010400404008,7,7
265,01010400404008,5,12
266,01010400404008,2,100
267,01010400404008,4,30
268,01010400404008,6,100
269,01010400404008,1,500
270,01010400404008,3,50
271,01010400404008,8,80
272,01010400404008,9,0
273,01010400404008,11,0
274,01010400404008,10,25
275,01010400404027,2,96
276,01010400404027,9,0
277,01010400404027,8,65
278,01010400404027,7,15
279,01010400404027,4,60
280,01010400404027,10,37
281,01010400404027,1,337
282,01010400404027,5,12
283,01010400404027,6,50
284,01010400404027,3,50
285,01010400404027,11,0
286,01010400404046,1,200
287,01010400404046,6,50
288,01010400404046,3,100
289,01010400404046,2,75
290,01010400404046,5,100
291,01010400404046,8,25
292,01010400404046,11,0
293,01010400404046,4,30
294,01010400404046,10,25
295,01010400404046,9,0
296,01010400404046,7,7
297,01010400404060,2,75
298,01010400404060,4,15
299,01010400404060,5,50
300,01010400404060,3,50
301,01010400404060,6,50
302,01010400404060,8,26
303,01010400404060,7,15
304,01010400404060,1,137
305,01010400404060,10,37
306,01010400404060,9,0
307,01010400404060,11,0
308,01010400404084,2,3
309,01010400404084,1,0
310,01010400404084,9,0
311,01010400404084,5,0
312,01010400404084,8,15
313,01010400404084,3,60
314,01010400404084,10,0
315,01010400404084,7,0
316,01010400404084,11,0
317,01010400404084,6,20
318,01010400404084,4,0
319,01010400404103,8,30
320,01010400404103,5,12
321,01010400404103,3,50
322,01010400404103,6,25
323,01010400404103,1,375
324,01010400404103,9,0
325,01010400404103,7,15
326,01010400404103,10,25
327,01010400404103,4,20
328,01010400404103,2,75
329,01010400404103,11,0
330,01010400404122,9,0
331,01010400404122,7,15
332,01010400404122,2,96
333,01010400404122,1,212
334,01010400404122,6,25
335,01010400404122,3,30
336,01010400404122,4,8
337,01010400404122,5,12
338,01010400404122,10,37
339,01010400404122,11,0
340,01010400404122,8,25
341,01010400404141,6,25
342,01010400404141,3,0
343,01010400404141,9,0
344,01010400404141,8,12
345,01010400404141,2,75
346,01010400404141,10,25
347,01010400404141,4,22
348,01010400404141,7,7
349,01010400404141,5,12
350,01010400404141,1,80
351,01010400404141,11,0
352,01010400404160,4,33
353,01010400404160,6,50
354,01010400404160,2,75
355,01010400404160,8,100
356,01010400404160,11,0
357,01010400404160,10,25
358,01010400404160,5,40
359,01010400404160,7,15
360,01010400404160,3,50
361,01010400404160,1,137
362,01010400404160,9,0
363,01010400404178,1,375
364,01010400404178,10,25
365,01010400404178,6,12
366,01010400404178,4,13
367,01010400404178,3,50
368,01010400404178,2,125
369,01010400404178,7,7
370,01010400404178,8,19
371,01010400404178,9,0
372,01010400404178,11,0
373,01010400404178,5,3
374,01010400404197,3,50
375,01010400404197,6,12
376,01010400404197,9,0
377,01010400404197,4,30
378,01010400404197,10,25
379,01010400404197,5,3
380,01010400404197,8,50
381,01010400404197,7,7
382,01010400404197,2,75
383,01010400404197,11,0
384,01010400404197,1,237
385,01010400404216,7,15
386,01010400404216,10,25
387,01010400404216,11,0
388,01010400404216,3,40
389,01010400404216,6,25
390,01010400404216,5,12
391,01010400404216,4,16
392,01010400404216,1,170
393,01010400404216,9,0
394,01010400404216,8,52
395,01010400404216,2,25
396,01010400804007,4,37
397,01010400804007,5,50
398,01010400804007,2,60
399,01010400804007,9,0
400,01010400804007,7,4
401,01010400804007,6,100
402,01010400804007,1,0
403,01010400804007,3,22
404,01010400804007,8,40
405,01010400804007,10,40
406,01010400804007,11,0
407,01010400804027,5,18
408,01010400804027,1,15
409,01010400804027,3,60
410,01010400804027,6,25
411,01010400804027,10,40
412,01010400804027,7,10
413,01010400804027,4,13
414,01010400804027,2,50
415,01010400804027,8,8
416,01010400804027,11,0
417,01010400804027,9,0
418,01010400804047,10,42
419,01010400804047,11,0
420,01010400804047,2,32
421,01010400804047,1,380
422,01010400804047,6,30
423,01010400804047,5,50
424,01010400804047,9,0
425,01010400804047,8,109
426,01010400804047,7,10
427,01010400804047,3,27
428,01010400804047,4,21
429,01010400804067,4,17
430,01010400804067,9,0
431,01010400804067,2,40
432,01010400804067,8,43
433,01010400804067,10,30
434,01010400804067,6,75
435,01010400804067,1,225
436,01010400804067,3,0
437,01010400804067,5,50
438,01010400804067,11,0
439,01010400804067,7,15
440,01010400804087,2,50
441,01010400804087,10,35
442,01010400804087,3,15
443,01010400804087,5,100
444,01010400804087,11,0
445,01010400804087,6,100
446,01010400804087,4,25
447,01010400804087,1,325
448,01010400804087,8,40
449,01010400804087,9,0
450,01010400804087,7,20
451,01010400804107,3,14
452,01010400804107,2,48
453,01010400804107,5,150
454,01010400804107,6,40
455,01010400804107,9,0
456,01010400804107,1,184
457,01010400804107,8,30
458,01010400804107,10,35
459,01010400804107,4,19
460,01010400804107,11,0
461,01010400804107,7,15
462,01010400804127,2,32
463,01010400804127,10,35
464,01010400804127,1,115
465,01010400804127,8,20
466,01010400804127,7,5
467,01010400804127,5,200
468,01010400804127,3,15
469,01010400804127,4,18
470,01010400804127,11,0
471,01010400804127,6,200
472,01010400804127,9,0
473,01010400804147,2,63
474,01010400804147,6,50
475,01010400804147,5,100
476,01010400804147,11,0
477,01010400804147,1,225
478,01010400804147,3,10
479,01010400804147,7,5
480,01010400804147,4,18
481,01010400804147,8,38
482,01010400804147,9,0
483,01010400804147,10,12
484,01010400804167,1,206
485,01010400804167,3,15
486,01010400804167,9,0
487,01010400804167,8,38
488,01010400804167,4,22
489,01010400804167,6,200
490,01010400804167,7,5
491,01010400804167,5,150
492,01010400804167,10,40
493,01010400804167,2,50
494,01010400804167,11,0
495,01010400804187,10,64
496,01010400804187,11,0
497,01010400804187,2,65
498,01010400804187,6,50
499,01010400804187,7,9
500,01010400804187,1,128
501,01010400804187,5,44
502,01010400804187,8,60
503,01010400804187,3,15
504,01010400804187,9,0
505,01010400804187,4,15
506,01010400804207,7,5
507,01010400804207,8,37
508,01010400804207,11,0
509,01010400804207,1,104
510,01010400804207,4,21
511,01010400804207,3,0
512,01010400804207,2,42
513,01010400804207,10,30
514,01010400804207,5,100
515,01010400804207,6,50
516,01010400804207,9,0
517,01010400804227,8,38
518,01010400804227,3,0
519,01010400804227,10,30
520,01010400804227,5,30
521,01010400804227,6,50
522,01010400804227,4,18
523,01010400804227,9,0
524,01010400804227,7,10
525,01010400804227,1,112
526,01010400804227,2,64
527,01010400804227,11,0
528,01020600113003,2,30
529,01020600113003,10,30
530,01020600113003,11,-888
531,01020600113003,9,-888
532,01020600113003,4,40
533,01020600113003,7,20
534,01020600113003,5,50
535,01020600113003,6,100
536,01020600113003,8,80
537,01020600113003,1,800
538,01020600113003,3,80
539,01020600113011,9,120
540,01020600113011,5,30
541,01020600113011,2,30
542,01020600113011,8,60
543,01020600113011,10,35
544,01020600113011,11,-888
545,01020600113011,3,40
546,01020600113011,1,200
547,01020600113011,7,15
548,01020600113011,6,50
549,01020600113011,4,25
550,01020600113019,11,-888
551,01020600113019,5,40
552,01020600113019,7,10
553,01020600113019,6,100
554,01020600113019,2,25
555,01020600113019,4,30
556,01020600113019,10,60
557,01020600113019,8,75
558,01020600113019,3,70
559,01020600113019,9,70
560,01020600113019,1,250
561,01020600113027,9,-888
562,01020600113027,7,10
563,01020600113027,4,25
564,01020600113027,3,50
565,01020600113027,5,30
566,01020600113027,11,-888
567,01020600113027,6,50
568,01020600113027,2,20
569,01020600113027,10,30
570,01020600113027,1,150
571,01020600113027,8,40
572,01020600113035,8,150
573,01020600113035,5,45
574,01020600113035,3,120
575,01020600113035,4,30
576,01020600113035,9,100
577,01020600113035,10,45
578,01020600113035,6,100
579,01020600113035,7,20
580,01020600113035,1,700
581,01020600113035,11,-888
582,01020600113035,2,100
583,01020600113043,3,60
584,01020600113043,9,80
585,01020600113043,2,50
586,01020600113043,6,100
587,01020600113043,1,500
588,01020600113043,8,70
589,01020600113043,7,10
590,01020600113043,4,30
591,01020600113043,5,40
592,01020600113043,10,20
593,01020600113043,11,-888
594,01020600113051,9,-888
595,01020600113051,2,30
596,01020600113051,1,500
597,01020600113051,5,40
598,01020600113051,7,20
599,01020600113051,4,35
600,01020600113051,6,100
601,01020600113051,8,60
602,01020600113051,10,35
603,01020600113051,3,60
604,01020600113051,11,-888
605,01020600113059,9,-888
606,01020600113059,11,-888
607,01020600113059,6,50
608,01020600113059,7,10
609,01020600113059,3,55
610,01020600113059,10,35
611,01020600113059,5,35
612,01020600113059,8,55
613,01020600113059,1,170
614,01020600113059,2,20
615,01020600113059,4,35
616,01020600113067,3,-888
617,01020600113067,7,10
618,01020600113067,2,25
619,01020600113067,5,20
620,01020600113067,1,300
621,01020600113067,4,25
622,01020600113067,10,20
623,01020600113067,8,10
624,01020600113067,6,-888
625,01020600113067,9,-888
626,01020600113067,11,-888
627,01020600113075,7,10
628,01020600113075,6,50
629,01020600113075,2,15
630,01020600113075,9,-888
631,01020600113075,11,-888
632,01020600113075,5,20
633,01020600113075,4,25
634,01020600113075,8,-888
635,01020600113075,3,20
636,01020600113075,1,250
637,01020600113075,10,25
638,01020600113083,2,30
639,01020600113083,10,40
640,01020600113083,9,-888
641,01020600113083,5,45
642,01020600113083,1,500
643,01020600113083,7,20
644,01020600113083,3,40
645,01020600113083,8,100
646,01020600113083,11,-888
647,01020600113083,4,35
648,01020600113083,6,100
649,01020600113091,2,30
650,01020600113091,7,10
651,01020600113091,1,270
652,01020600113091,10,30
653,01020600113091,5,35
654,01020600113091,6,50
655,01020600113091,3,40
656,01020600113091,11,-888
657,01020600113091,4,35
658,01020600113091,8,50
659,01020600113091,9,70
660,01020801604004,2,60
661,01020801604004,6,0
662,01020801604004,4,40
663,01020801604004,3,0
664,01020801604004,5,50
665,01020801604004,8,15
666,01020801604004,9,0
667,01020801604004,7,30
668,01020801604004,1,350
669,01020801604004,11,200
670,01020801604004,10,40
671,01020801604014,9,0
672,01020801604014,7,25
673,01020801604014,2,50
674,01020801604014,3,0
675,01020801604014,4,25
676,01020801604014,1,250
677,01020801604014,11,0
678,01020801604014,5,40
679,01020801604014,6,0
680,01020801604014,10,30
681,01020801604014,8,15
682,01020801604024,2,60
683,01020801604024,1,200
684,01020801604024,6,0
685,01020801604024,4,25
686,01020801604024,10,40
687,01020801604024,8,15
688,01020801604024,3,0
689,01020801604024,9,0
690,01020801604024,7,30
691,01020801604024,5,50
692,01020801604024,11,0
693,01020801604034,1,100
694,01020801604034,8,30
695,01020801604034,2,50
696,01020801604034,5,80
697,01020801604034,6,0
698,01020801604034,9,0
699,01020801604034,3,80
700,01020801604034,7,45
701,01020801604034,10,40
702,01020801604034,4,60
703,01020801604034,11,0
704,01020801604044,1,90
705,01020801604044,4,25
706,01020801604044,2,30
707,01020801604044,10,30
708,01020801604044,9,0
709,01020801604044,3,25
710,01020801604044,11,0
711,01020801604044,8,20
712,01020801604044,7,20
713,01020801604044,5,60
714,01020801604044,6,60
715,01020801604054,5,80
716,01020801604054,2,0
717,01020801604054,8,20
718,01020801604054,3,0
719,01020801604054,6,70
720,01020801604054,10,45
721,01020801604054,4,30
722,01020801604054,11,0
723,01020801604054,1,100
724,01020801604054,7,20
725,01020801604054,9,0
726,01020801604064,2,80
727,01020801604064,1,150
728,01020801604064,4,70
729,01020801604064,5,50
730,01020801604064,6,150
731,01020801604064,3,200
732,01020801604064,8,5
733,01020801604064,7,24
734,01020801604064,11,100
735,01020801604064,10,80
736,01020801604064,9,25
737,01020801604074,2,30
738,01020801604074,5,50
739,01020801604074,10,50
740,01020801604074,1,0
741,01020801604074,6,0
742,01020801604074,4,30
743,01020801604074,8,20
744,01020801604074,11,0
745,01020801604074,7,19
746,01020801604074,3,0
747,01020801604074,9,60
748,01020801604084,8,5
749,01020801604084,3,0
750,01020801604084,1,0
751,01020801604084,4,30
752,01020801604084,5,50
753,01020801604084,9,25
754,01020801604084,6,100
755,01020801604084,11,150
756,01020801604084,10,100
757,01020801604084,7,35
758,01020801604084,2,30
759,01020801604100,3,180
760,01020801604100,10,80
761,01020801604100,4,70
762,01020801604100,2,80
763,01020801604100,5,60
764,01020801604100,1,120
765,01020801604100,9,0
766,01020801604100,7,24
767,01020801604100,8,5
768,01020801604100,6,150
769,01020801604100,11,0
770,01020801604135,4,70
771,01020801604135,7,35
772,01020801604135,3,150
773,01020801604135,2,25
774,01020801604135,10,120
775,01020801604135,1,100
776,01020801604135,9,25
777,01020801604135,11,100
778,01020801604135,6,180
779,01020801604135,5,45
780,01020801604135,8,10
781,01020801604170,7,35
782,01020801604170,1,200
783,01020801604170,2,50
784,01020801604170,3,150
785,01020801604170,10,80
786,01020801604170,4,120
787,01020801604170,5,70
788,01020801604170,9,0
789,01020801604170,6,400
790,01020801604170,11,0
791,01020801604170,8,5
792,01020901705002,6,250
793,01020901705002,1,450
794,01020901705002,10,80
795,01020901705002,7,80
796,01020901705002,5,100
797,01020901705002,2,150
798,01020901705002,8,100
799,01020901705002,3,80
800,01020901705002,4,190
801,01020901705002,9,0
802,01020901705002,11,0
803,01020901705018,10,80
804,01020901705018,1,200
805,01020901705018,2,100
806,01020901705018,6,150
807,01020901705018,5,80
808,01020901705018,3,150
809,01020901705018,8,5
810,01020901705018,4,120
811,01020901705018,9,50
812,01020901705018,7,56
813,01020901705018,11,120
814,01020901705034,4,70
815,01020901705034,6,180
816,01020901705034,2,80
817,01020901705034,8,80
818,01020901705034,10,120
819,01020901705034,9,80
820,01020901705034,11,0
821,01020901705034,3,150
822,01020901705034,5,50
823,01020901705034,1,200
824,01020901705034,7,24
825,01020901705050,10,40
826,01020901705050,11,300
827,01020901705050,1,350
828,01020901705050,4,50
829,01020901705050,9,0
830,01020901705050,7,30
831,01020901705050,2,80
832,01020901705050,6,0
833,01020901705050,8,25
834,01020901705050,3,0
835,01020901705050,5,50
836,01020901705066,11,200
837,01020901705066,3,0
838,01020901705066,1,250
839,01020901705066,8,15
840,01020901705066,5,50
841,01020901705066,7,30
842,01020901705066,9,0
843,01020901705066,4,40
844,01020901705066,10,40
845,01020901705066,2,80
846,01020901705066,6,0
847,01020901705082,3,0
848,01020901705082,6,0
849,01020901705082,5,60
850,01020901705082,9,0
851,01020901705082,2,50
852,01020901705082,4,60
853,01020901705082,7,25
854,01020901705082,10,40
855,01020901705082,1,250
856,01020901705082,8,20
857,01020901705082,11,300
858,01020901705098,2,50
859,01020901705098,9,0
860,01020901705098,10,60
861,01020901705098,8,25
862,01020901705098,6,50
863,01020901705098,5,40
864,01020901705098,1,100
865,01020901705098,3,0
866,01020901705098,11,0
867,01020901705098,7,50
868,01020901705098,4,40
869,01020901705114,5,50
870,01020901705114,11,0
871,01020901705114,4,45
872,01020901705114,9,0
873,01020901705114,2,40
874,01020901705114,7,40
875,01020901705114,3,30
876,01020901705114,6,0
877,01020901705114,8,25
878,01020901705114,10,50
879,01020901705114,1,100
880,01020901705130,1,150
881,01020901705130,2,50
882,01020901705130,4,40
883,01020901705130,3,30
884,01020901705130,8,25
885,01020901705130,7,50
886,01020901705130,9,0
887,01020901705130,5,40
888,01020901705130,10,45
889,01020901705130,11,0
890,01020901705130,6,0
891,01020901705146,5,40
892,01020901705146,8,25
893,01020901705146,2,50
894,01020901705146,9,0
895,01020901705146,10,40
896,01020901705146,7,40
897,01020901705146,4,40
898,01020901705146,6,0
899,01020901705146,3,0
900,01020901705146,1,150
901,01020901705146,11,0
902,01020901705162,2,100
903,01020901705162,3,50
904,01020901705162,6,400
905,01020901705162,8,10
906,01020901705162,1,200
907,01020901705162,4,120
908,01020901705162,5,50
909,01020901705162,11,200
910,01020901705162,7,50
911,01020901705162,10,120
912,01020901705162,9,25
913,01020901705178,5,40
914,01020901705178,1,200
915,01020901705178,2,50
916,01020901705178,4,40
917,01020901705178,6,0
918,01020901705178,3,0
919,01020901705178,7,30
920,01020901705178,9,0
921,01020901705178,8,15
922,01020901705178,10,40
923,01020901705178,11,200
924,01021200418002,4,19
925,01021200418002,3,20
926,01021200418002,7,8
927,01021200418002,5,30
928,01021200418002,1,200
929,01021200418002,2,30
930,01021200418002,8,15
931,01021200418002,6,-888
932,01021200418002,11,-888
933,01021200418002,9,-888
934,01021200418002,10,20
935,01021200418013,10,45
936,01021200418013,3,30
937,01021200418013,2,40
938,01021200418013,7,20
939,01021200418013,6,-888
940,01021200418013,9,-888
941,01021200418013,5,55
942,01021200418013,4,35
943,01021200418013,1,500
944,01021200418013,8,70
945,01021200418013,11,-888
946,01021200418024,11,-888
947,01021200418024,1,700
948,01021200418024,8,100
949,01021200418024,6,100
950,01021200418024,4,65
951,01021200418024,3,45
952,01021200418024,2,70
953,01021200418024,9,70
954,01021200418024,10,45
955,01021200418024,7,20
956,01021200418024,5,100
957,01021200418035,5,30
958,01021200418035,3,-888
959,01021200418035,8,35
960,01021200418035,11,-888
961,01021200418035,4,35
962,01021200418035,6,65
963,01021200418035,2,30
964,01021200418035,7,10
965,01021200418035,10,20
966,01021200418035,1,300
967,01021200418035,9,-888
968,01021200418046,11,-888
969,01021200418046,3,35
970,01021200418046,4,25
971,01021200418046,1,700
972,01021200418046,9,150
973,01021200418046,6,60
974,01021200418046,7,20
975,01021200418046,2,40
976,01021200418046,10,45
977,01021200418046,8,60
978,01021200418046,5,40
979,01021200418057,7,10
980,01021200418057,1,300
981,01021200418057,10,40
982,01021200418057,6,-888
983,01021200418057,8,-888
984,01021200418057,4,30
985,01021200418057,2,20
986,01021200418057,3,100
987,01021200418057,9,-888
988,01021200418057,11,-888
989,01021200418057,5,40
990,01021200418068,5,20
991,01021200418068,4,20
992,01021200418068,3,30
993,01021200418068,9,-888
994,01021200418068,2,20
995,01021200418068,8,30
996,01021200418068,10,10
997,01021200418068,6,-888
998,01021200418068,11,-888
999,01021200418068,1,200
1000,01021200418068,7,10
1001,01021200418079,9,-888
1002,01021200418079,4,45
1003,01021200418079,2,70
1004,01021200418079,5,60
1005,01021200418079,6,60
1006,01021200418079,3,65
1007,01021200418079,11,-888
1008,01021200418079,7,20
1009,01021200418079,8,100
1010,01021200418079,1,600
1011,01021200418079,10,40
1012,01021200418090,1,700
1013,01021200418090,5,100
1014,01021200418090,10,45
1015,01021200418090,6,120
1016,01021200418090,2,70
1017,01021200418090,8,110
1018,01021200418090,11,-888
1019,01021200418090,9,-888
1020,01021200418090,7,20
1021,01021200418090,4,70
1022,01021200418090,3,120
1023,01021200418101,11,-888
1024,01021200418101,10,10
1025,01021200418101,6,-888
1026,01021200418101,7,10
1027,01021200418101,2,20
1028,01021200418101,3,-888
1029,01021200418101,4,25
1030,01021200418101,5,20
1031,01021200418101,8,10
1032,01021200418101,9,-888
1033,01021200418101,1,200
1034,01021200418112,10,40
1035,01021200418112,3,20
1036,01021200418112,4,40
1037,01021200418112,9,-888
1038,01021200418112,7,10
1039,01021200418112,8,70
1040,01021200418112,5,50
1041,01021200418112,6,-888
1042,01021200418112,2,40
1043,01021200418112,1,300
1044,01021200418112,11,-888
1045,01021200418123,6,65
1046,01021200418123,4,30
1047,01021200418123,5,40
1048,01021200418123,10,10
1049,01021200418123,3,20
1050,01021200418123,1,137
1051,01021200418123,7,10
1052,01021200418123,2,30
1053,01021200418123,8,35
1054,01021200418123,9,-888
1055,01021200418123,11,-888
1056,01030300103004,10,40
1057,01030300103004,1,400
1058,01030300103004,2,60
1059,01030300103004,7,18
1060,01030300103004,5,45
1061,01030300103004,4,60
1062,01030300103004,3,45
1063,01030300103004,9,-888
1064,01030300103004,11,-888
1065,01030300103004,8,100
1066,01030300103004,6,60
1067,01030300103017,4,65
1068,01030300103017,8,100
1069,01030300103017,11,-888
1070,01030300103017,10,45
1071,01030300103017,2,70
1072,01030300103017,3,60
1073,01030300103017,1,300
1074,01030300103017,5,100
1075,01030300103017,9,-888
1076,01030300103017,7,18
1077,01030300103017,6,65
1078,01030300103030,8,150
1079,01030300103030,11,-888
1080,01030300103030,7,20
1081,01030300103030,9,-888
1082,01030300103030,5,100
1083,01030300103030,2,100
1084,01030300103030,3,75
1085,01030300103030,10,50
1086,01030300103030,6,120
1087,01030300103030,1,500
1088,01030300103030,4,65
1089,01030300103043,2,70
1090,01030300103043,3,75
1091,01030300103043,9,-888
1092,01030300103043,10,30
1093,01030300103043,7,18
1094,01030300103043,8,100
1095,01030300103043,5,60
1096,01030300103043,4,50
1097,01030300103043,6,50
1098,01030300103043,1,300
1099,01030300103043,11,-888
1100,01030300103056,2,30
1101,01030300103056,9,100
1102,01030300103056,6,100
1103,01030300103056,8,100
1104,01030300103056,7,20
1105,01030300103056,3,200
1106,01030300103056,10,20
1107,01030300103056,11,-888
1108,01030300103056,4,60
1109,01030300103056,5,50
1110,01030300103056,1,200
1111,01030300103069,3,150
1112,01030300103069,6,100
1113,01030300103069,11,-888
1114,01030300103069,4,80
1115,01030300103069,5,100
1116,01030300103069,7,18
1117,01030300103069,2,70
1118,01030300103069,9,50
1119,01030300103069,1,500
1120,01030300103069,8,80
1121,01030300103069,10,45
1122,01030300103082,1,700
1123,01030300103082,8,100
1124,01030300103082,3,75
1125,01030300103082,9,-888
1126,01030300103082,4,65
1127,01030300103082,5,50
1128,01030300103082,10,50
1129,01030300103082,2,70
1130,01030300103082,7,20
1131,01030300103082,6,60
1132,01030300103082,11,-888
1133,01030300103095,4,50
1134,01030300103095,5,40
1135,01030300103095,9,-888
1136,01030300103095,6,60
1137,01030300103095,1,300
1138,01030300103095,2,40
1139,01030300103095,8,50
1140,01030300103095,10,45
1141,01030300103095,7,20
1142,01030300103095,11,-888
