,HHID,G2,G3,G4,G5,G6,G7,G8,G9,G10
2399,03111801205107,5,2,,,,,,,
2400,03111802013001,1,2,,,,,,,
2401,03111802013001,2,2,,,,,,,
2402,03111802013001,3,2,,,,,,,
2403,03111802013001,4,2,,,,,,,
2404,03111802013001,5,2,,,,,,,
2405,03111802013004,1,2,,,,,,,
2406,03111802013004,2,2,,,,,,,
2407,03111802013004,3,2,,,,,,,
2408,03111802013004,4,2,,,,,,,
2409,03111802013004,5,2,,,,,,,
2410,03111802013018,1,2,,,,,,,
2411,03111802013018,2,2,,,,,,,
2412,03111802013018,3,2,,,,,,,
2413,03111802013018,4,2,,,,,,,
2414,03111802013018,5,2,,,,,,,
2415,03111802013032,1,2,,,,,,,
2416,03111802013032,2,2,,,,,,,
2417,03111802013032,3,2,,,,,,,
2418,03111802013032,4,2,,,,,,,
2419,03111802013032,5,2,,,,,,,
2420,03111802013046,1,2,,,,,,,
2421,03111802013046,2,2,,,,,,,
2422,03111802013046,3,2,,,,,,,
2423,03111802013046,4,2,,,,,,,
2424,03111802013046,5,2,,,,,,,
2425,03111802013060,1,1,1.0,45.0,12.0,1.0,1.0,10.0,2.0
2426,03111802013060,2,2,,,,,,,
2427,03111802013060,3,2,,,,,,,
2428,03111802013060,4,2,,,,,,,
2429,03111802013060,5,2,,,,,,,
2430,03111802013074,1,2,,,,,,,
2431,03111802013074,2,2,,,,,,,
2432,03111802013074,3,2,,,,,,,
2433,03111802013074,4,2,,,,,,,
2434,03111802013074,5,2,,,,,,,
2435,03111802013088,1,2,,,,,,,
2436,03111802013088,2,2,,,,,,,
2437,03111802013088,3,2,,,,,,,
2438,03111802013088,4,2,,,,,,,
2439,03111802013088,5,2,,,,,,,
2440,03111802013102,1,2,,,,,,,
2441,03111802013102,2,2,,,,,,,
2442,03111802013102,3,2,,,,,,,
2443,03111802013102,4,2,,,,,,,
2444,03111802013102,5,2,,,,,,,
2445,03111802013116,1,2,,,,,,,
2446,03111802013116,2,2,,,,,,,
2447,03111802013116,3,2,,,,,,,
2448,03111802013116,4,2,,,,,,,
2449,03111802013116,5,2,,,,,,,
2450,03111802013130,1,2,,,,,,,
2451,03111802013130,2,2,,,,,,,
2452,03111802013130,3,2,,,,,,,
2453,03111802013130,4,2,,,,,,,
2454,03111802013130,5,2,,,,,,,
2455,03111802013144,1,2,,,,,,,
2456,03111802013144,2,2,,,,,,,
2457,03111802013144,3,2,,,,,,,
2458,03111802013144,4,2,,,,,,,
2459,03111802013144,5,2,,,,,,,
2460,03112101007015,1,1,1.0,90.0,12.0,3.0,4.0,32.0,1.0
2461,03112101007015,2,2,,,,,,,
2462,03112101007015,3,2,,,,,,,
2463,03112101007015,4,2,,,,,,,
2464,03112101007015,5,2,,,,,,,
2465,03112101007031,1,1,1.0,90.0,7.0,3.0,4.0,32.0,1.0
2466,03112101007031,2,2,,,,,,,
2467,03112101007031,3,2,,,,,,,
2468,03112101007031,4,2,,,,,,,
2469,03112101007031,5,2,,,,,,,
2470,03112101007047,1,1,1.0,90.0,12.0,3.0,4.0,32.0,1.0
2471,03112101007047,2,2,,,,,,,
2472,03112101007047,3,2,,,,,,,
2473,03112101007047,4,2,,,,,,,
2474,03112101007047,5,2,,,,,,,
2475,03112101007063,1,2,,,,,,,
2476,03112101007063,2,1,1.0,50.0,8.0,1.0,2.0,16.0,2.0
2477,03112101007063,3,2,,,,,,,
2478,03112101007063,4,2,,,,,,,
2479,03112101007063,5,2,,,,,,,
2480,03112101007079,1,1,1.0,130.0,12.0,3.0,4.0,32.0,1.0
2481,03112101007079,2,2,,,,,,,
2482,03112101007079,3,2,,,,,,,
2483,03112101007079,4,2,,,,,,,
2484,03112101007079,5,2,,,,,,,
2485,03112101007095,1,1,1.0,130.0,12.0,3.0,4.0,24.0,1.0
2486,03112101007095,2,2,,,,,,,
2487,03112101007095,3,2,,,,,,,
2488,03112101007095,4,2,,,,,,,
2489,03112101007095,5,2,,,,,,,
2490,03112101007111,1,1,1.0,90.0,12.0,3.0,3.0,24.0,1.0
2491,03112101007111,2,1,1.0,45.0,8.0,1.0,1.0,8.0,2.0
2492,03112101007111,3,2,,,,,,,
2493,03112101007111,4,2,,,,,,,
2494,03112101007111,5,2,,,,,,,
2495,03112101007127,1,2,,,,,,,
2496,03112101007127,2,2,,,,,,,
2497,03112101007127,3,2,,,,,,,
2498,03112101007127,4,2,,,,,,,
2499,03112101007127,5,2,,,,,,,
2500,03112101007143,1,1,1.0,90.0,12.0,4.0,3.0,27.0,1.0
2501,03112101007143,2,2,,,,,,,
2502,03112101007143,3,2,,,,,,,
2503,03112101007143,4,2,,,,,,,
2504,03112101007143,5,2,,,,,,,
2505,03112101007159,1,1,1.0,80.0,4.0,4.0,3.0,27.0,1.0
2506,03112101007159,2,2,,,,,,,
2507,03112101007159,3,2,,,,,,,
2508,03112101007159,4,2,,,,,,,
2509,03112101007159,5,2,,,,,,,
2510,03112101007175,1,2,,,,,,,
2511,03112101007175,2,2,,,,,,,
2512,03112101007175,3,2,,,,,,,
2513,03112101007175,4,2,,,,,,,
2514,03112101007175,5,2,,,,,,,
2515,03112101007191,1,1,1.0,90.0,12.0,3.0,3.0,27.0,2.0
2516,03112101007191,2,2,,,,,,,
2517,03112101007191,3,2,,,,,,,
2518,03112101007191,4,2,,,,,,,
2519,03112101007191,5,2,,,,,,,
2520,03120102608012,1,2,,,,,,,
2521,03120102608012,2,2,,,,,,,
2522,03120102608012,3,2,,,,,,,
2523,03120102608012,4,2,,,,,,,
2524,03120102608012,5,2,,,,,,,
2525,03120102608028,1,1,1.0,130.0,12.0,3.0,6.0,48.0,1.0
2526,03120102608028,2,1,1.0,45.0,8.0,1.0,1.0,8.0,2.0
2527,03120102608028,3,2,,,,,,,
2528,03120102608028,4,2,,,,,,,
2529,03120102608028,5,2,,,,,,,
2530,03120102608044,1,2,,,,,,,
2531,03120102608044,2,2,,,,,,,
2532,03120102608044,3,2,,,,,,,
2533,03120102608044,4,2,,,,,,,
2534,03120102608044,5,2,,,,,,,
2535,03120102608060,1,1,1.0,90.0,12.0,2.0,3.0,24.0,1.0
2536,03120102608060,2,2,,,,,,,
2537,03120102608060,3,2,,,,,,,
2538,03120102608060,4,2,,,,,,,
2539,03120102608060,5,2,,,,,,,
2540,03120102608076,1,2,,,,,,,
2541,03120102608076,2,1,1.0,25.0,9.0,1.0,1.0,9.0,2.0
2542,03120102608076,3,2,,,,,,,
2543,03120102608076,4,2,,,,,,,
2544,03120102608076,5,2,,,,,,,
2545,03120102608092,1,1,1.0,90.0,12.0,4.0,3.0,27.0,1.0
2546,03120102608092,2,1,1.0,25.0,4.0,1.0,1.0,9.0,2.0
2547,03120102608092,3,2,,,,,,,
2548,03120102608092,4,2,,,,,,,
2549,03120102608092,5,2,,,,,,,
2550,03120102608108,1,2,,,,,,,
2551,03120102608108,2,2,,,,,,,
2552,03120102608108,3,2,,,,,,,
2553,03120102608108,4,2,,,,,,,
2554,03120102608108,5,2,,,,,,,
2555,03120102608124,1,2,,,,,,,
2556,03120102608124,2,2,,,,,,,
2557,03120102608124,3,2,,,,,,,
2558,03120102608124,4,2,,,,,,,
2559,03120102608124,5,2,,,,,,,
2560,03120102608140,1,2,,,,,,,
2561,03120102608140,2,2,,,,,,,
2562,03120102608140,3,2,,,,,,,
2563,03120102608140,4,2,,,,,,,
2564,03120102608140,5,2,,,,,,,
2565,03120102608156,1,1,1.0,120.0,12.0,3.0,6.0,24.0,1.0
2566,03120102608156,2,2,,,,,,,
2567,03120102608156,3,2,,,,,,,
2568,03120102608156,4,2,,,,,,,
2569,03120102608156,5,2,,,,,,,
2570,03120102608172,1,1,1.0,90.0,12.0,3.0,3.0,24.0,1.0
2571,03120102608172,2,2,,,,,,,
2572,03120102608172,3,2,,,,,,,
2573,03120102608172,4,2,,,,,,,
2574,03120102608172,5,2,,,,,,,
2575,03120102608188,1,2,,,,,,,
2576,03120102608188,2,2,,,,,,,
2577,03120102608188,3,2,,,,,,,
2578,03120102608188,4,2,,,,,,,
2579,03120102608188,5,2,,,,,,,
2580,03120200303028,1,2,,,,,,,
2581,03120200303028,2,2,,,,,,,
2582,03120200303028,3,2,,,,,,,
2583,03120200303028,4,2,,,,,,,
2584,03120200303028,5,2,,,,,,,
2585,03120200303049,1,2,,,,,,,
2586,03120200303049,2,2,,,,,,,
2587,03120200303049,3,2,,,,,,,
2588,03120200303049,4,2,,,,,,,
2589,03120200303049,5,2,,,,,,,
2590,03120200303070,1,2,,,,,,,
2591,03120200303070,2,2,,,,,,,
2592,03120200303070,3,2,,,,,,,
2593,03120200303070,4,2,,,,,,,
2594,03120200303070,5,2,,,,,,,
2595,03120200303091,1,2,,,,,,,
2596,03120200303091,2,2,,,,,,,
2597,03120200303091,3,2,,,,,,,
2598,03120200303091,4,2,,,,,,,
2599,03120200303091,5,2,,,,,,,
2600,03120200303112,1,2,,,,,,,
2601,03120200303112,2,2,,,,,,,
2602,03120200303112,3,2,,,,,,,
2603,03120200303112,4,2,,,,,,,
2604,03120200303112,5,2,,,,,,,
2605,03120200303133,1,2,,,,,,,
2606,03120200303133,2,2,,,,,,,
2607,03120200303133,3,2,,,,,,,
2608,03120200303133,4,2,,,,,,,
2609,03120200303133,5,2,,,,,,,
2610,03120200303154,1,2,,,,,,,
2611,03120200303154,2,2,,,,,,,
2612,03120200303154,3,2,,,,,,,
2613,03120200303154,4,2,,,,,,,
2614,03120200303154,5,2,,,,,,,
2615,03120200303175,1,2,,,,,,,
2616,03120200303175,2,2,,,,,,,
2617,03120200303175,3,2,,,,,,,
2618,03120200303175,4,2,,,,,,,
2619,03120200303175,5,2,,,,,,,
2620,03120200303196,1,2,,,,,,,
2621,03120200303196,2,2,,,,,,,
2622,03120200303196,3,2,,,,,,,
2623,03120200303196,4,2,,,,,,,
2624,03120200303196,5,2,,,,,,,
2625,03120200303217,1,2,,,,,,,
2626,03120200303217,2,2,,,,,,,
2627,03120200303217,3,2,,,,,,,
2628,03120200303217,4,2,,,,,,,
2629,03120200303217,5,2,,,,,,,
2630,03120200303238,1,2,,,,,,,
2631,03120200303238,2,2,,,,,,,
2632,03120200303238,3,2,,,,,,,
2633,03120200303238,4,2,,,,,,,
2634,03120200303238,5,2,,,,,,,
2635,03120300709007,1,1,1.0,60.0,9.0,4.0,3.0,27.0,1.0
2636,03120300709007,2,2,,,,,,,
2637,03120300709007,3,2,,,,,,,
2638,03120300709007,4,2,,,,,,,
2639,03120300709007,5,2,,,,,,,
2640,03120300709022,1,2,,,,,,,
2641,03120300709022,2,1,1.0,25.0,9.0,1.0,1.0,9.0,2.0
2642,03120300709022,3,2,,,,,,,
2643,03120300709022,4,2,,,,,,,
2644,03120300709022,5,2,,,,,,,
2645,03120300709037,1,1,1.0,80.0,10.0,5.0,3.0,27.0,1.0
2646,03120300709037,2,2,,,,,,,
2647,03120300709037,3,2,,,,,,,
2648,03120300709037,4,2,,,,,,,
2649,03120300709037,5,2,,,,,,,
2650,03120300709052,1,1,1.0,75.0,6.0,4.0,3.0,27.0,1.0
2651,03120300709052,2,1,1.0,20.0,8.0,1.0,1.0,9.0,2.0
2652,03120300709052,3,2,,,,,,,
2653,03120300709052,4,2,,,,,,,
2654,03120300709052,5,2,,,,,,,
2655,03120300709067,1,2,,,,,,,
2656,03120300709067,2,2,,,,,,,
2657,03120300709067,3,2,,,,,,,
2658,03120300709067,4,2,,,,,,,
2659,03120300709067,5,2,,,,,,,
2660,03120300709082,1,2,,,,,,,
2661,03120300709082,2,2,,,,,,,
2662,03120300709082,3,2,,,,,,,
2663,03120300709082,4,2,,,,,,,
2664,03120300709082,5,2,,,,,,,
2665,03120300709097,1,2,,,,,,,
2666,03120300709097,2,2,,,,,,,
2667,03120300709097,3,2,,,,,,,
2668,03120300709097,4,2,,,,,,,
2669,03120300709097,5,2,,,,,,,
2670,03120300709112,1,2,,,,,,,
2671,03120300709112,2,1,1.0,40.0,8.0,1.0,2.0,16.0,2.0
2672,03120300709112,3,2,,,,,,,
2673,03120300709112,4,2,,,,,,,
2674,03120300709112,5,2,,,,,,,
2675,03120300709127,1,2,,,,,,,
2676,03120300709127,2,2,,,,,,,
2677,03120300709127,3,2,,,,,,,
2678,03120300709127,4,2,,,,,,,
2679,03120300709127,5,2,,,,,,,
2680,03120300709142,1,2,,,,,,,
2681,03120300709142,2,2,,,,,,,
2682,03120300709142,3,2,,,,,,,
2683,03120300709142,4,2,,,,,,,
2684,03120300709142,5,2,,,,,,,
2685,03120300709157,1,1,1.0,90.0,12.0,3.0,6.0,48.0,1.0
2686,03120300709157,2,2,,,,,,,
2687,03120300709157,3,2,,,,,,,
2688,03120300709157,4,2,,,,,,,
2689,03120300709157,5,2,,,,,,,
2690,03120300709172,1,2,,,,,,,
2691,03120300709172,2,2,,,,,,,
2692,03120300709172,3,2,,,,,,,
2693,03120300709172,4,2,,,,,,,
2694,03120300709172,5,2,,,,,,,
2695,03120302401010,1,2,,,,,,,
2696,03120302401010,2,2,,,,,,,
2697,03120302401010,3,2,,,,,,,
2698,03120302401010,4,2,,,,,,,
2699,03120302401010,5,2,,,,,,,
2700,03120302401027,1,2,,,,,,,
2701,03120302401027,2,2,,,,,,,
2702,03120302401027,3,2,,,,,,,
2703,03120302401027,4,2,,,,,,,
2704,03120302401027,5,2,,,,,,,
2705,03120302401044,1,2,,,,,,,
2706,03120302401044,2,1,1.0,50.0,12.0,1.0,2.0,16.0,2.0
2707,03120302401044,3,2,,,,,,,
2708,03120302401044,4,2,,,,,,,
2709,03120302401044,5,2,,,,,,,
2710,03120302401061,1,2,,,,,,,
2711,03120302401061,2,2,,,,,,,
2712,03120302401061,3,2,,,,,,,
2713,03120302401061,4,2,,,,,,,
2714,03120302401061,5,2,,,,,,,
2715,03120302401078,1,2,,,,,,,
2716,03120302401078,2,2,,,,,,,
2717,03120302401078,3,2,,,,,,,
2718,03120302401078,4,2,,,,,,,
2719,03120302401078,5,2,,,,,,,
2720,03120302401095,1,2,,,,,,,
2721,03120302401095,2,2,,,,,,,
2722,03120302401095,3,2,,,,,,,
2723,03120302401095,4,2,,,,,,,
2724,03120302401095,5,2,,,,,,,
2725,03120302401112,1,2,,,,,,,
2726,03120302401112,2,2,,,,,,,
2727,03120302401112,3,2,,,,,,,
2728,03120302401112,4,2,,,,,,,
2729,03120302401112,5,1,1.0,50.0,12.0,1.0,2.0,16.0,1.0
2730,03120302401129,1,2,,,,,,,
2731,03120302401129,2,2,,,,,,,
2732,03120302401129,3,2,,,,,,,
2733,03120302401129,4,2,,,,,,,
2734,03120302401129,5,2,,,,,,,
2735,03120302401146,1,2,,,,,,,
2736,03120302401146,2,2,,,,,,,
2737,03120302401146,3,2,,,,,,,
2738,03120302401146,4,2,,,,,,,
2739,03120302401146,5,2,,,,,,,
2740,03120302401163,1,1,1.0,80.0,12.0,3.0,3.0,27.0,1.0
2741,03120302401163,2,2,,,,,,,
2742,03120302401163,3,2,,,,,,,
2743,03120302401163,4,2,,,,,,,
2744,03120302401163,5,2,,,,,,,
2745,03120302401180,1,2,,,,,,,
2746,03120302401180,2,1,2.0,25.0,7.0,2.0,4.0,36.0,1.0
2747,03120302401180,3,2,,,,,,,
2748,03120302401180,4,2,,,,,,,
2749,03120302401180,5,2,,,,,,,
2750,03120302401197,1,2,,,,,,,
2751,03120302401197,2,2,,,,,,,
2752,03120302401197,3,2,,,,,,,
2753,03120302401197,4,2,,,,,,,
2754,03120302401197,5,2,,,,,,,
2755,03121000302003,1,2,,,,,,,
2756,03121000302003,2,1,2.0,12.0,6.0,1.0,2.0,12.0,2.0
2757,03121000302003,3,2,,,,,,,
2758,03121000302003,4,2,,,,,,,
2759,03121000302003,5,2,,,,,,,
2760,03121000302013,1,2,,,,,,,
2761,03121000302013,2,2,,,,,,,
2762,03121000302013,3,2,,,,,,,
2763,03121000302013,4,2,,,,,,,
2764,03121000302013,5,2,,,,,,,
2765,03121000302023,1,2,,,,,,,
2766,03121000302023,2,2,,,,,,,
2767,03121000302023,3,2,,,,,,,
2768,03121000302023,4,2,,,,,,,
2769,03121000302023,5,2,,,,,,,
2770,03121000302033,1,2,,,,,,,
2771,03121000302033,2,2,,,,,,,
2772,03121000302033,3,2,,,,,,,
2773,03121000302033,4,2,,,,,,,
2774,03121000302033,5,2,,,,,,,
2775,03121000302043,1,2,,,,,,,
2776,03121000302043,2,2,,,,,,,
2777,03121000302043,3,2,,,,,,,
2778,03121000302043,4,2,,,,,,,
2779,03121000302043,5,2,,,,,,,
2780,03121000302053,1,2,,,,,,,
2781,03121000302053,2,2,,,,,,,
2782,03121000302053,3,2,,,,,,,
2783,03121000302053,4,2,,,,,,,
2784,03121000302053,5,2,,,,,,,
2785,03121000302063,1,2,,,,,,,
2786,03121000302063,2,2,,,,,,,
2787,03121000302063,3,2,,,,,,,
2788,03121000302063,4,2,,,,,,,
2789,03121000302063,5,2,,,,,,,
2790,03121000302073,1,2,,,,,,,
2791,03121000302073,2,2,,,,,,,
2792,03121000302073,3,2,,,,,,,
2793,03121000302073,4,2,,,,,,,
2794,03121000302073,5,2,,,,,,,
2795,03121000302083,1,2,,,,,,,
2796,03121000302083,2,2,,,,,,,
2797,03121000302083,3,2,,,,,,,
2798,03121000302083,4,2,,,,,,,
2799,03121000302083,5,2,,,,,,,
2800,03121000302093,1,2,,,,,,,
2801,03121000302093,2,2,,,,,,,
2802,03121000302093,3,2,,,,,,,
2803,03121000302093,4,2,,,,,,,
2804,03121000302093,5,2,,,,,,,
2805,03121000302103,1,2,,,,,,,
2806,03121000302103,2,2,,,,,,,
2807,03121000302103,3,2,,,,,,,
2808,03121000302103,4,2,,,,,,,
2809,03121000302103,5,2,,,,,,,
2810,03121000302113,1,2,,,,,,,
2811,03121000302113,2,2,,,,,,,
2812,03121000302113,3,2,,,,,,,
2813,03121000302113,4,2,,,,,,,
2814,03121000302113,5,2,,,,,,,
2815,03130200801006,1,2,,,,,,,
2816,03130200801006,2,1,1.0,70.0,6.0,4.0,11.0,110.0,2.0
2817,03130200801006,3,2,,,,,,,
2818,03130200801006,4,2,,,,,,,
2819,03130200801006,5,2,,,,,,,
2820,03130200801017,1,2,,,,,,,
2821,03130200801017,2,1,1.0,45.0,6.0,3.0,8.0,80.0,2.0
2822,03130200801017,3,2,,,,,,,
2823,03130200801017,4,2,,,,,,,
2824,03130200801017,5,2,,,,,,,
2825,03130200801026,1,2,,,,,,,
2826,03130200801026,2,1,1.0,40.0,6.0,3.0,6.0,60.0,2.0
2827,03130200801026,3,2,,,,,,,
2828,03130200801026,4,1,1.0,,5.0,6.0,12.0,120.0,
2829,03130200801026,5,2,,,,,,,
2830,03130200801042,1,2,,,,,,,
2831,03130200801042,2,1,1.0,70.0,8.0,4.0,8.0,80.0,2.0
2832,03130200801042,3,2,,,,,,,
2833,03130200801042,4,2,,,,,,,
2834,03130200801042,5,2,,,,,,,
2835,03130200801063,1,2,,,,,,,
2836,03130200801063,2,1,1.0,50.0,4.0,3.0,6.0,60.0,2.0
2837,03130200801063,3,2,,,,,,,
2838,03130200801063,4,2,,,,,,,
2839,03130200801063,5,2,,,,,,,
2840,03130200801080,1,2,,,,,,,
2841,03130200801080,2,2,,,,,,,
2842,03130200801080,3,2,,,,,,,
2843,03130200801080,4,2,,,,,,,
2844,03130200801080,5,2,,,,,,,
2845,03130200801100,1,2,,,,,,,
2846,03130200801100,2,1,2.0,60.0,4.0,4.0,6.0,60.0,2.0
2847,03130200801100,3,2,,,,,,,
2848,03130200801100,4,2,,,,,,,
2849,03130200801100,5,2,,,,,,,
2850,03130200801109,1,2,,,,,,,
2851,03130200801109,2,1,3.0,30.0,8.0,4.0,8.0,80.0,1.0
2852,03130200801109,3,2,,,,,,,
2853,03130200801109,4,2,,,,,,,
2854,03130200801109,5,2,,,,,,,
2855,03130200801119,1,2,,,,,,,
2856,03130200801119,2,1,1.0,40.0,12.0,1.0,4.0,40.0,2.0
2857,03130200801119,3,2,,,,,,,
2858,03130200801119,4,2,,,,,,,
2859,03130200801119,5,2,,,,,,,
2860,03130200801142,1,2,,,,,,,
2861,03130200801142,2,1,1.0,30.0,8.0,2.0,3.0,30.0,2.0
2862,03130200801142,3,2,,,,,,,
2863,03130200801142,4,2,,,,,,,
2864,03130200801142,5,2,,,,,,,
2865,03130200801169,1,2,,,,,,,
2866,03130200801169,2,1,1.0,40.0,9.0,2.0,4.0,40.0,2.0
2867,03130200801169,3,2,,,,,,,
2868,03130200801169,4,2,,,,,,,
2869,03130200801169,5,2,,,,,,,
2870,03130200801174,1,2,,,,,,,
2871,03130200801174,2,1,1.0,30.0,9.0,3.0,5.0,50.0,2.0
2872,03130200801174,3,2,,,,,,,
2873,03130200801174,4,2,,,,,,,
2874,03130200801174,5,2,,,,,,,
2875,03130202504009,1,2,,,,,,,
2876,03130202504009,2,2,,,,,,,
2877,03130202504009,3,2,,,,,,,
2878,03130202504009,4,2,,,,,,,
2879,03130202504009,5,2,,,,,,,
2880,03130202504029,1,2,,,,,,,
2881,03130202504029,2,1,1.0,40.0,12.0,2.0,6.0,60.0,2.0
2882,03130202504029,3,2,,,,,,,
2883,03130202504029,4,2,,,,,,,
2884,03130202504029,5,2,,,,,,,
2885,03130202504049,1,2,,,,,,,
2886,03130202504049,2,1,2.0,60.0,12.0,3.0,8.0,80.0,1.0
2887,03130202504049,3,2,,,,,,,
2888,03130202504049,4,2,,,,,,,
2889,03130202504049,5,2,,,,,,,
2890,03130202504069,1,2,,,,,,,
2891,03130202504069,2,1,2.0,60.0,12.0,3.0,6.0,60.0,1.0
2892,03130202504069,3,2,,,,,,,
2893,03130202504069,4,2,,,,,,,
2894,03130202504069,5,2,,,,,,,
2895,03130202504089,1,2,,,,,,,
2896,03130202504089,2,1,2.0,45.0,6.0,3.0,6.0,60.0,1.0
2897,03130202504089,3,2,,,,,,,
2898,03130202504089,4,2,,,,,,,
2899,03130202504089,5,2,,,,,,,
2900,03130202504109,1,2,,,,,,,
2901,03130202504109,2,1,3.0,45.0,6.0,3.0,6.0,60.0,1.0
2902,03130202504109,3,2,,,,,,,
2903,03130202504109,4,2,,,,,,,
2904,03130202504109,5,2,,,,,,,
2905,03130202504129,1,2,,,,,,,
2906,03130202504129,2,1,1.0,40.0,3.0,3.0,6.0,60.0,2.0
2907,03130202504129,3,2,,,,,,,
2908,03130202504129,4,2,,,,,,,
2909,03130202504129,5,2,,,,,,,
2910,03130202504149,1,2,,,,,,,
2911,03130202504149,2,1,1.0,35.0,3.0,4.0,4.0,50.0,2.0
2912,03130202504149,3,2,,,,,,,
2913,03130202504149,4,2,,,,,,,
2914,03130202504149,5,2,,,,,,,
2915,03130202504169,1,2,,,,,,,
2916,03130202504169,2,1,1.0,50.0,11.0,3.0,8.0,88.0,2.0
2917,03130202504169,3,2,,,,,,,
2918,03130202504169,4,2,,,,,,,
2919,03130202504169,5,2,,,,,,,
2920,03130202504189,1,2,,,,,,,
2921,03130202504189,2,1,1.0,50.0,9.0,2.0,9.0,99.0,1.0
2922,03130202504189,3,2,,,,,,,
2923,03130202504189,4,2,,,,,,,
2924,03130202504189,5,2,,,,,,,
2925,03130202504209,1,2,,,,,,,
2926,03130202504209,2,1,1.0,35.0,6.0,3.0,6.0,66.0,1.0
2927,03130202504209,3,2,,,,,,,
2928,03130202504209,4,2,,,,,,,
2929,03130202504209,5,2,,,,,,,
2930,03130202504229,1,2,,,,,,,
2931,03130202504229,2,1,1.0,150.0,12.0,3.0,18.0,188.0,1.0
2932,03130202504229,3,2,,,,,,,
2933,03130202504229,4,1,1.0,450.0,6.0,2.0,8.0,88.0,
2934,03130202504229,5,2,,,,,,,
2935,03130401201010,1,2,,,,,,,
2936,03130401201010,2,1,1.0,40.0,12.0,3.0,6.0,54.0,2.0
2937,03130401201010,3,2,,,,,,,
2938,03130401201010,4,2,,,,,,,
2939,03130401201010,5,2,,,,,,,
2940,03130401201028,1,2,,,,,,,
2941,03130401201028,2,1,1.0,30.0,9.0,3.0,4.0,40.0,2.0
2942,03130401201028,3,2,,,,,,,
2943,03130401201028,4,2,,,,,,,
2944,03130401201028,5,2,,,,,,,
2945,03130401201046,1,2,,,,,,,
2946,03130401201046,2,1,1.0,40.0,6.0,2.0,4.0,40.0,2.0
2947,03130401201046,3,2,,,,,,,
2948,03130401201046,4,2,,,,,,,
2949,03130401201046,5,2,,,,,,,
2950,03130401201064,1,2,,,,,,,
2951,03130401201064,2,1,2.0,50.0,5.0,3.0,4.0,50.0,2.0
2952,03130401201064,3,2,,,,,,,
2953,03130401201064,4,2,,,,,,,
2954,03130401201064,5,2,,,,,,,
2955,03130401201082,1,2,,,,,,,
2956,03130401201082,2,1,1.0,40.0,4.0,3.0,6.0,60.0,2.0
2957,03130401201082,3,2,,,,,,,
2958,03130401201082,4,2,,,,,,,
2959,03130401201082,5,2,,,,,,,
2960,03130401201100,1,2,,,,,,,
2961,03130401201100,2,2,,,,,,,
2962,03130401201100,3,2,,,,,,,
2963,03130401201100,4,2,,,,,,,
2964,03130401201100,5,2,,,,,,,
2965,03130401201118,1,2,,,,,,,
2966,03130401201118,2,1,1.0,40.0,9.0,3.0,4.0,44.0,2.0
2967,03130401201118,3,2,,,,,,,
2968,03130401201118,4,2,,,,,,,
2969,03130401201118,5,2,,,,,,,
2970,03130401201136,1,2,,,,,,,
2971,03130401201136,2,1,1.0,70.0,8.0,4.0,6.0,66.0,2.0
2972,03130401201136,3,2,,,,,,,
2973,03130401201136,4,1,1.0,800.0,2.0,8.0,6.0,66.0,
2974,03130401201136,5,2,,,,,,,
2975,03130401201154,1,2,,,,,,,
2976,03130401201154,2,1,1.0,120.0,9.0,5.0,11.0,121.0,2.0
2977,03130401201154,3,2,,,,,,,
2978,03130401201154,4,1,1.0,900.0,2.0,8.0,6.0,66.0,
2979,03130401201154,5,2,,,,,,,
2980,03130401201190,1,2,,,,,,,
2981,03130401201190,2,1,1.0,40.0,10.0,3.0,6.0,54.0,1.0
2982,03130401201190,3,2,,,,,,,
2983,03130401201190,4,2,,,,,,,
2984,03130401201190,5,2,,,,,,,
2985,03130401201235,1,2,,,,,,,
2986,03130401201235,2,2,,,,,,,
2987,03130401201235,3,2,,,,,,,
2988,03130401201235,4,2,,,,,,,
2989,03130401201235,5,2,,,,,,,
2990,03130401201280,1,2,,,,,,,
2991,03130401201280,2,1,1.0,40.0,6.0,3.0,4.0,44.0,1.0
2992,03130401201280,3,2,,,,,,,
2993,03130401201280,4,2,,,,,,,
2994,03130401201280,5,2,,,,,,,
2995,03130803001016,1,2,,,,,,,
2996,03130803001016,2,1,1.0,150.0,9.0,3.0,8.0,80.0,2.0
2997,03130803001016,3,2,,,,,,,
2998,03130803001016,4,2,,,,,,,
2999,03130803001016,5,2,,,,,,,
3000,03130803001024,1,2,,,,,,,
3001,03130803001024,2,1,1.0,40.0,5.0,2.0,4.0,44.0,2.0
3002,03130803001024,3,2,,,,,,,
3003,03130803001024,4,2,,,,,,,
3004,03130803001024,5,2,,,,,,,
3005,03130803001042,1,2,,,,,,,
3006,03130803001042,2,1,1.0,40.0,9.0,3.0,6.0,66.0,2.0
3007,03130803001042,3,2,,,,,,,
3008,03130803001042,4,2,,,,,,,
3009,03130803001042,5,2,,,,,,,
3010,03130803001052,1,2,,,,,,,
3011,03130803001052,2,1,1.0,40.0,12.0,3.0,8.0,88.0,1.0
3012,03130803001052,3,2,,,,,,,
3013,03130803001052,4,2,,,,,,,
3014,03130803001052,5,2,,,,,,,
3015,03130803001067,1,2,,,,,,,
3016,03130803001067,2,2,,,,,,,
3017,03130803001067,3,2,,,,,,,
3018,03130803001067,4,2,,,,,,,
3019,03130803001067,5,2,,,,,,,
3020,03130803001075,1,2,,,,,,,
3021,03130803001075,2,2,,,,,,,
