,HHID,G2,G3,G4,G5,G6,G7,G8,G9,G10
148,01010400404103,4,2,,,,,,,
149,01010400404103,5,2,,,,,,,
150,01010400404122,1,2,,,,,,,
151,01010400404122,2,2,,,,,,,
152,01010400404122,3,2,,,,,,,
153,01010400404122,4,2,,,,,,,
154,01010400404122,5,2,,,,,,,
155,01010400404141,1,2,,,,,,,
156,01010400404141,2,1,1.0,20.0,6.0,4.0,1.0,8.0,1.0
157,01010400404141,3,2,,,,,,,
158,01010400404141,4,2,,,,,,,
159,01010400404141,5,2,,,,,,,
160,01010400404160,1,2,,,,,,,
161,01010400404160,2,2,,,,,,,
162,01010400404160,3,2,,,,,,,
163,01010400404160,4,2,,,,,,,
164,01010400404160,5,2,,,,,,,
165,01010400404178,1,2,,,,,,,
166,01010400404178,2,2,,,,,,,
167,01010400404178,3,2,,,,,,,
168,01010400404178,4,2,,,,,,,
169,01010400404178,5,2,,,,,,,
170,01010400404197,1,2,,,,,,,
171,01010400404197,2,2,,,,,,,
172,01010400404197,3,2,,,,,,,
173,01010400404197,4,2,,,,,,,
174,01010400404197,5,2,,,,,,,
175,01010400404216,1,2,,,,,,,
176,01010400404216,2,2,,,,,,,
177,01010400404216,3,2,,,,,,,
178,01010400404216,4,2,,,,,,,
179,01010400404216,5,2,,,,,,,
180,01010400804007,1,2,,,,,,,
181,01010400804007,2,2,,,,,,,
182,01010400804007,3,2,,,,,,,
183,01010400804007,4,2,,,,,,,
184,01010400804007,5,2,,,,,,,
185,01010400804027,1,2,,,,,,,
186,01010400804027,2,2,,,,,,,
187,01010400804027,3,2,,,,,,,
188,01010400804027,4,2,,,,,,,
189,01010400804027,5,2,,,,,,,
190,01010400804047,1,2,,,,,,,
191,01010400804047,2,2,,,,,,,
192,01010400804047,3,2,,,,,,,
193,01010400804047,4,2,,,,,,,
194,01010400804047,5,2,,,,,,,
195,01010400804067,1,2,,,,,,,
196,01010400804067,2,1,1.0,20.0,12.0,4.0,4.0,32.0,1.0
197,01010400804067,3,2,,,,,,,
198,01010400804067,4,2,,,,,,,
199,01010400804067,5,2,,,,,,,
200,01010400804087,1,2,,,,,,,
201,01010400804087,2,1,2.0,60.0,12.0,3.0,3.0,27.0,1.0
202,01010400804087,3,2,,,,,,,
203,01010400804087,4,2,,,,,,,
204,01010400804087,5,2,,,,,,,
205,01010400804107,1,2,,,,,,,
206,01010400804107,2,2,,,,,,,
207,01010400804107,3,2,,,,,,,
208,01010400804107,4,2,,,,,,,
209,01010400804107,5,2,,,,,,,
210,01010400804127,1,2,,,,,,,
211,01010400804127,2,1,2.0,18.0,12.0,3.0,2.0,17.0,1.0
212,01010400804127,3,2,,,,,,,
213,01010400804127,4,1,2.0,150.0,12.0,3.0,3.0,27.0,
214,01010400804127,5,2,,,,,,,
215,01010400804147,1,2,,,,,,,
216,01010400804147,2,1,1.0,100.0,12.0,2.0,6.0,54.0,2.0
217,01010400804147,3,2,,,,,,,
218,01010400804147,4,2,,,,,,,
219,01010400804147,5,2,,,,,,,
220,01010400804167,1,2,,,,,,,
221,01010400804167,2,2,,,,,,,
222,01010400804167,3,2,,,,,,,
223,01010400804167,4,2,,,,,,,
224,01010400804167,5,2,,,,,,,
225,01010400804187,1,2,,,,,,,
226,01010400804187,2,1,1.0,30.0,12.0,4.0,2.0,16.0,1.0
227,01010400804187,3,2,,,,,,,
228,01010400804187,4,2,,,,,,,
229,01010400804187,5,2,,,,,,,
230,01010400804207,1,2,,,,,,,
231,01010400804207,2,2,,,,,,,
232,01010400804207,3,2,,,,,,,
233,01010400804207,4,2,,,,,,,
234,01010400804207,5,2,,,,,,,
235,01010400804227,1,2,,,,,,,
236,01010400804227,2,1,1.0,60.0,6.0,4.0,3.0,27.0,1.0
237,01010400804227,3,2,,,,,,,
238,01010400804227,4,2,,,,,,,
239,01010400804227,5,2,,,,,,,
240,01020600113003,1,2,,,,,,,
241,01020600113003,2,2,,,,,,,
242,01020600113003,3,2,,,,,,,
243,01020600113003,4,2,,,,,,,
244,01020600113003,5,2,,,,,,,
245,01020600113011,1,2,,,,,,,
246,01020600113011,2,2,,,,,,,
247,01020600113011,3,2,,,,,,,
248,01020600113011,4,2,,,,,,,
249,01020600113011,5,2,,,,,,,
250,01020600113019,1,2,,,,,,,
251,01020600113019,2,2,,,,,,,
252,01020600113019,3,2,,,,,,,
253,01020600113019,4,2,,,,,,,
254,01020600113019,5,2,,,,,,,
255,01020600113027,1,2,,,,,,,
256,01020600113027,2,2,,,,,,,
257,01020600113027,3,2,,,,,,,
258,01020600113027,4,2,,,,,,,
259,01020600113027,5,2,,,,,,,
260,01020600113035,1,2,,,,,,,
261,01020600113035,2,2,,,,,,,
262,01020600113035,3,2,,,,,,,
263,01020600113035,4,2,,,,,,,
264,01020600113035,5,2,,,,,,,
265,01020600113043,1,2,,,,,,,
266,01020600113043,2,2,,,,,,,
267,01020600113043,3,2,,,,,,,
268,01020600113043,4,2,,,,,,,
269,01020600113043,5,2,,,,,,,
270,01020600113051,1,2,,,,,,,
271,01020600113051,2,2,,,,,,,
272,01020600113051,3,2,,,,,,,
273,01020600113051,4,2,,,,,,,
274,01020600113051,5,2,,,,,,,
275,01020600113059,1,2,,,,,,,
276,01020600113059,2,2,,,,,,,
277,01020600113059,3,2,,,,,,,
278,01020600113059,4,2,,,,,,,
279,01020600113059,5,2,,,,,,,
280,01020600113067,1,2,,,,,,,
281,01020600113067,2,2,,,,,,,
282,01020600113067,3,2,,,,,,,
283,01020600113067,4,2,,,,,,,
284,01020600113067,5,2,,,,,,,
285,01020600113075,1,2,,,,,,,
286,01020600113075,2,2,,,,,,,
287,01020600113075,3,2,,,,,,,
288,01020600113075,4,2,,,,,,,
289,01020600113075,5,2,,,,,,,
290,01020600113083,1,2,,,,,,,
291,01020600113083,2,2,,,,,,,
292,01020600113083,3,2,,,,,,,
