,HHID,B20
355,02070300205046,10
356,02070300205051,1
357,02070300205056,1
358,02070300205061,3
359,02070300212007,3
360,02070300212015,10
361,02070300212023,3
362,02070300212031,10
363,02070300212039,3
364,02070300212047,10
365,02070300212055,10
366,02070300212063,12
367,02070300212071,3
368,02070300212079,10
369,02070300212087,3
370,02070300212095,3
371,02070501103003,9
372,02070501103003,10
373,02070501103013,10
374,02070501103023,10
375,02070501103033,10
376,02070501103041,9
377,02070501103041,10
378,02070501103049,9
379,02070501103049,10
380,02070501103059,9
381,02070501103059,10
382,02070501103079,9
383,02070501103079,10
384,02070501103089,9
385,02070501103089,10
386,02070501103103,9
387,02070501103103,10
388,02070501103106,7
389,02070501103106,9
390,02070501103106,10
391,02070501103133,10
392,02070501302004,11
393,02070501302016,10
394,02070501302028,11
395,02070501302040,10
396,02070501302052,10
397,02070501302064,11
398,02070501302076,10
399,02070501302088,9
400,02070501302088,10
401,02070501302100,9
402,02070501302100,10
403,02070501302112,9
404,02070501302112,10
405,02070501302124,9
406,02070501302136,10
407,02080300102008,9
408,02080300102008,10
409,02080300102022,9
410,02080300102022,10
411,02080300102036,9
412,02080300102036,10
413,02080300102050,9
414,02080300102050,10
415,02080300102064,9
416,02080300102064,10
417,02080300102078,10
418,02080300102092,10
419,02080300102106,9
420,02080300102106,10
421,02080300102120,9
422,02080300102120,10
423,02080300102134,11
424,02080300102148,10
425,02080300102162,10
426,02080300404004,9
427,02080300404004,10
428,02080300404015,9
429,02080300404015,10
430,02080300404026,11
431,02080300404037,10
432,02080300404048,10
433,02080300404059,9
434,02080300404070,9
435,02080300404070,10
436,02080300404081,2
437,02080300404081,9
438,02080300404081,10
439,02080300404092,9
440,02080300404092,10
441,02080300404104,9
442,02080300404104,10
443,02080300404130,9
444,02080300404130,10
445,02080300404156,8
446,02080300404156,9
447,02080300404156,10
448,02090100104008,11
449,02090100104020,10
450,02090100104032,11
451,02090100104044,11
452,02090100104056,11
453,02090100104068,11
454,02090100104080,11
455,02090100104092,1
456,02090100104104,1
457,02090100104116,11
458,02090100104128,11
459,02090100104140,11
460,02090200123004,1
461,02090200123004,3
462,02090200123004,10
463,02090200123018,12
464,02090200123032,1
465,02090200123046,10
466,02090200123060,1
467,02090200123060,3
468,02090200123060,10
469,02090200123074,1
470,02090200123074,4
471,02090200123074,10
472,02090200123088,1
473,02090200123102,1
474,02090200123102,3
475,02090200123116,1
476,02090200123130,1
477,02090200123144,10
478,02090200123158,10
479,02100100401006,9
480,02100100401006,10
481,02100100401026,9
482,02100100401026,10
483,02100100401046,9
484,02100100401046,10
485,02100100401066,9
486,02100100401066,10
487,02100100401086,9
488,02100100401086,10
489,02100100401106,9
490,02100100401106,10
491,02100100401126,10
492,02100100401146,10
493,02100100401166,11
494,02100100401186,10
495,02100100401206,10
496,02100100401226,10
497,02100100501005,10
498,02100100501024,11
499,02100100501043,10
500,02100100501062,11
501,02100100501081,10
502,02100100501100,10
503,02100100501119,9
504,02100100501119,10
505,02100100501138,9
506,02100100501138,10
507,02100100501157,9
508,02100100501157,10
509,02100100501176,9
510,02100100501176,10
511,02100100501195,9
512,02100100501195,10
513,02100100501214,9
514,02100100501214,10
515,02100200904005,10
516,02100200904016,10
517,02100200904027,10
518,02100200904038,9
519,02100200904049,9
520,02100200904049,10
521,02100200904060,9
522,02100200904060,10
523,02100200904071,10
524,02100200904082,10
525,02100200904093,10
526,02100200904104,11
527,02100200904115,11
528,02100200904126,11
529,03110300605013,8
530,03110300605013,10
531,03110300605030,10
532,03110300605047,11
533,03110300605064,10
534,03110300605081,11
535,03110300605098,10
536,03110300605115,8
537,03110300605115,10
538,03110300605132,11
539,03110300605149,10
540,03110300605166,11
541,03110300605183,10
542,03110300605200,10
543,03110301501010,11
544,03110301501025,3
545,03110301501040,3
546,03110301501055,10
547,03110301501070,11
548,03110301501085,11
549,03110301501100,3
550,03110301501115,11
551,03110301501130,11
552,03110301501145,11
553,03110301501160,10
554,03110301501175,1
555,03110301501175,10
556,03110800110001,10
557,03110800110002,11
558,03110800110003,10
559,03110800110008,4
560,03110800110030,10
561,03110800110052,11
562,03110800110074,10
563,03110800110096,10
564,03110800110118,10
565,03110800110140,11
566,03110800110162,11
567,03110800110184,4
568,03110800701014,10
569,03110800701029,10
570,03110800701044,10
571,03110800701059,3
572,03110800701074,3
573,03110800701089,10
574,03110800701104,10
575,03110800701119,3
576,03110800701119,10
577,03110800701134,10
578,03110800701149,10
579,03110800701164,3
580,03110800701164,10
581,03110800701179,3
582,03110800701179,10
583,03111700101001,9
584,03111700101002,9
585,03111700101003,11
586,03111700101013,9
587,03111700101037,4
588,03111700101061,9
589,03111700101085,4
590,03111700101109,4
591,03111700101133,9
592,03111700101157,4
593,03111700101157,9
594,03111700101181,4
595,03111700101181,9
596,03111700101205,4
597,03111700101205,9
598,03111800604007,9
599,03111800604007,10
600,03111800604026,9
601,03111800604026,10
602,03111800604045,4
603,03111800604064,9
604,03111800604064,10
605,03111800604083,9
606,03111800604083,10
607,03111800604102,1
608,03111800604102,4
609,03111800604121,10
610,03111800604121,11
611,03111800604140,11
612,03111800604159,11
613,03111800604178,9
614,03111800604178,10
615,03111800604197,11
616,03111800604216,9
617,03111801205008,9
618,03111801205008,10
619,03111801205017,10
620,03111801205026,10
621,03111801205035,9
622,03111801205035,10
623,03111801205044,8
624,03111801205044,9
625,03111801205053,9
626,03111801205053,10
627,03111801205062,11
628,03111801205071,11
629,03111801205080,11
630,03111801205089,9
631,03111801205089,10
632,03111801205098,11
633,03111801205107,11
634,03111802013001,11
635,03111802013004,4
636,03111802013018,4
637,03111802013032,4
638,03111802013046,11
639,03111802013060,11
640,03111802013074,4
641,03111802013088,4
642,03111802013102,11
643,03111802013116,4
644,03111802013130,4
645,03111802013144,1
646,03112101007015,3
647,03112101007015,4
648,03112101007031,3
649,03112101007047,3
650,03112101007047,10
651,03112101007063,4
652,03112101007063,10
653,03112101007079,10
654,03112101007095,3
655,03112101007095,10
656,03112101007111,10
657,03112101007127,3
658,03112101007143,10
659,03112101007159,10
660,03112101007175,11
661,03112101007191,1
662,03112101007191,2
663,03112101007191,3
664,03120102608012,3
665,03120102608028,3
666,03120102608044,3
667,03120102608044,10
668,03120102608060,10
669,03120102608076,2
670,03120102608076,3
671,03120102608092,2
672,03120102608092,3
673,03120102608108,2
674,03120102608108,3
675,03120102608124,10
676,03120102608140,3
677,03120102608156,10
678,03120102608172,3
679,03120102608188,10
680,03120200303028,10
681,03120200303049,10
682,03120200303070,10
683,03120200303091,11
684,03120200303112,11
685,03120200303133,10
686,03120200303154,4
687,03120200303175,10
688,03120200303196,10
689,03120200303217,1
690,03120200303217,10
691,03120200303238,11
692,03120300709007,10
693,03120300709022,2
694,03120300709022,10
695,03120300709037,2
696,03120300709052,2
697,03120300709067,3
698,03120300709067,10
699,03120300709082,3
700,03120300709097,10
701,03120300709112,10
702,03120300709127,11
703,03120300709142,10
704,03120300709157,8
705,03120300709157,10
706,03120300709172,10
707,03120302401010,3
708,03120302401027,10
709,03120302401044,10
710,03120302401061,10
711,03120302401078,10
712,03120302401095,10
713,03120302401112,11
714,03120302401129,10
715,03120302401146,2
716,03120302401163,11
717,03120302401180,2
718,03120302401180,3
719,03120302401197,2
720,03121000302003,3
721,03121000302013,10
722,03121000302023,9
723,03121000302033,9
724,03121000302043,9
725,03121000302043,10
726,03121000302053,7
727,03121000302063,10
728,03121000302073,9
729,03121000302083,11
730,03121000302093,11
731,03121000302103,9
732,03121000302103,10
733,03121000302113,11
734,03130200801006,2
735,03130200801006,12
736,03130200801017,2
737,03130200801017,9
738,03130200801017,10
739,03130200801026,9
740,03130200801026,10
741,03130200801042,2
742,03130200801042,9
743,03130200801042,10
744,03130200801063,10
745,03130200801080,10
746,03130200801100,9
747,03130200801100,10
748,03130200801109,11
749,03130200801119,10
750,03130200801142,9
751,03130200801142,10
752,03130200801169,3
753,03130200801169,10
754,03130200801174,3
755,03130200801174,9
756,03130200801174,10
757,03130202504009,11
758,03130202504029,3
759,03130202504049,11
760,03130202504069,11
761,03130202504089,10
762,03130202504109,10
763,03130202504129,1
764,03130202504129,10
765,03130202504149,1
766,03130202504149,10
767,03130202504149,11
768,03130202504169,8
769,03130202504169,9
770,03130202504169,10
771,03130202504189,8
772,03130202504189,9
773,03130202504189,10
774,03130202504209,10
775,03130202504229,9
776,03130202504229,10
777,03130401201010,9
778,03130401201010,10
779,03130401201028,9
780,03130401201028,10
781,03130401201046,3
782,03130401201046,10
783,03130401201064,11
784,03130401201082,11
785,03130401201100,3
786,03130401201100,10
787,03130401201118,2
788,03130401201118,8
789,03130401201118,9
790,03130401201118,10
791,03130401201136,2
792,03130401201136,9
793,03130401201136,10
794,03130401201154,1
795,03130401201154,2
796,03130401201154,9
797,03130401201154,10
798,03130401201190,11
799,03130401201235,3
800,03130401201280,8
801,03130401201280,9
802,03130401201280,10
803,03130803001016,4
804,03130803001016,9
805,03130803001016,10
806,03130803001024,9
807,03130803001024,10
808,03130803001042,2
809,03130803001042,4
810,03130803001042,9
811,03130803001042,10
812,03130803001052,9
813,03130803001052,10
814,03130803001067,3
815,03130803001067,10
816,03130803001075,3
817,03130803001083,2
818,03130803001083,10
819,03130803001100,3
820,03130803001100,10
821,03130803001108,11
822,03130803001122,3
823,03130803001122,10
824,03130803001154,10
825,03130803001204,3
826,03130803001204,10
827,03131000101001,11
828,03131000101014,1
829,03131000101014,10
830,03131000101032,10
831,03131000101050,1
832,03131000101050,10
833,03131000101068,10
834,03131000101086,10
835,03131000101104,1
836,03131000101104,10
837,03131000101122,12
838,03131000101140,10
839,03131000101158,10
840,03131000101176,10
841,03131000101194,1
842,03131000101194,10
843,03140400104008,11
844,03140400104017,3
845,03140400104026,10
846,03140400104035,11
847,03140400104044,3
848,03140400104044,10
849,03140400104053,11
850,03140400104062,3
851,03140400104071,3
852,03140400104080,3
853,03140400104080,11
854,03140400104089,3
855,03140400104098,3
856,03140400104107,3
857,03140901602005,3
858,03140901602005,9
859,03140901602005,10
860,03140901602020,2
861,03140901602020,3
862,03140901602020,9
863,03140901602020,10
864,03140901602035,3
865,03140901602035,9
866,03140901602035,10
867,03140901602050,9
868,03140901602050,10
869,03140901602065,3
870,03140901602080,3
871,03140901602095,3
872,03140901602095,9
873,03140901602095,10
874,03140901602110,3
875,03140901602110,10
876,03140901602125,10
877,03140901602140,11
878,03140901602155,3
879,03140901602155,10
880,03140901602170,11
881,03141000205007,2
882,03141000205007,9
883,03141000205007,10
884,03141000205024,10
885,03141000205041,11
886,03141000205058,3
887,03141000205058,10
888,03141000205075,2
889,03141000205075,10
890,03141000205092,3
891,03141000205109,3
892,03141000205109,9
893,03141000205109,10
894,03141000205126,9
895,03141000205126,10
896,03141000205143,3
897,03141000205143,9
898,03141000205143,10
899,03141000205164,11
900,03141000205178,3
901,03141000205178,10
902,03141000205192,11
903,03141001902009,9
904,03141001902009,10
905,03141001902025,11
906,03141001902041,9
907,03141001902041,10
908,03141001902057,2
909,03141001902057,9
910,03141001902057,10
911,03141001902073,3
912,03141001902073,10
913,03141001902089,9
914,03141001902089,10
915,03141001902105,10
916,03141001902121,3
917,03141001902121,10
918,03141001902137,3
919,03141001902137,9
920,03141001902137,10
921,03141001902153,3
922,03141001902153,9
923,03141001902153,10
924,03141001902169,3
925,03141001902169,9
926,03141001902169,10
927,03141001902185,3
928,03141001902185,9
929,03141001902185,10
930,03141202605009,10
931,03141202605013,3
932,03141202605018,10
933,03141202605031,10
934,03141202605036,10
935,03141202605049,10
936,03141202605067,3
937,03141202605085,6
938,03141202605103,11
939,03141202605121,10
940,03141202605139,10
941,03141202605157,10
942,03141700416006,10
943,03141700416018,11
944,03141700416030,7
945,03141700416042,11
946,03141700416054,7
947,03141700416066,11
948,03141700416078,7
949,03141700416078,11
950,03141700416090,7
951,03141700416090,11
952,03141700416102,11
953,03141700416114,7
954,03141700416114,11
955,03141700416126,7
956,03141700416126,11
957,03141700416138,7
958,03141700416138,11
959,03141800307011,3
960,03141800307024,3
961,03141800307037,11
962,03141800307050,4
963,03141800307063,11
964,03141800307076,3
965,03141800307089,3
966,03141800307102,3
967,03141800307115,3
968,03141800307120,11
969,03141800307141,11
970,03141800307154,11
971,03141800618005,3
972,03141800618012,11
973,03141800618019,11
974,03141800618026,1
975,03141800618033,10
976,03141800618040,11
977,03141800618047,10
978,03141800618054,11
979,03141800618061,3
980,03141800618068,10
981,03141800618075,11
982,03141800618082,3
983,03141800910007,3
984,03141800910019,3
985,03141800910019,7
986,03141800910031,3
987,03141800910043,11
988,03141800910055,11
989,03141800910067,11
990,03141800910079,11
991,03141800910091,11
992,03141800910103,3
993,03141800910115,3
994,03141800910127,3
995,03141800910139,3
996,03150300101020,10
997,03150300101040,11
998,03150300101060,11
999,03150300101080,10
1000,03150300101100,10
1001,03150300101120,10
1002,03150300101140,3
1003,03150300101160,3
1004,03150300101180,3
1005,03150300101200,3
1006,03150300101220,3
1007,03150300101240,3
1008,03150300905019,3
1009,03150300905019,10
1010,03150300905023,3
1011,03150300905039,10
1012,03150300905059,3
1013,03150300905059,10
1014,03150300905079,10
1015,03150300905099,3
1016,03150300905099,10
1017,03150300905119,10
1018,03150300905139,1
1019,03150300905179,3
1020,03150300905199,3
1021,03150300905219,3
1022,03150300905239,3
1023,03150800103013,10
1024,03150800103028,10
1025,03150800103043,10
1026,03150800103058,10
1027,03150800103073,10
1028,03150800103088,10
1029,03150800103103,10
1030,03150800103118,9
1031,03150800103118,10
1032,03150800103133,9
1033,03150800103133,10
1034,03150800103148,10
1035,03150800103163,1
1036,03150800103163,10
1037,03150800103178,1
1038,03150800103178,9
1039,03150800103178,10
1040,03151900506012,10
1041,03151900506027,10
1042,03151900506042,3
1043,03151900506042,10
1044,03151900506057,10
1045,03151900506072,10
1046,03151900506087,10
1047,03151900506102,10
1048,03151900506117,10
1049,03151900506132,3
1050,03151900506147,4
1051,03151900506162,10
1052,03151900506177,10
1053,03152000107001,1
1054,03152000107001,10
1055,03152000107003,1
1056,03152000107003,10
1057,03152000107005,1
1058,03152000107005,10
1059,03152000107007,10
1060,03152000107009,10
1061,03152000107011,1
1062,03152000107011,10
1063,03152000107013,10
1064,03152000107015,10
1065,03152000107017,10
1066,03152000107029,10
1067,03152000107066,10
1068,03152000107103,10
1069,03152000407001,10
1070,03152000407008,1
1071,03152000407008,10
1072,03152000407012,1
1073,03152000407012,10
1074,03152000407023,10
1075,03152000407034,10
1076,03152000407045,1
1077,03152000407045,10
1078,03152000407056,1
1079,03152000407067,1
1080,03152000407078,1
1081,03152000407078,10
1082,03152000407089,10
1083,03152000407100,10
1084,03152000407111,1
1085,03152000407111,10
1086,03152000407122,10
1087,03152000705001,10
1088,03152000705011,1
1089,03152000705011,10
1090,03152000705025,1
1091,03152000705025,10
1092,03152000705039,1
1093,03152000705039,10
1094,03152000705053,1
1095,03152000705053,10
1096,03152000705067,10
1097,03152000705081,10
1098,03152000705095,1
1099,03152000705095,10
1100,03152000705109,1
1101,03152000705109,10
1102,03152000705123,10
1103,03152000705137,10
1104,03152000705165,1
1105,03152000705165,10
1106,03160201902005,3
1107,03160201902017,3
1108,03160201902029,4
1109,03160201902041,10
1110,03160201902053,10
1111,03160201902065,11
1112,03160201902077,2
1113,03160201902077,10
1114,03160201902089,10
1115,03160201902101,3
1116,03160201902101,9
1117,03160201902101,10
1118,03160201902113,3
1119,03160201902125,9
1120,03160201902125,10
1121,03160201902137,10
1122,03160204005008,9
1123,03160204005008,10
1124,03160204005022,7
1125,03160204005022,10
1126,03160204005036,9
1127,03160204005036,10
1128,03160204005050,10
1129,03160204005064,10
1130,03160204005078,10
1131,03160204005092,10
1132,03160204005106,10
1133,03160204005120,10
1134,03160204005134,10
1135,03160204005148,3
1136,03160204005162,2
1137,03160500103010,1
1138,03160500103010,4
1139,03160500103023,11
1140,03160500103036,1
1141,03160500103036,4
1142,03160500103049,3
1143,03160500103049,10
1144,03160500103062,1
1145,03160500103062,4
1146,03160500103062,6
1147,03160500103075,1
1148,03160500103075,3
1149,03160500103088,3
1150,03160500103101,3
1151,03160500103114,1
1152,03160500103114,3
1153,03160500103114,4
1154,03160500103127,1
1155,03160500103127,4
1156,03160500103127,6
1157,03160500103140,10
1158,03160500103153,10
1159,03160600803010,9
1160,03160600803010,10
1161,03160600803026,10
1162,03160600803042,9
1163,03160600803042,10
1164,03160600803058,10
1165,03160600803074,3
1166,03160600803074,10
1167,03160600803090,3
1168,03160600803090,10
1169,03160600803106,3
1170,03160600803106,10
1171,03160600803122,10
1172,03160600803138,2
1173,03160600803154,10
1174,03160600803170,3
1175,03160600803186,10
1176,03161500214007,10
1177,03161500214018,10
1178,03161500214029,4
1179,03161500214040,3
1180,03161500214040,10
1181,03161500214051,1
1182,03161500214051,4
1183,03161500214051,10
1184,03161500214062,1
1185,03161500214062,4
1186,03161500214073,11
1187,03161500214084,3
1188,03161500214084,6
1189,03161500214084,10
1190,03161500214095,11
1191,03161500214106,11
1192,03161500214117,3
1193,03161500214128,1
1194,03161500214128,4
1195,03161500214128,6
1196,03170400206005,10
1197,03170400206025,2
1198,03170400206025,3
1199,03170400206025,4
1200,03170400206025,10
1201,03170400206045,10
1202,03170400206065,3
1203,03170400206085,10
1204,03170400206105,1
1205,03170400206125,10
1206,03170400206145,1
1207,03170400206165,10
1208,03170400206185,8
1209,03170400206185,10
1210,03170400206205,2
1211,03170400206205,10
1212,03170400206225,10
1213,03170401804019,10
1214,03170401804043,10
1215,03170401804067,2
1216,03170401804091,10
1217,03170401804115,1
1218,03170401804139,1
1219,03170401804163,3
1220,03170401804187,9
1221,03170401804187,10
1222,03170401804211,8
1223,03170401804211,10
1224,03170401804235,8
1225,03170401804235,10
1226,03170401804259,2
1227,03170401804283,10
1228,03170403702010,9
1229,03170403702010,10
1230,03170403702030,11
1231,03170403702050,10
1232,03170403702070,10
1233,03170403702090,10
1234,03170403702110,1
1235,03170403702130,8
1236,03170403702130,9
1237,03170403702130,10
1238,03170403702150,1
1239,03170403702170,10
1240,03170403702190,8
1241,03170403702190,10
1242,03170403702210,10
1243,03170403702230,10
1244,03170500110018,1
1245,03170500110045,10
1246,03170500110072,1
1247,03170500110099,1
1248,03170500110126,10
1249,03170500110153,10
1250,03170500110180,3
1251,03170500110180,10
1252,03170500110207,1
1253,03170500110234,10
1254,03170500110261,10
1255,03170500110288,10
1256,03170500110315,11
1257,03170601005004,10
1258,03170601005016,10
1259,03170601005028,9
1260,03170601005028,10
1261,03170601005040,9
1262,03170601005040,10
1263,03170601005052,3
1264,03170601005052,10
1265,03170601005064,10
1266,03170601005076,10
1267,03170601005088,9
1268,03170601005088,10
1269,03170601005100,10
1270,03170601005112,10
1271,03170601005124,10
1272,03170601005136,10
1273,03180100102002,11
1274,03180100102005,11
1275,03180100102008,4
1276,03180100102016,3
1277,03180100102035,3
1278,03180100102054,4
1279,03180100102073,4
1280,03180100102092,4
1281,03180100102111,4
1282,03180100102130,4
1283,03180100102149,3
1284,03180100102168,4
1285,03180201302007,10
1286,03180201302024,10
1287,03180201302041,11
1288,03180201302058,10
1289,03180201302075,2
1290,03180201302075,9
1291,03180201302075,10
1292,03180201302092,8
1293,03180201302092,9
1294,03180201302092,10
1295,03180201302109,2
1296,03180201302109,8
1297,03180201302109,9
1298,03180201302109,10
1299,03180201302126,2
1300,03180201302126,9
1301,03180201302126,10
1302,03180201302143,2
1303,03180201302143,3
1304,03180201302143,10
1305,03180201302160,10
1306,03180201302177,11
1307,03180201302194,11
1308,03180302503003,3
1309,03180302503003,9
1310,03180302503003,10
1311,03180302503019,12
1312,03180302503035,3
1313,03180302503035,9
1314,03180302503035,10
1315,03180302503051,3
1316,03180302503067,2
1317,03180302503067,8
1318,03180302503067,9
1319,03180302503067,10
1320,03180302503083,2
1321,03180302503083,8
1322,03180302503083,9
1323,03180302503083,10
1324,03180302503099,2
1325,03180302503099,8
1326,03180302503099,9
1327,03180302503099,10
1328,03180302503115,9
1329,03180302503115,10
1330,03180302503131,11
1331,03180302503147,9
1332,03180302503147,10
1333,03180302503163,11
1334,03180302503179,10
1335,03180700305005,4
1336,03180700305017,3
1337,03180700305029,11
1338,03180700305041,11
1339,03180700305053,3
1340,03180700305065,3
1341,03180700305077,2
1342,03180700305077,10
1343,03180700305089,1
1344,03180700305089,10
1345,03180700305101,11
1346,03180700305113,1
1347,03180700305113,10
1348,03180700305125,2
1349,03180700305137,2
1350,03190201401010,10
1351,03190201401028,10
1352,03190201401046,10
1353,03190201401064,2
1354,03190201401082,1
1355,03190201401100,10
1356,03190201401100,11
1357,03190201401118,9
1358,03190201401136,10
1359,03190201401154,10
1360,03190201401172,2
1361,03190201401190,8
