Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Time required to get electricity (days),IC.ELC.TIME,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,424,196,114,114,114,114,114,114,114,114,114,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,99.95,99.98,99.89,99.89,100,100,..
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,100,100,100,100,100,100,..
Albania,ALB,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,..,..,..,..,..,..,..,..,..,..,..,20.7253886010363,18.876404494382,21.6836734693878,19.9513381995134,18.4331797235023,17.3076923076923,17.5403225806452,17.0818505338078,14.9253731343284,13.5095447870778,17.7777777777778,19.1489361702128,17.5675675675676,16.8975069252078,18.0115273775216,18.1034482758621,17.2651933701657,17.0153417015342,18.1286549707602,12.8747795414462,14.1732283464567,19.1588785046729,27.2727272727273,30.0492610837438,21.6216216216216,17.741935483871,22.3776223776224,18.75,9.93150684931507,12.3376623376623,10.8695652173913,10.1333333333333,9.42408376963351,6.98254364089776,7.85340314136126,6.86015831134565,8.73015873015873,7.54716981132076,3.71352785145889,2.54452926208651,2.89855072463768,2.8735632183908,1.37362637362637,2.9126213592233,..,..,..,..,..,..
Albania,ALB,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Albania,ALB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,57.1428571428571,62.0689655172414,66.2162162162162,68.4210526315789,71.9101123595506,74.5098039215686,76.5217391304348,77.4193548387097,78.8321167883212,79.4078061911171,81.3333333333333,83.0013280212483,84.6560846560847,73.6884584342211,67.6835081029552,79.5338817077947,76.2229806598407,73.7700803212851,74.6543778801843,86.4077669902913,92.1424829753798,95.0500883912787,93.9076225559649,95.686374016747,93.9861390565616,95.7204948177867,96.1744452945677,96.3202192209826,97.3291582243507,96.1490163248221,95.3083109919571,93.9539860888176,97.8565705128205,97.5026757046022,98.713944515892,98.3164373642288,97.4825174825175,100,99.9807766243752,99.9867864693446,98.5922214268671,100,100,100,100,..,..,..,..,..
Albania,ALB,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Albania,ALB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Albania,ALB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,42.8571428571429,37.9310344827586,33.7837837837838,31.5789473684211,28.0898876404494,25.4901960784314,23.4782608695652,22.5806451612903,21.1678832116788,20.5921938088829,18.6666666666667,16.9986719787517,15.3439153439153,26.3115415657789,32.3164918970448,20.4661182922052,23.7770193401593,26.2299196787149,25.3456221198157,13.5922330097087,7.85751702462022,4.94991160872127,6.09237744403514,4.31362598325298,6.01386094343841,4.27950518221331,3.82555470543229,3.67978077901742,2.67084177564929,3.8509836751779,4.6916890080429,6.04601391118245,2.14342948717949,2.49732429539779,1.28605548410803,1.68356263577118,2.51748251748252,0,0.0192233756247597,0.0132135306553911,1.4077785731329,0,0,0,0,..,..,..,..,..
