Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1580000,..,..,..,..,..,..,..,..,..,..,..,..,..,19000000,..,190490000,..
Afghanistan,AFG,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,..,..,..,..,..,..,..,..,..,0,1166.62754591281,1178.82925895222,1262.195946481,1173.21601582616,1304.33960474242,1298.32550919468,1197.87722569184,1252.97012859083,1201.13601139152,1137.6046176877,1393.59974227651,1345.29476192489,1335.66213239856,1374.80244594094,1431.3747487466,1328.16547644087,1319.08096485123,997.230119533631,1116.71028639099,734.838358941566,2510,2290,2060,1840,1620,1400,1340,1290,1230,1180,1120,1100,1070,1050,1020,1000,4000,7000,9990,12990,15990,25360,34720,44090,53450,62820,64510,66210,67910,..,..
Afghanistan,AFG,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,..,..,..,..,..,..,..,..,..,..,4.82360997398543,4.86361440804684,5.65222947144012,5.25505544730506,5.0283159968845,4.83525130488632,4.75073097405618,4.64972535111094,4.82735022447858,4.91942250831766,4.9264746890559,5.03609709199943,4.87627995117997,5.04006761617733,4.62918721672905,4.30234779331578,4.01445657368359,3.85882995612466,3.8143153494489,3.78861696701232,12.3076923076923,10.9422492401216,9.6875,8.4375,7.35785953177258,5.88235294117647,5.16717325227964,4.73537604456824,4.12371134020619,3.6144578313253,4.14364640883978,4.6583850931677,4.05405405405405,3.90625,3.93700787401575,3.77833753148615,9.85221674876847,15.2941176470588,18.9979123173278,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,..,..,..,..,..,..,..,..,..,0,146.746578321,146.206970621,143.01033615,140.54141834,147.69764093,152.49043251,155.14143843,151.99863828,157.99521442,158.13705027,161.34332695,164.0108258,162.24958436,160.71062005,141.75275357,123.15629315,101.03995385,103.30501845,105.7345303,104.99420721,400,360,310,270,220,180,170,170,160,150,150,150,150,150,150,150,400,650,910,1160,1410,1930,2440,2950,3460,3970,4070,4180,4280,..,..
Afghanistan,AFG,Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1580000,..,..,..,..,..,..,..,..,..,..,..,..,..,19000000,..,190490000,..
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.9245316828932,17.0364435282942,26.5216286544368,30.5856670489932,32.7962505504008,35.0756402917937,37.9457475001443,41.4326008731029,44.0943368543633,52.1857743728053,54.2431983947754,54.0550003051758,43.7711982727051,42.2761001586914,49.8432006835938,40.8591995239258,37.1372985839844,33.8625984191895,21.3437004089355,17.8504009246826,14.8990001678467,11.559100151062,14.404899597168,17.1049995422363,20.770299911499,20.2737998962402,24.7402992248535,25.082799911499,21.422700881958,..,..
Albania,ALB,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.8367493106465,11.8109009218973,4.65767788472496,7.24177993285324,4.62250078722927,7.03010248269642,6.08491484645227,2.9691980733789,2.33431230021839,1.17037028166995,0.667815141479738,0.501384092573292,0.482396546341358,0.504605596158696,0.060336440346468,0.133279856981412,0.292709162313122,0.214370389215214,0.229340574757047,0.230806806948777,0.243493132534378,0.340275153190435,0.392700049566955,0.244361903201673,0.273354431701717,0.134603126735472,0.612389737993312,1.51759685670669,1.76098679691698,1.62793673984223,1.87969499468358,0.904080088289314,0.812984185587486,0.714475141350301,0.955543416725518,0.826981739960932,..
